"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",3,1.2,0,0,0,0,0,-78.5071,346.917,0,0,0,0,0,0,0
"Jan 1, 01:00 am",3,1.2,0,0,0,0,0,-74.2467,48.5225,0,0,0,0,0,0,0
"Jan 1, 02:00 am",2,1.2,0,0,0,0,0,-63.2486,73.0839,0,0,0,0,0,0,0
"Jan 1, 03:00 am",1,1.3,0,0,0,0,0,-51.0028,85.1693,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,1.2,0,0,0,0,0,-38.5423,93.6544,0,0,0,0,0,0,0
"Jan 1, 05:00 am",0,1.2,0,0,0,0,0,-26.1811,100.979,0,0,0,0,0,0,0
"Jan 1, 06:00 am",1,1.2,0,0,0,0,0,-14.1163,108.146,0,0,0,0,0,0,0
"Jan 1, 07:00 am",2,1,0,0,0,0,0,-2.552,115.771,0,0,0,0,0,0,0
"Jan 1, 08:00 am",5,0.8,43,284,81,180,20,7.79407,124.378,0.0295619,30.9589,35.8053,30.9589,9.85483,12.8389,1.05191
"Jan 1, 09:00 am",8,0.5,114,250,189,180,20,17.3756,134.497,0.0564196,30.5511,35.6941,30.5511,17.3778,14.0933,2.03798
"Jan 1, 10:00 am",11,0.3,144,468,344,180,20,25.3009,146.621,0.101711,29.3006,34.9366,30,29.5735,13.6593,3.86924
"Jan 1, 11:00 am",14,0.5,75,903,538,180,20,30.826,160.957,0.143959,27.708,33.9455,30,42.2038,12.0123,6.31774
"Jan 1, 12:00 pm",16,0.7,79,913,579,180,20,33.2246,176.993,0.147112,27.4126,33.7467,30,44.3647,11.5347,6.7276
"Jan 1, 01:00 pm",17,0.8,154,599,473,180,20,32.1,193.338,0.1271,28.116,34.1162,30,38.9765,12.5041,5.31711
"Jan 1, 02:00 pm",17,0.8,76,852,471,180,20,27.6454,208.408,0.132673,27.9564,34.0365,30,40.247,12.3505,5.65001
"Jan 1, 03:00 pm",16,0.7,130,333,247,180,20,20.5098,221.348,0.0709678,29.3084,34.6508,30,27.5977,13.5679,2.69678
"Jan 1, 04:00 pm",14,0.9,74,47,83,180,20,11.4517,232.155,0.0198006,29.4304,34.21,30,17.1179,13.2825,0.746015
