"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-6,1.9,0,0,0,0,0,-72.6275,16.2889,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-5,2.2,0,0,0,0,0,-65.9077,52.2157,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-5,2.4,0,0,0,0,0,-55.6255,71.7435,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-5,2.6,0,0,0,0,0,-44.2805,84.2085,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-5,3,0,0,0,0,0,-32.6881,93.8896,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-5,3.4,0,0,0,0,0,-21.2121,102.549,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-5,3.8,0,0,0,0,0,-10.1104,111.094,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-4,4.4,0,0,0,0,0,0.399046,120.141,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-3,5.3,47,556,136,180,20,9.37347,130.198,0.0587616,32.944,37.9969,32.944,1.04107,13.9988,1.96093
"Jan 1, 09:00 am",-2,5.9,64,765,293,180,20,17.4088,141.704,0.115974,32.8696,38.4214,32.8696,4.97358,15.1763,3.88357
"Jan 1, 10:00 am",-1,6.1,157,300,277,180,20,23.5067,154.915,0.0900063,32.8213,38.1569,32.8213,4.25607,15.3108,3.01736
"Jan 1, 11:00 am",-1,6.2,85,867,479,180,20,27.0459,169.667,0.174738,32.398,38.4635,32.398,9.13077,15.2866,5.94576
"Jan 1, 12:00 pm",-1,6.3,88,863,487,180,20,27.5713,185.19,0.176915,32.3969,38.4798,32.3969,9.14618,15.2866,6.0203
"Jan 1, 01:00 pm",-1,6.1,79,852,439,180,20,25.0076,200.317,0.162769,32.4766,38.4388,32.4766,8.52795,15.3039,5.5236
"Jan 1, 02:00 pm",-1,5.9,70,783,334,180,20,19.7026,214.094,0.128892,32.6652,38.3372,32.6652,6.73733,15.2297,4.34539
"Jan 1, 03:00 pm",-1,5.2,60,434,152,180,20,12.245,226.16,0.0602248,32.6719,37.7515,32.6719,3.07541,14.5379,2.02739
"Jan 1, 04:00 pm",-2,4.4,21,158,29,180,20,3.33191,236.663,0.00838136,31.0633,35.6132,31.0633,-1.02059,7.95005,0.29666
"Jan 1, 05:00 pm",-3,3.7,0,0,0,0,0,-6.51403,246.001,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",-4,3.3,0,0,0,0,0,-17.4322,254.661,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",-5,3.1,0,0,0,0,0,-28.8087,263.214,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",-6,3,0,0,0,0,0,-40.3907,272.435,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",-7,2.8,0,0,0,0,0,-51.8682,283.699,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-7,2.8,0,0,0,0,0,-62.6448,300.135,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-8,2.5,0,0,0,0,0,-71.007,329.439,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-8,2.4,0,0,0,0,0,-72.5721,15.8579,0,0,0,0,0,0,0
"Jan 2, 01:00 am",-9,2.5,0,0,0,0,0,-65.9173,51.8739,0,0,0,0,0,0,0
"Jan 2, 02:00 am",-9,2.8,0,0,0,0,0,-55.6617,71.506,0,0,0,0,0,0,0
"Jan 2, 03:00 am",-9,2.9,0,0,0,0,0,-44.3251,84.0256,0,0,0,0,0,0,0
"Jan 2, 04:00 am",-9,2.8,0,0,0,0,0,-32.7331,93.7345,0,0,0,0,0,0,0
"Jan 2, 05:00 am",-9,2.7,0,0,0,0,0,-21.2527,102.407,0,0,0,0,0,0,0
"Jan 2, 06:00 am",-8,2.7,0,0,0,0,0,-10.1427,110.958,0,0,0,0,0,0,0
"Jan 2, 07:00 am",-8,2.7,0,0,0,0,0,0.3837,120.005,0,0,0,0,0,0,0
"Jan 2, 08:00 am",-8,2.7,49,0,49,180,20,9.3695,130.059,0.0107729,32.2666,36.8171,32.2666,-6.9447,14.5372,0.366571
"Jan 2, 09:00 am",-7,2.7,120,78,144,180,20,17.4255,141.56,0.0400646,33.2012,38.0643,33.2012,-3.25574,15.302,1.32544
