"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",13,0.3,0,0,0,0,0,-75.832,41.9988,0,0,0,0,0,0,0
"Jan 1, 01:00 am",13,0.4,0,0,0,0,0,-65.2542,70.709,0,0,0,0,0,0,0
"Jan 1, 02:00 am",13,0.4,0,0,0,0,0,-53.0596,83.764,0,0,0,0,0,0,0
"Jan 1, 03:00 am",13,0.4,0,0,0,0,0,-40.5757,92.5174,0,0,0,0,0,0,0
"Jan 1, 04:00 am",14,0.4,0,0,0,0,0,-28.1574,99.8838,0,0,0,0,0,0,0
"Jan 1, 05:00 am",14,0.4,0,0,0,0,0,-16.0052,106.981,0,0,0,0,0,0,0
"Jan 1, 06:00 am",14,0.4,0,0,0,0,0,-4.31602,114.455,0,0,0,0,0,0,0
"Jan 1, 07:00 am",14,0.4,2,0,2,180,20,6.23275,122.832,0,24.3952,28.6958,30,14.0689,0,0.013846
"Jan 1, 08:00 am",15,0.3,5,0,5,180,20,16.0458,132.643,0,25.5951,29.9817,30,15.1802,0,0.0369459
"Jan 1, 09:00 am",15,0.2,28,0,28,180,20,24.3237,144.402,0.00469043,27.8753,32.4356,30,16.0424,11.5459,0.206672
"Jan 1, 10:00 am",14,0.2,82,0,82,180,20,30.3237,158.399,0.0157695,29.1658,33.8972,30,17.057,13.2202,0.603157
"Jan 1, 11:00 am",12,0.2,52,0,52,180,20,33.2929,174.267,0.00986562,29.0389,33.6788,30,13.9357,13.0537,0.380374
"Jan 1, 12:00 pm",12,0.3,136,0,136,180,20,32.7495,190.724,0.0275354,29.8344,34.6968,30,17.0163,13.6266,1.01898
"Jan 1, 01:00 pm",12,0.3,91,0,91,180,20,28.7883,206.12,0.0179823,29.5765,34.3262,30,15.3014,13.5329,0.672488
"Jan 1, 02:00 pm",11,0.2,144,24,153,180,20,22.0139,219.437,0.0338325,30.0358,34.9635,30.0358,17.25,13.9002,1.24317
"Jan 1, 03:00 pm",10,0.1,59,0,59,180,20,13.1924,230.56,0.0117968,29.4945,34.1533,30,12.3109,13.529,0.442682
"Jan 1, 04:00 pm",9,0.1,9,0,9,180,20,3.09865,239.883,0.000706516,26.821,31.2165,30,9.31228,5.41978,0.0441997
"Jan 1, 05:00 pm",8,0.1,0,0,0,0,0,-7.80612,247.936,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",8,0.1,0,0,0,0,0,-19.6593,255.246,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",8,0.1,0,0,0,0,0,-31.9113,262.36,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",7,0.1,0,0,0,0,0,-44.3715,270.012,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",6,0.1,0,0,0,0,0,-56.8157,279.643,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",5,0.1,0,0,0,0,0,-68.7496,295.515,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",5,0.1,0,0,0,0,0,-77.8875,335.048,0,0,0,0,0,0,0
"Jan 2, 12:00 am",4,0.1,0,0,0,0,0,-75.8303,41.4163,0,0,0,0,0,0,0
"Jan 2, 01:00 am",2,0.1,0,0,0,0,0,-65.3029,70.3955,0,0,0,0,0,0,0
"Jan 2, 02:00 am",1,0.1,0,0,0,0,0,-53.1202,83.556,0,0,0,0,0,0,0
"Jan 2, 03:00 am",1,0.1,0,0,0,0,0,-40.6374,92.3541,0,0,0,0,0,0,0
"Jan 2, 04:00 am",0,0.1,0,0,0,0,0,-28.2154,99.7414,0,0,0,0,0,0,0
"Jan 2, 05:00 am",0,0.1,0,0,0,0,0,-16.0562,106.848,0,0,0,0,0,0,0
"Jan 2, 06:00 am",0,0.1,0,0,0,0,0,-4.35657,114.322,0,0,0,0,0,0,0
"Jan 2, 07:00 am",0,0.2,31,486,82,180,20,6.20688,122.695,0.0337396,31.5361,36.4055,31.5361,6.90927,12.0297,1.17775
