"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-4,0.2,0,0,0,0,0,-68.5423,348.262,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-3,0.2,0,0,0,0,0,-67.1349,26.1468,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-3,0.5,0,0,0,0,0,-60.0748,53.7953,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-3,0.5,0,0,0,0,0,-50.4155,71.5211,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-3,0.4,0,0,0,0,0,-39.8092,84.2298,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-3,0.6,0,0,0,0,0,-28.9653,94.6732,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-3,0.9,0,0,0,0,0,-18.267,104.242,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-3,0.9,0,0,0,0,0,-8.00931,113.75,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-2,0.6,0,0,0,180,20,1.34744,123.773,0,0,0,0,0,0,0
"Jan 1, 09:00 am",-1,0.6,32,0,32,180,20,9.44367,134.765,0.00644676,30.573,35.0972,30.573,0.0547874,13.8823,0.231945
"Jan 1, 10:00 am",0,1,113,81,136,180,20,16.2584,147.051,0.0376826,31.8982,36.7952,31.8982,5.2339,14.7378,1.2999
"Jan 1, 11:00 am",1,1.4,70,0,70,180,20,21.036,160.71,0.0145926,31.1555,35.8058,31.1555,2.89022,14.3379,0.515283
"Jan 1, 12:00 pm",2,1.6,122,0,122,180,20,23.2865,175.41,0.0268036,31.5173,36.3106,31.5173,5.28461,14.4818,0.935891
"Jan 1, 01:00 pm",2,1.5,74,0,74,180,20,22.7403,190.389,0.0153635,31.0594,35.7244,31.0594,3.95354,14.2724,0.544306
"Jan 1, 02:00 pm",2,1.1,49,0,49,180,20,19.4657,204.757,0.010038,30.6179,35.2123,30.6179,3.4199,14.1082,0.360817
