"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-2,0.6,0,0,0,0,0,-68.1682,27.7778,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-2,0.6,0,0,0,0,0,-60.6946,55.731,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-2,0.6,0,0,0,0,0,-50.6898,73.0485,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-3,0.6,0,0,0,0,0,-39.817,85.324,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-3,0.6,0,0,0,0,0,-28.7511,95.4082,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-3,0.6,0,0,0,0,0,-17.8532,104.686,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-3,0.6,0,0,0,0,0,-7.40619,113.959,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-2,0.5,3,0,3,180,20,2.05093,123.802,0.000257923,27.159,31.445,30,-1.90761,5.79274,0.014142
"Jan 1, 08:00 am",-1,0.5,64,13,66,180,20,10.3983,134.677,0.0153507,31.4208,36.0731,31.4208,1.52168,14.2165,0.537299
"Jan 1, 09:00 am",0,0.5,107,5,109,180,20,17.3744,146.928,0.0247705,31.619,36.3853,31.619,3.97779,14.5981,0.861874
"Jan 1, 10:00 am",0,0.5,121,0,121,180,20,22.2684,160.645,0.0268511,31.6615,36.4505,31.6615,4.31221,14.5918,0.933059
"Jan 1, 11:00 am",1,0.5,154,10,158,180,20,24.5659,175.477,0.0362702,31.6251,36.5184,31.6251,6.83073,14.5755,1.26245
"Jan 1, 12:00 pm",2,0.5,167,33,180,180,20,23.981,190.605,0.0453068,31.4996,36.4914,31.4996,9.29248,14.5651,1.58411
"Jan 1, 01:00 pm",2,0.5,142,55,162,180,20,20.5898,205.065,0.0419476,31.5012,36.4589,31.5012,8.73698,14.605,1.46641
