"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-2,4.2,0,0,0,0,0,-69.945,24.0344,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-2,4.6,0,0,0,0,0,-62.6731,54.5369,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-2,5.1,0,0,0,0,0,-52.5456,72.5583,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-2,5.3,0,0,0,0,0,-41.484,84.8787,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-3,5.1,0,0,0,0,0,-30.2084,94.8017,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-3,4.9,0,0,0,0,0,-19.0803,103.84,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-3,4.5,0,0,0,0,0,-8.37311,112.834,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-2,4.4,13,0,13,180,20,1.45441,122.374,0.00160111,29.1099,33.5047,30,-1.81228,8.29836,0.0613322
"Jan 1, 08:00 am",-1,4.7,45,599,149,180,20,10.0916,132.945,0.0653413,32.6337,37.7627,32.6337,3.83115,14.088,2.20258
"Jan 1, 09:00 am",0,4.9,61,767,291,180,20,17.4786,144.928,0.116655,32.4407,38.0255,32.4407,7.98943,15.0319,3.96068
"Jan 1, 10:00 am",0,4.9,68,850,397,180,20,22.8304,158.477,0.152137,32.2025,38.0968,32.2025,10.358,15.1688,5.20846
"Jan 1, 11:00 am",0,4.9,71,883,452,180,20,25.5889,173.304,0.169135,32.0526,38.0974,32.0526,11.5387,15.1475,5.82032
"Jan 1, 12:00 pm",0,4.9,132,524,357,180,20,25.405,188.594,0.126062,32.3972,38.0631,32.3972,8.54705,15.2254,4.28678
"Jan 1, 01:00 pm",1,5,106,550,315,180,20,22.3038,203.3,0.115645,32.3259,37.9082,32.3259,8.76928,15.1665,3.94112
"Jan 1, 02:00 pm",1,5,63,728,272,180,20,16.6704,216.663,0.108538,32.3459,37.8683,32.3459,8.38514,14.9275,3.69594
"Jan 1, 03:00 pm",1,5,44,540,128,180,20,9.0768,228.461,0.0559374,32.3159,37.3736,32.3159,5.07083,13.7234,1.9046
"Jan 1, 04:00 pm",1,5.1,0,0,0,0,0,0.475021,238.886,0,0,0,0,0,0,0
"Jan 1, 05:00 pm",1,5.4,0,0,0,0,0,-9.65272,248.338,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",1,5.5,0,0,0,0,0,-20.4248,257.312,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",1,5.3,0,0,0,0,0,-31.584,266.418,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",1,5,0,0,0,0,0,-42.8519,276.552,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",1,4.7,0,0,0,0,0,-53.8415,289.369,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",0,4.6,0,0,0,0,0,-63.7437,308.526,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",0,4.5,0,0,0,0,0,-70.3856,341.023,0,0,0,0,0,0,0
"Jan 2, 12:00 am",0,4.3,0,0,0,0,0,-69.9017,23.6453,0,0,0,0,0,0,0
"Jan 2, 01:00 am",0,4.2,0,0,0,0,0,-62.6822,54.233,0,0,0,0,0,0,0
"Jan 2, 02:00 am",0,4.1,0,0,0,0,0,-52.5772,72.3356,0,0,0,0,0,0,0
"Jan 2, 03:00 am",0,3.9,0,0,0,0,0,-41.5229,84.701,0,0,0,0,0,0,0
"Jan 2, 04:00 am",0,3.9,0,0,0,0,0,-30.2472,94.6479,0,0,0,0,0,0,0
"Jan 2, 05:00 am",0,4,0,0,0,0,0,-19.1142,103.698,0,0,0,0,0,0,0
"Jan 2, 06:00 am",0,4.1,0,0,0,0,0,-8.39826,112.697,0,0,0,0,0,0,0
"Jan 2, 07:00 am",0,4.1,4,0,4,180,20,1.44347,122.237,0.000353433,27.2122,31.5231,30,0.0602221,5.95335,0.0188884
"Jan 2, 08:00 am",1,4.1,46,0,46,180,20,10.096,132.805,0.00951785,30.7978,35.3779,30.7978,1.77818,13.9662,0.339985
"Jan 2, 09:00 am",2,4.6,105,0,105,180,20,17.5042,144.785,0.023553,31.5974,36.3505,31.5974,3.72736,14.5856,0.820025
"Jan 2, 10:00 am",3,4.9,79,787,385,180,20,22.8809,158.337,0.143794,31.8238,37.6757,31.8238,12.9047,14.9912,4.98398
"Jan 2, 11:00 am",3,4.7,83,820,438,180,20,25.6653,173.176,0.160063,31.6442,37.6437,31.6442,14.3491,14.9537,5.58253
"Jan 2, 12:00 pm",3,4.5,179,305,310,180,20,25.505,188.488,0.0986751,32.0361,37.4915,32.0361,10.1576,14.9793,3.39376
"Jan 2, 01:00 pm",3,4.3,130,422,291,180,20,22.4217,203.221,0.100923,31.9992,37.4758,31.9992,10.5199,14.9905,3.47551
