"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-7,4,0,0,0,0,0,-69.4212,7.50314,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-8,3.8,0,0,0,0,0,-64.6906,42.1721,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-8,3.4,0,0,0,0,0,-55.8457,64.2342,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-9,2.8,0,0,0,0,0,-45.4268,78.8061,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-10,2.2,0,0,0,0,0,-34.5049,89.9602,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-11,1.9,0,0,0,0,0,-23.5694,99.6692,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-11,1.6,0,0,0,0,0,-12.9341,108.976,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-10,1.4,0,0,0,0,0,-2.88495,118.55,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-9,1.4,36,402,76,180,20,5.83585,128.904,0.0352093,33.1924,38.0053,33.1924,-4.09279,12.8422,1.165
"Jan 1, 09:00 am",-7,1.4,91,141,124,180,20,13.5733,140.448,0.0398082,33.0261,37.8936,33.0261,-2.09651,15.0529,1.32429
"Jan 1, 10:00 am",-7,1.4,138,161,192,180,20,19.5578,153.417,0.0600185,33.074,38.1317,33.074,0.276233,15.3459,1.99472
"Jan 1, 11:00 am",-7,1.3,161,260,263,180,20,23.2173,167.71,0.0868595,32.862,38.1682,32.862,3.79984,15.3295,2.90791
"Jan 1, 12:00 pm",-7,1.2,143,427,317,180,20,24.1356,182.748,0.112102,32.5088,38.0514,32.5088,7.36913,15.2423,3.79741
"Jan 1, 01:00 pm",-7,1.1,145,318,265,180,20,22.1956,197.614,0.0898637,32.7487,38.0879,32.7487,4.75202,15.2998,3.01955
"Jan 1, 02:00 pm",-7,1,120,52,136,180,20,17.6382,211.471,0.0370668,32.9392,37.7835,32.9392,-2.00936,15.2069,1.23635
"Jan 1, 03:00 pm",-8,1.1,47,0,47,180,20,10.9488,223.918,0.0101129,32.1412,36.6857,32.1412,-6.62268,14.6238,0.345483
"Jan 1, 04:00 pm",-8,1.5,7,0,7,180,20,2.78425,234.997,0.000905979,29.3395,33.6703,30,-7.8336,8.9397,0.0341842
"Jan 1, 05:00 pm",-8,1.8,0,0,0,0,0,-6.42438,245.022,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",-8,2,0,0,0,0,0,-16.7184,254.442,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",-8,2.2,0,0,0,0,0,-27.4925,263.815,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",-8,2.4,0,0,0,0,0,-38.4599,273.911,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",-8,2.6,0,0,0,0,0,-49.2663,286.019,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-8,2.9,0,0,0,0,0,-59.2794,302.707,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-8,3.3,0,0,0,0,0,-67.0069,328.979,0,0,0,0,0,0,0
