"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",6,0.9,0,0,0,0,0,-77.2623,3.69673,0,0,0,0,0,0,0
"Jan 1, 01:00 am",6,0.8,0,0,0,0,0,-71.065,52.8282,0,0,0,0,0,0,0
"Jan 1, 02:00 am",6,0.8,0,0,0,0,0,-60.0466,73.9532,0,0,0,0,0,0,0
"Jan 1, 03:00 am",5,0.9,0,0,0,0,0,-47.9921,85.6816,0,0,0,0,0,0,0
"Jan 1, 04:00 am",5,0.8,0,0,0,0,0,-35.7507,94.3531,0,0,0,0,0,0,0
"Jan 1, 05:00 am",5,0.5,0,0,0,0,0,-23.6323,102.009,0,0,0,0,0,0,0
"Jan 1, 06:00 am",5,0.3,0,0,0,0,0,-11.8488,109.579,0,0,0,0,0,0,0
"Jan 1, 07:00 am",6,0.4,0,0,0,0,0,-0.625686,117.668,0,0,0,0,0,0,0
"Jan 1, 08:00 am",7,0.5,58,352,114,180,20,9.27513,126.802,0.0406617,30.6853,35.6632,30.6853,14.1455,13.1301,1.4612
"Jan 1, 09:00 am",9,0.5,88,595,274,180,20,18.3235,137.493,0.0922719,29.9371,35.4476,30,24.5888,13.8762,3.40896
"Jan 1, 10:00 am",12,0.6,101,0,101,180,20,25.5596,150.158,0.0203602,29.7129,34.4907,30,15.3914,13.6615,0.756864
"Jan 1, 11:00 am",14,0.7,171,5,173,180,20,30.263,164.844,0.0361895,29.7322,34.6979,30,19.8719,13.6282,1.34543
"Jan 1, 12:00 pm",15,0.8,203,23,216,180,20,31.7977,180.853,0.0461609,29.6446,34.721,30,22.3088,13.5943,1.72343
"Jan 1, 01:00 pm",16,0.8,224,101,274,180,20,29.9158,196.783,0.065612,29.4027,34.6873,30,26.4338,13.5557,2.48021
"Jan 1, 02:00 pm",16,0.7,161,21,170,180,20,24.9181,211.279,0.0364372,29.4433,34.4234,30,21.9524,13.5549,1.37312
"Jan 1, 03:00 pm",15,0.5,116,37,128,180,20,17.4622,223.731,0.0296061,29.4743,34.3745,30,20.1037,13.597,1.11359
"Jan 1, 04:00 pm",12,0.3,41,457,106,180,20,8.26731,234.242,0.0401462,29.8435,34.8473,30,19.8881,12.3829,1.48607
"Jan 1, 05:00 pm",10,0.3,0,0,0,0,0,-1.74965,243.249,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",9,0.3,0,0,0,0,0,-13.0426,251.267,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",8,0.4,0,0,0,0,0,-24.8699,258.825,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",8,0.4,0,0,0,0,0,-37.0098,266.549,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",8,0.4,0,0,0,0,0,-49.2463,275.436,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",8,0.4,0,0,0,0,0,-61.2426,287.755,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",9,0.4,0,0,0,0,0,-72.0124,310.754,0,0,0,0,0,0,0
"Jan 2, 12:00 am",9,0.4,0,0,0,0,0,-77.1871,3.16278,0,0,0,0,0,0,0
"Jan 2, 01:00 am",9,0.4,0,0,0,0,0,-71.084,52.4012,0,0,0,0,0,0,0
"Jan 2, 02:00 am",9,0.5,0,0,0,0,0,-60.0965,73.6953,0,0,0,0,0,0,0
"Jan 2, 03:00 am",9,0.4,0,0,0,0,0,-48.0501,85.4954,0,0,0,0,0,0,0
"Jan 2, 04:00 am",9,0.4,0,0,0,0,0,-35.8085,94.1998,0,0,0,0,0,0,0
"Jan 2, 05:00 am",8,0.4,0,0,0,0,0,-23.6856,101.871,0,0,0,0,0,0,0
"Jan 2, 06:00 am",8,0.4,0,0,0,0,0,-11.8942,109.447,0,0,0,0,0,0,0
"Jan 2, 07:00 am",9,0.5,0,0,0,0,0,-0.659554,117.535,0,0,0,0,0,0,0
"Jan 2, 08:00 am",11,0.8,46,484,123,180,20,9.25697,126.665,0.0461961,30.1685,35.2241,30.1685,18.6552,12.7768,1.69044
"Jan 2, 09:00 am",13,0.9,102,0,102,180,20,18.3255,137.349,0.0211588,29.6352,34.4262,30,16.245,13.6933,0.789305
