"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",3,9.4,0,0,0,0,0,-69.1193,24.637,0,0,0,0,0,0,0
"Jan 1, 01:00 am",3,9.8,0,0,0,0,0,-61.9164,54.2423,0,0,0,0,0,0,0
"Jan 1, 02:00 am",2,9.6,0,0,0,0,0,-51.9315,72.1935,0,0,0,0,0,0,0
"Jan 1, 03:00 am",1,9.1,0,0,0,0,0,-41.0041,84.6438,0,0,0,0,0,0,0
"Jan 1, 04:00 am",1,8.4,0,0,0,0,0,-29.8538,94.7289,0,0,0,0,0,0,0
"Jan 1, 05:00 am",1,7.8,0,0,0,0,0,-18.8495,103.928,0,0,0,0,0,0,0
"Jan 1, 06:00 am",1,7.3,0,0,0,0,0,-8.27133,113.076,0,0,0,0,0,0,0
"Jan 1, 07:00 am",1,6.8,0,0,0,180,20,1.42128,122.761,0,0,0,0,0,0,0
"Jan 1, 08:00 am",2,6.7,11,0,11,180,20,9.90248,133.458,0.00202633,28.8099,33.2369,30,2.13281,12.7235,0.0794717
"Jan 1, 09:00 am",2,7.2,17,0,17,180,20,17.124,145.533,0.00332174,29.409,33.8776,30,2.19595,13.4837,0.125014
"Jan 1, 10:00 am",3,7.8,46,0,46,180,20,22.3086,159.116,0.00938426,30.5205,35.1073,30.5205,3.50137,14.0508,0.338402
"Jan 1, 11:00 am",4,8.1,98,0,98,180,20,24.9182,173.907,0.0208039,31.2582,35.9889,31.2582,5.05708,14.3658,0.73246
"Jan 1, 12:00 pm",5,8,163,29,175,180,20,24.628,189.104,0.0437577,31.7677,36.7323,31.7677,7.19979,14.6634,1.51631
"Jan 1, 01:00 pm",5,7.5,61,0,61,180,20,21.4763,203.707,0.0124809,30.5486,35.1859,30.5486,5.68456,14.0816,0.449829
"Jan 1, 02:00 pm",5,6.8,108,77,130,180,20,15.8446,217.003,0.0350016,31.5633,36.446,31.5633,6.99043,14.5577,1.22073
"Jan 1, 03:00 pm",4,6.3,36,586,119,180,20,8.29439,228.789,0.0537898,31.9345,36.9906,31.9345,7.44839,13.3371,1.85427
"Jan 1, 04:00 pm",3,6,0,0,0,0,0,-0.279374,239.258,0,0,0,0,0,0,0
"Jan 1, 05:00 pm",2,5.7,0,0,0,0,0,-10.3059,248.802,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",1,5.4,0,0,0,0,0,-20.9884,257.918,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",1,5,0,0,0,0,0,-32.042,267.226,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",0,4.7,0,0,0,0,0,-43.1784,277.648,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",0,4.2,0,0,0,0,0,-53.9872,290.883,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",0,3.8,0,0,0,0,0,-63.6088,310.593,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",0,3.4,0,0,0,0,0,-69.8312,343.154,0,0,0,0,0,0,0
"Jan 2, 12:00 am",0,3,0,0,0,0,0,-69.0767,24.2625,0,0,0,0,0,0,0
"Jan 2, 01:00 am",0,2.7,0,0,0,0,0,-61.9239,53.9459,0,0,0,0,0,0,0
"Jan 2, 02:00 am",0,2.2,0,0,0,0,0,-51.961,71.9732,0,0,0,0,0,0,0
"Jan 2, 03:00 am",0,1.9,0,0,0,0,0,-41.041,84.4668,0,0,0,0,0,0,0
"Jan 2, 04:00 am",0,1.9,0,0,0,0,0,-29.8907,94.5751,0,0,0,0,0,0,0
"Jan 2, 05:00 am",0,2.4,0,0,0,0,0,-18.8815,103.786,0,0,0,0,0,0,0
"Jan 2, 06:00 am",0,3.1,0,0,0,0,0,-8.2946,112.939,0,0,0,0,0,0,0
"Jan 2, 07:00 am",0,4.2,9,0,9,180,20,1.41202,122.623,0.00109723,28.3725,32.7495,30,0.136232,8.21431,0.0450532
"Jan 2, 08:00 am",0,4.9,57,273,104,180,20,9.90876,133.318,0.040238,32.3065,37.2124,32.3065,2.89853,14.1293,1.36977
"Jan 2, 09:00 am",1,5.3,94,418,217,180,20,17.1513,145.391,0.080772,32.4547,37.7307,32.4547,6.26598,15.0209,2.73942
"Jan 2, 10:00 am",2,5.7,84,662,336,180,20,22.3605,158.978,0.127469,32.211,37.9009,32.211,9.88485,15.1435,4.36112
