"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",0,3.8,0,0,0,0,0,-72.585,22.3301,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-1,3.7,0,0,0,0,0,-65.0283,56.0405,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-1,3.6,0,0,0,0,0,-54.4108,74.1217,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-1,3.6,0,0,0,0,0,-42.9172,85.9096,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-2,3.6,0,0,0,0,0,-31.2511,95.2533,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-2,3.6,0,0,0,0,0,-19.7429,103.744,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-2,3.5,0,0,0,0,0,-8.64211,112.229,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-1,3.6,11,0,11,180,20,1.59245,121.297,0.00191065,29.1748,33.5861,30,-0.80392,11.7032,0.0728823
"Jan 1, 08:00 am",1,3.8,66,267,115,180,20,10.7104,131.454,0.0424664,32.1245,37.0608,32.1245,4.53169,14.282,1.45435
"Jan 1, 09:00 am",4,4.2,89,563,268,180,20,18.6067,143.131,0.0980323,31.8382,37.2995,31.8382,11.5108,14.7508,3.39365
"Jan 1, 10:00 am",7,4.3,149,465,342,180,20,24.4771,156.556,0.111927,31.341,36.9513,31.341,15.551,14.6026,3.94062
"Jan 1, 11:00 am",8,4.1,179,445,386,180,20,27.7003,171.498,0.12179,31.0841,36.7952,31.0841,17.6573,14.4646,4.32611
"Jan 1, 12:00 pm",8,4.3,144,2,145,180,20,27.8474,187.096,0.0309675,30.9247,35.789,30.9247,10.442,14.0856,1.10326
"Jan 1, 01:00 pm",9,4.6,87,739,398,180,20,24.8971,202.145,0.138592,30.9086,36.7761,30.9086,19.2628,14.4806,4.95396
"Jan 1, 02:00 pm",7,4.3,127,333,237,180,20,19.2477,215.732,0.0763527,31.4687,36.757,31.4687,12.834,14.5862,2.67468
"Jan 1, 03:00 pm",5,3.6,39,730,183,180,20,11.5122,227.568,0.0768655,31.6328,36.9171,31.6328,11.7246,13.9686,2.67796
"Jan 1, 04:00 pm",3,3.2,26,0,26,180,20,2.43263,237.854,0.0046363,29.6328,34.137,30,3.49365,12.0147,0.172614
"Jan 1, 05:00 pm",1,3.4,0,0,0,0,0,-7.63971,247.009,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",1,3.8,0,0,0,0,0,-18.6891,255.533,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",1,4.4,0,0,0,0,0,-30.1682,264.006,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",2,5.2,0,0,0,0,0,-41.8279,273.24,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",2,6.2,0,0,0,0,0,-53.3506,284.724,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",1,7.1,0,0,0,0,0,-64.0883,301.982,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",1,7.6,0,0,0,0,0,-72.0753,333.768,0,0,0,0,0,0,0
"Jan 2, 12:00 am",1,7.7,0,0,0,0,0,-72.5419,21.8853,0,0,0,0,0,0,0
"Jan 2, 01:00 am",2,7.5,0,0,0,0,0,-65.0457,55.7133,0,0,0,0,0,0,0
"Jan 2, 02:00 am",1,7,0,0,0,0,0,-54.451,73.8945,0,0,0,0,0,0,0
"Jan 2, 03:00 am",1,6.2,0,0,0,0,0,-42.9642,85.7329,0,0,0,0,0,0,0
"Jan 2, 04:00 am",0,5.2,0,0,0,0,0,-31.2977,95.1019,0,0,0,0,0,0,0
"Jan 2, 05:00 am",0,4.2,0,0,0,0,0,-19.7845,103.605,0,0,0,0,0,0,0
"Jan 2, 06:00 am",0,3.6,0,0,0,0,0,-8.67491,112.094,0,0,0,0,0,0,0
"Jan 2, 07:00 am",1,4.1,14,0,14,180,20,1.57447,121.162,0.00243215,29.1663,33.6046,30,1.23183,11.7052,0.0928483
"Jan 2, 08:00 am",4,5.1,62,328,122,180,20,10.707,131.315,0.0460565,31.8113,36.7975,31.8113,7.25157,14.0917,1.59376
"Jan 2, 09:00 am",6,6.1,133,226,205,180,20,18.6246,142.987,0.0640868,31.7432,36.9047,31.7432,9.89576,14.6788,2.22393
"Jan 2, 10:00 am",7,6.8,129,556,360,180,20,24.5207,156.412,0.121828,31.6262,37.3045,31.6262,13.8496,14.7554,4.24914
"Jan 2, 11:00 am",8,6.8,149,562,411,180,20,27.7713,171.365,0.135161,31.4129,37.2186,31.4129,15.6517,14.6533,4.74902
"Jan 2, 12:00 pm",9,6.6,127,638,426,180,20,27.9438,186.984,0.142876,31.1969,37.0822,31.1969,17.3021,14.5801,5.05747
"Jan 2, 01:00 pm",8,6.1,88,739,400,180,20,25.0129,202.062,0.140764,31.2926,37.154,31.2926,16.5926,14.6518,4.96635
"Jan 2, 02:00 pm",7,4.9,46,879,338,180,20,19.3758,215.677,0.126702,31.3448,37.0822,31.3448,15.9515,14.5777,4.46144
"Jan 2, 03:00 pm",4,3.1,43,618,167,180,20,11.6465,227.538,0.0685746,31.7203,36.9244,31.7203,10.4631,14.0481,2.38174
"Jan 2, 04:00 pm",1,2,26,0,26,180,20,2.56093,237.841,0.00528346,30.072,34.5828,30.072,1.68881,12.1906,0.193361
"Jan 2, 05:00 pm",1,1.8,0,0,0,0,0,-7.50092,247.009,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",0,1.7,0,0,0,0,0,-18.5505,255.543,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",0,1.5,0,0,0,0,0,-30.03,264.024,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",0,1.4,0,0,0,0,0,-41.6896,273.263,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",0,1.3,0,0,0,0,0,-53.2115,284.741,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",0,1.2,0,0,0,0,0,-63.9491,301.956,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",0,1.2,0,0,0,0,0,-71.9522,333.547,0,0,0,0,0,0,0
"Jan 3, 12:00 am",0,1.3,0,0,0,0,0,-72.4904,21.4384,0,0,0,0,0,0,0
"Jan 3, 01:00 am",-1,1.6,0,0,0,0,0,-65.0561,55.375,0,0,0,0,0,0,0
