"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",1,7.6,0,0,0,0,0,-72.4846,355.973,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,8.5,0,0,0,0,0,-68.9231,38.513,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,8.9,0,0,0,0,0,-59.8924,63.7043,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-1,9.1,0,0,0,0,0,-49.0098,78.6726,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-2,9.4,0,0,0,0,0,-37.59,89.4764,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-2,9.4,0,0,0,0,0,-26.1381,98.6216,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-2,9.1,0,0,0,0,0,-14.9477,107.287,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-2,8.7,0,0,0,0,0,-4.27817,116.184,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-1,8.4,18,0,18,180,20,5.17028,125.856,0.00317396,29.8119,34.2633,30,-0.81895,12.1596,0.117204
"Jan 1, 09:00 am",-1,8.2,16,0,16,180,20,13.7112,136.768,0.00317122,29.8129,34.2644,30,-0.832275,13.6814,0.117098
"Jan 1, 10:00 am",0,8,130,8,133,180,20,20.6149,149.263,0.0309293,32.226,37.0378,32.226,1.5342,14.8625,1.05525
"Jan 1, 11:00 am",0,7.8,165,25,176,180,20,25.2364,163.381,0.0421974,32.4701,37.3871,32.4701,2.11895,14.9498,1.42904
"Jan 1, 12:00 pm",0,7.6,170,11,175,180,20,27.0409,178.621,0.0408526,32.44,37.345,32.44,2.09794,14.8859,1.38478
"Jan 1, 01:00 pm",0,7.4,146,1,147,180,20,25.7819,193.966,0.033119,32.2703,37.1035,32.2703,1.74297,14.8064,1.12846
"Jan 1, 02:00 pm",-1,7.1,148,44,164,180,20,21.6339,208.342,0.0429649,32.6075,37.5275,32.6075,1.29181,15.0654,1.44859
"Jan 1, 03:00 pm",-2,6.9,56,0,56,180,20,15.0961,221.142,0.011831,31.5342,36.1281,31.5342,-1.3321,14.5164,0.412414
"Jan 1, 04:00 pm",-3,6.8,14,0,14,180,20,6.79463,232.322,0.00265951,29.8997,34.3285,30,-2.83366,13.1142,0.0978473
"Jan 1, 05:00 pm",-3,6.9,0,0,0,0,0,-2.43265,242.19,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",-4,7.1,0,0,0,0,0,-12.9778,251.195,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",-5,7.2,0,0,0,0,0,-24.0927,259.867,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",-5,7.3,0,0,0,0,0,-35.5143,268.874,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",-5,7.4,0,0,0,0,0,-46.9621,279.274,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-6,7.5,0,0,0,0,0,-57.9903,293.227,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-6,7.6,0,0,0,0,0,-67.51,315.927,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-6,7.7,0,0,0,0,0,-72.3966,355.618,0,0,0,0,0,0,0
"Jan 2, 01:00 am",-6,7.6,0,0,0,0,0,-68.9092,38.1269,0,0,0,0,0,0,0
"Jan 2, 02:00 am",-6,7.4,0,0,0,0,0,-59.9186,63.4331,0,0,0,0,0,0,0
"Jan 2, 03:00 am",-5,7.2,0,0,0,0,0,-49.0507,78.4719,0,0,0,0,0,0,0
"Jan 2, 04:00 am",-5,7,0,0,0,0,0,-37.6344,89.3122,0,0,0,0,0,0,0
"Jan 2, 05:00 am",-5,6.8,0,0,0,0,0,-26.1803,98.476,0,0,0,0,0,0,0
"Jan 2, 06:00 am",-5,6.7,0,0,0,0,0,-14.9833,107.15,0,0,0,0,0,0,0
"Jan 2, 07:00 am",-5,6.7,0,0,0,0,0,-4.30356,116.049,0,0,0,0,0,0,0
"Jan 2, 08:00 am",-5,6.7,42,116,52,180,20,5.15941,125.719,0.0175017,32.3805,37.0255,32.3805,-3.86897,12.4529,0.593718
"Jan 2, 09:00 am",-5,6.6,106,418,205,180,20,13.7186,136.627,0.0761351,33.4204,38.6039,33.4204,-0.760397,15.13,2.50369
"Jan 2, 10:00 am",-5,6.5,143,223,222,180,20,20.6453,149.12,0.072617,33.419,38.5696,33.419,-0.993919,15.5084,2.38808
"Jan 2, 11:00 am",-5,6.4,205,131,261,180,20,25.293,163.242,0.0771415,33.421,38.6123,33.421,-0.688516,15.4624,2.53686
"Jan 2, 12:00 pm",-5,6.3,193,267,315,180,20,27.1239,178.498,0.101051,33.4083,38.8027,33.4083,0.686639,15.5385,3.32583
"Jan 2, 01:00 pm",-5,6.1,180,284,304,180,20,25.8874,193.867,0.0988339,33.3956,38.7724,33.3956,0.681974,15.5498,3.25407
"Jan 2, 02:00 pm",-6,5.9,157,156,215,180,20,21.7553,208.271,0.065682,33.5015,38.587,33.5015,-2.13645,15.5292,2.15411
"Jan 2, 03:00 pm",-6,5.6,89,599,246,180,20,15.2269,221.097,0.096636,33.4849,38.838,33.4849,-0.0373854,15.2768,3.17269
"Jan 2, 04:00 pm",-7,5.2,49,340,89,180,20,6.92868,232.298,0.0371244,33.285,38.1142,33.285,-4.35837,13.5781,1.22483
"Jan 2, 05:00 pm",-7,4.9,0,0,0,0,0,-2.29436,242.181,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",-8,4.5,0,0,0,0,0,-12.839,251.198,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",-8,4.3,0,0,0,0,0,-23.9542,259.878,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",-9,4.1,0,0,0,0,0,-35.3759,268.89,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",-9,3.9,0,0,0,0,0,-46.8234,279.29,0,0,0,0,0,0,0
