"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",0,1.9,0,0,0,0,0,-71.7837,20.5887,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,1.9,0,0,0,0,0,-64.6303,54.0315,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,1.8,0,0,0,0,0,-54.2955,72.6437,0,0,0,0,0,0,0
"Jan 1, 03:00 am",0,1.6,0,0,0,0,0,-42.9915,84.8677,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,1.4,0,0,0,0,0,-31.471,94.5281,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-1,1.3,0,0,0,0,0,-20.0876,103.257,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-1,1.6,0,0,0,0,0,-9.10161,111.925,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-1,2.1,0,0,0,180,20,1.0968,121.133,0,0,0,0,0,0,0
"Jan 1, 08:00 am",0,2.9,3,0,3,180,20,10.0427,131.382,0.000437436,27.4083,31.7297,30,0.0598442,10.0797,0.0218362
"Jan 1, 09:00 am",0,3.6,127,69,148,180,20,17.8441,143.093,0.0399144,32.2391,37.1439,32.2391,3.30908,14.8742,1.36175
"Jan 1, 10:00 am",1,3.9,135,500,335,180,20,23.6492,156.483,0.115479,32.1345,37.7274,32.1345,10.1026,14.987,3.96012
"Jan 1, 11:00 am",1,4.1,205,93,247,180,20,26.8545,171.331,0.0660318,32.317,37.4685,32.317,6.08812,14.8547,2.24877
"Jan 1, 12:00 pm",2,4.3,210,200,301,180,20,27.0449,186.817,0.0876664,32.1841,37.5359,32.1841,8.56758,14.8711,2.99991
"Jan 1, 01:00 pm",2,4.6,65,893,430,180,20,24.1934,201.799,0.157503,31.7865,37.7549,31.7865,13.3302,14.9151,5.46712
"Jan 1, 02:00 pm",1,4.6,130,261,213,180,20,18.6766,215.394,0.069554,32.3785,37.5583,32.3785,5.96808,14.982,2.36421
"Jan 1, 03:00 pm",0,3.8,68,5,69,180,20,11.0856,227.308,0.0156877,31.4808,36.1349,31.4808,1.29879,14.4378,0.548026
