"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-2,4,0,0,0,0,0,-70.74,8.87316,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-2,4.1,0,0,0,0,0,-65.5338,44.7936,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-2,4.2,0,0,0,0,0,-56.2266,66.451,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-2,4.2,0,0,0,0,0,-45.4752,80.4425,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-2,4.2,0,0,0,0,0,-34.2989,91.1251,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-1,4.2,0,0,0,0,0,-23.1493,100.467,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-1,4.3,0,0,0,0,0,-12.3208,109.486,0,0,0,0,0,0,0
"Jan 1, 07:00 am",0,4.3,0,0,0,0,0,-2.09014,118.837,0,0,0,0,0,0,0
"Jan 1, 08:00 am",0,4.4,29,0,29,180,20,6.78343,129.036,0.00561796,30.3378,34.8495,30.3378,0.458798,13.3274,0.20373
"Jan 1, 09:00 am",2,4.4,10,0,10,180,20,14.6876,140.503,0.00185189,28.6979,33.1184,30,2.15908,12.7881,0.0733741
"Jan 1, 10:00 am",3,4.6,150,135,198,180,20,20.7917,153.49,0.0581436,32.0462,37.1378,32.0462,7.18248,14.8867,1.99731
"Jan 1, 11:00 am",4,4.6,180,175,253,180,20,24.507,167.89,0.0744309,31.9464,37.1922,31.9464,9.36201,14.8693,2.56625
"Jan 1, 12:00 pm",5,4.6,164,368,322,180,20,25.3951,183.078,0.104248,31.7323,37.2534,31.7323,12.52,14.8674,3.62197
"Jan 1, 01:00 pm",6,4.9,114,552,333,180,20,23.3384,198.058,0.118602,31.556,37.2113,31.556,14.2517,14.8339,4.14609
