"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-9,2.3,0,0,0,0,0,-70.0788,356.065,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-10,2.2,0,0,0,0,0,-67.0503,34.5671,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-11,2.3,0,0,0,0,0,-58.8386,59.8684,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-12,2.4,0,0,0,0,0,-48.565,75.8166,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-13,2.5,0,0,0,0,0,-37.6075,87.4807,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-12,2.4,0,0,0,0,0,-26.5438,97.3094,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-12,2.3,0,0,0,0,0,-15.7073,106.524,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-12,2.3,0,0,0,0,0,-5.37816,115.862,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-11,2.4,11,0,11,180,20,3.78306,125.872,0.00148142,30.4176,34.7681,30.4176,-10.7827,9.29572,0.0534881
"Jan 1, 09:00 am",-11,2.8,79,86,97,180,20,11.9632,136.997,0.0301663,33.6357,38.3765,33.6357,-8.22065,15.1959,0.984184
"Jan 1, 10:00 am",-10,3.1,85,0,85,180,20,18.5759,149.544,0.0193383,33.1576,37.7947,33.1576,-8.3073,15.2549,0.640056
"Jan 1, 11:00 am",-10,3.3,121,0,121,180,20,22.9922,163.531,0.0281765,33.4761,38.2018,33.4761,-7.63075,15.3631,0.923781
"Jan 1, 12:00 pm",-10,3.5,163,27,174,180,20,24.7283,178.505,0.0460751,33.7837,38.6758,33.7837,-6.28615,15.5339,1.49718
"Jan 1, 01:00 pm",-10,3.7,156,28,167,180,20,23.5637,193.579,0.0443701,33.7823,38.6589,33.7823,-6.53383,15.5483,1.44172
"Jan 1, 02:00 pm",-9,4,126,19,133,180,20,19.6486,207.816,0.0328775,33.477,38.2529,33.477,-6.52261,15.426,1.07807
"Jan 1, 03:00 pm",-9,4.1,63,0,63,180,20,13.4282,220.664,0.0141019,32.7334,37.3186,32.7334,-7.92405,15.0042,0.472852
"Jan 1, 04:00 pm",-9,4.1,18,0,18,180,20,5.49359,232.057,0.00338272,31.1176,35.5385,31.1176,-8.70698,12.961,0.119383
"Jan 1, 05:00 pm",-9,4,0,0,0,0,0,-3.40636,242.261,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",-9,3.9,0,0,0,0,0,-13.5986,251.701,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",-9,4,0,0,0,0,0,-24.3547,260.9,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",-9,4.3,0,0,0,0,0,-35.3931,270.546,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",-9,4.9,0,0,0,0,0,-46.3995,281.728,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-9,5.5,0,0,0,0,0,-56.8683,296.557,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-9,6.1,0,0,0,0,0,-65.6519,319.486,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-9,6.4,0,0,0,0,0,-69.9871,355.755,0,0,0,0,0,0,0
"Jan 2, 01:00 am",-10,6.4,0,0,0,0,0,-67.0226,34.2121,0,0,0,0,0,0,0
"Jan 2, 02:00 am",-10,6.5,0,0,0,0,0,-58.8513,59.5979,0,0,0,0,0,0,0
"Jan 2, 03:00 am",-10,6.8,0,0,0,0,0,-48.5946,75.6099,0,0,0,0,0,0,0
"Jan 2, 04:00 am",-11,6.9,0,0,0,0,0,-37.6421,87.3099,0,0,0,0,0,0,0
"Jan 2, 05:00 am",-11,6.9,0,0,0,0,0,-26.5769,97.158,0,0,0,0,0,0,0
"Jan 2, 06:00 am",-11,6.9,0,0,0,0,0,-15.7344,106.382,0,0,0,0,0,0,0
