"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",23,5.2,0,0,0,0,0,-87.3857,214.594,0,0,0,0,0,0,0
"Jan 1, 01:00 am",23,5.3,0,0,0,0,0,-76.6172,100.099,0,0,0,0,0,0,0
"Jan 1, 02:00 am",23,5.3,0,0,0,0,0,-62.8212,99.0452,0,0,0,0,0,0,0
"Jan 1, 03:00 am",23,5.4,0,0,0,0,0,-49.0554,100.847,0,0,0,0,0,0,0
"Jan 1, 04:00 am",23,5.8,0,0,0,0,0,-35.3973,103.567,0,0,0,0,0,0,0
"Jan 1, 05:00 am",23,6,0,0,0,0,0,-21.9161,106.967,0,0,0,0,0,0,0
"Jan 1, 06:00 am",23,6.1,0,0,0,0,0,-8.70569,111.133,0,0,0,0,0,0,0
"Jan 1, 07:00 am",23,6.7,22,242,37,180,20,3.74168,116.318,0.00691693,27.3381,31.983,30,23.8748,5.46266,0.34114
"Jan 1, 08:00 am",24,7.4,61,633,232,180,20,15.7438,122.962,0.0707982,29.2202,34.566,30,28.2154,13.0187,2.70398
"Jan 1, 09:00 am",24,7.7,77,791,435,180,20,26.8498,131.743,0.123997,29.2178,35.0669,30,30.9279,13.5986,4.74099
"Jan 1, 10:00 am",24,8,232,25,247,180,20,36.2903,143.584,0.0502539,29.0992,34.2437,30,26.8061,13.1704,1.93287
"Jan 1, 11:00 am",24,8.2,324,225,478,180,20,43.0212,159.277,0.112274,29.2896,35.0253,30,30.0576,13.4018,4.2743
"Jan 1, 12:00 pm",24,8.4,330,64,376,180,20,45.7773,178.25,0.0817983,29.3164,34.7631,30,28.3684,13.2715,3.10777
