"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",6,2.7,0,0,0,0,0,-82.6129,10.269,0,0,0,0,0,0,0
"Jan 1, 01:00 am",5,2.6,0,0,0,0,0,-73.3755,69.0926,0,0,0,0,0,0,0
"Jan 1, 02:00 am",4,2.5,0,0,0,0,0,-60.6964,83.9524,0,0,0,0,0,0,0
"Jan 1, 03:00 am",4,2.4,0,0,0,0,0,-47.696,92.0667,0,0,0,0,0,0,0
"Jan 1, 04:00 am",3,2.3,0,0,0,0,0,-34.7419,98.4685,0,0,0,0,0,0,0
"Jan 1, 05:00 am",3,2.2,0,0,0,0,0,-21.991,104.505,0,0,0,0,0,0,0
"Jan 1, 06:00 am",2,2.2,0,0,0,0,0,-9.59017,110.817,0,0,0,0,0,0,0
"Jan 1, 07:00 am",3,2.4,14,239,21,180,20,2.03111,117.894,0.00608525,29.8854,34.4211,30,4.0955,6.65453,0.224249
"Jan 1, 08:00 am",5,3,46,713,204,180,20,12.8158,126.248,0.0746797,31.5341,36.8036,31.5341,12.2529,13.8347,2.61026
"Jan 1, 09:00 am",8,3.5,59,883,397,180,20,22.5725,136.468,0.131981,30.8594,36.6734,30.8594,19.4811,14.425,4.72505
"Jan 1, 10:00 am",10,3.7,66,958,552,180,20,30.459,149.129,0.171209,30.1925,36.3892,30.1925,24.6402,14.2607,6.27757
"Jan 1, 11:00 am",11,3.8,70,994,648,180,20,35.6189,164.41,0.193783,29.7773,36.2011,30,27.5627,14.0558,7.21743
"Jan 1, 12:00 pm",12,3.9,73,1000,678,180,20,37.2339,181.457,0.1994,29.5789,36.0686,30,28.9389,13.9337,7.49149
"Jan 1, 01:00 pm",12,4,70,992,639,180,20,34.9876,198.325,0.190968,29.7348,36.1371,30,27.8748,14.0358,7.12485
"Jan 1, 02:00 pm",11,3.9,65,957,533,180,20,29.3112,213.196,0.166423,30.1623,36.3196,30.1623,24.8323,14.2414,6.10809
"Jan 1, 03:00 pm",10,3.5,55,884,372,180,20,21.0576,225.422,0.124135,30.6305,36.3892,30.6305,20.9156,14.2578,4.47882
"Jan 1, 04:00 pm",8,2.4,40,711,175,180,20,11.062,235.292,0.06498,30.9808,36.1871,30.9808,15.2884,13.2524,2.31343
