"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",0,2.1,0,0,0,0,0,-72.3082,346.029,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-1,2.1,0,0,0,0,0,-70.4801,31.2729,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-1,2.1,0,0,0,0,0,-62.1268,59.8985,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-1,2.1,0,0,0,0,0,-51.4221,76.2499,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-1,2.1,0,0,0,0,0,-40.0208,87.5708,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-1,2.1,0,0,0,0,0,-28.5156,96.8803,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-1,2.1,0,0,0,0,0,-17.2194,105.53,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-1,2.1,0,0,0,0,0,-6.38886,114.29,0,0,0,0,0,0,0
"Jan 1, 08:00 am",0,2.7,20,326,37,180,20,3.35719,123.725,0.0135051,31.1936,35.8255,31.1936,2.01463,8.18223,0.476241
"Jan 1, 09:00 am",2,3.3,47,669,187,180,20,12.1599,134.319,0.0773529,32.031,37.3,32.031,8.97927,14.2105,2.65968
"Jan 1, 10:00 am",4,3.2,118,366,240,180,20,19.492,146.455,0.0821752,31.7439,37.0698,31.7439,11.3138,14.779,2.85278
"Jan 1, 11:00 am",7,2.8,72,850,426,180,20,24.6653,160.259,0.150982,30.5826,36.5779,30.5826,21.741,14.4486,5.4591
"Jan 1, 12:00 pm",8,2.6,79,858,470,180,20,27.1074,175.356,0.161375,30.2046,36.3151,30.2046,24.5046,14.2949,5.91356
"Jan 1, 01:00 pm",9,2.5,148,489,366,180,20,26.4903,190.801,0.118647,30.5573,36.2724,30.5573,21.278,14.3693,4.29118
"Jan 1, 02:00 pm",9,1.9,92,729,375,180,20,22.9013,205.469,0.130541,30.1642,36.008,30.1642,24.3579,14.2097,4.78782
"Jan 1, 03:00 pm",6,1.5,115,188,169,180,20,16.7926,218.621,0.0523884,31.1656,36.2421,31.1656,12.6049,14.4049,1.8528
"Jan 1, 04:00 pm",4,1.8,59,298,104,180,20,8.77769,230.11,0.0387792,31.4055,36.3353,31.4055,8.82362,13.4747,1.35979
"Jan 1, 05:00 pm",4,2.2,0,0,0,0,0,-0.216838,240.193,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",5,2.7,0,0,0,0,0,-10.633,249.304,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",5,3.1,0,0,0,0,0,-21.6796,257.954,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",5,3.2,0,0,0,0,0,-33.0884,266.768,0,0,0,0,0,0,0
