"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-8,3.2,0,0,0,0,0,-70.0593,352.282,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-8,3.3,0,0,0,0,0,-67.6694,31.6887,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-8,3.5,0,0,0,0,0,-59.7438,58.1855,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-8,3.7,0,0,0,0,0,-49.5594,74.6959,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-7,3.7,0,0,0,0,0,-38.6172,86.5917,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-7,3.5,0,0,0,0,0,-27.5339,96.5024,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-7,3.2,0,0,0,0,0,-16.6527,105.719,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-7,3.2,0,0,0,0,0,-6.25365,115.007,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-6,3.5,13,0,13,180,20,3.04492,124.923,0.00178213,29.8573,34.2425,30,-5.7845,9.45343,0.0656431
"Jan 1, 09:00 am",-5,4.4,44,0,44,180,20,11.3302,135.924,0.00924049,31.6807,36.2253,31.6807,-4.29871,14.4522,0.32045
"Jan 1, 10:00 am",-5,5.1,117,21,124,180,20,18.1242,148.333,0.0303687,32.8725,37.6493,32.8725,-2.99019,15.1609,1.01484
"Jan 1, 11:00 am",-4,5.3,146,346,280,180,20,22.7699,162.203,0.0960996,33.1767,38.5432,33.1767,2.08605,15.4936,3.18582
"Jan 1, 12:00 pm",-4,5.3,109,803,445,180,20,24.7669,177.127,0.168385,32.7366,38.7246,32.7366,6.73908,15.408,5.66677
"Jan 1, 01:00 pm",-4,5.2,107,789,426,180,20,23.8628,192.242,0.162064,32.771,38.7061,32.771,6.45805,15.4129,5.44752
"Jan 1, 02:00 pm",-4,5,95,743,351,180,20,20.1752,206.59,0.13752,32.9239,38.6494,32.9239,5.09911,15.3928,4.59852
"Jan 1, 03:00 pm",-5,4.4,76,625,228,180,20,14.1313,219.573,0.0939284,33.1996,38.5466,33.1996,1.82198,15.0864,3.11145
"Jan 1, 04:00 pm",-6,3.6,42,144,58,180,20,6.3107,231.084,0.0209788,32.6256,37.3057,32.6256,-4.11403,13.395,0.706237
"Jan 1, 05:00 pm",-7,3.2,0,0,0,0,0,-2.48474,241.369,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",-8,3.1,0,0,0,0,0,-12.6229,250.844,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",-8,3.3,0,0,0,0,0,-23.352,260.022,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",-8,3.3,0,0,0,0,0,-34.3898,269.571,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",-9,3.1,0,0,0,0,0,-45.4305,280.523,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-10,2.8,0,0,0,0,0,-55.9994,294.856,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-11,2.7,0,0,0,0,0,-65.0431,316.774,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-11,2.9,0,0,0,0,0,-69.9624,351.987,0,0,0,0,0,0,0
"Jan 2, 01:00 am",-11,3.2,0,0,0,0,0,-67.637,31.3273,0,0,0,0,0,0,0
"Jan 2, 02:00 am",-10,3.5,0,0,0,0,0,-59.7546,57.9074,0,0,0,0,0,0,0
"Jan 2, 03:00 am",-10,3.8,0,0,0,0,0,-49.5885,74.485,0,0,0,0,0,0,0
"Jan 2, 04:00 am",-10,4,0,0,0,0,0,-38.6521,86.4188,0,0,0,0,0,0,0
"Jan 2, 05:00 am",-10,4.1,0,0,0,0,0,-27.5677,96.35,0,0,0,0,0,0,0
"Jan 2, 06:00 am",-10,4.2,0,0,0,0,0,-16.6808,105.577,0,0,0,0,0,0,0
"Jan 2, 07:00 am",-10,4.3,0,0,0,0,0,-6.27217,114.868,0,0,0,0,0,0,0
"Jan 2, 08:00 am",-11,4.7,25,138,31,180,20,3.04028,124.784,0.00978681,32.6178,37.1383,32.6178,-10.0184,9.27043,0.329243
"Jan 2, 09:00 am",-11,5.1,71,534,176,180,20,11.3431,135.782,0.0743219,34.1756,39.2991,34.1756,-6.10119,15.0969,2.38769
"Jan 2, 10:00 am",-11,5.1,110,353,220,180,20,18.159,148.191,0.083113,34.2037,39.4007,34.2037,-5.72765,15.8316,2.66817
"Jan 2, 11:00 am",-10,5.1,124,483,311,180,20,22.8295,162.066,0.116903,33.9596,39.4479,33.9596,-2.59172,15.8769,3.78322
"Jan 2, 12:00 pm",-10,5.3,104,853,462,180,20,24.8515,177.005,0.179656,33.5341,39.5501,33.5341,1.1984,15.7666,5.89576
"Jan 2, 01:00 pm",-10,5.3,98,852,444,180,20,23.9692,192.143,0.174226,33.582,39.5523,33.582,0.849089,15.7807,5.70855
"Jan 2, 02:00 pm",-10,5,88,804,367,180,20,20.2975,206.518,0.148278,33.7358,39.4905,33.7358,-0.414964,15.7575,4.83369
"Jan 2, 03:00 pm",-10,4.7,72,684,240,180,20,14.2632,219.525,0.102109,33.948,39.3181,33.948,-3.02454,15.4111,3.30482
"Jan 2, 04:00 pm",-11,4,43,404,87,180,20,6.4459,231.057,0.0393706,33.8383,38.6629,33.8383,-7.71574,13.5248,1.27692
"Jan 2, 05:00 pm",-12,3.5,0,0,0,0,0,-2.34467,241.358,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",-14,3.3,0,0,0,0,0,-12.4822,250.843,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",-15,3,0,0,0,0,0,-23.2113,260.03,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",-16,2.8,0,0,0,0,0,-34.2491,269.583,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",-17,2.8,0,0,0,0,0,-45.2894,280.533,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",-18,2.9,0,0,0,0,0,-55.8581,294.845,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",-19,3.1,0,0,0,0,0,-64.9068,316.682,0,0,0,0,0,0,0
"Jan 3, 12:00 am",-20,3.2,0,0,0,0,0,-69.8578,351.701,0,0,0,0,0,0,0
"Jan 3, 01:00 am",-19,3.3,0,0,0,0,0,-67.5964,30.9615,0,0,0,0,0,0,0
