"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",12,0.3,0,0,0,0,0,-82.1617,0.33225,0,0,0,0,0,0,0
"Jan 1, 01:00 am",11,0.4,0,0,0,0,0,-74.1767,65.1038,0,0,0,0,0,0,0
"Jan 1, 02:00 am",11,0.4,0,0,0,0,0,-61.7248,82.0408,0,0,0,0,0,0,0
"Jan 1, 03:00 am",11,0.4,0,0,0,0,0,-48.8146,90.8295,0,0,0,0,0,0,0
"Jan 1, 04:00 am",11,0.4,0,0,0,0,0,-35.914,97.5476,0,0,0,0,0,0,0
"Jan 1, 05:00 am",10,0.4,0,0,0,0,0,-23.1996,103.756,0,0,0,0,0,0,0
"Jan 1, 06:00 am",10,0.4,0,0,0,0,0,-10.822,110.158,0,0,0,0,0,0,0
"Jan 1, 07:00 am",11,0.5,0,0,0,180,20,0.941603,117.261,0,0,0,0,0,0,0
"Jan 1, 08:00 am",13,0.5,50,594,169,180,20,11.5973,125.574,0.0587458,29.7089,34.9108,30,23.5399,12.8976,2.18807
"Jan 1, 09:00 am",16,0.5,68,787,355,180,20,21.4016,135.671,0.106634,28.5229,34.2729,30,35.4047,12.8993,4.28749
"Jan 1, 10:00 am",18,0.4,78,874,507,180,20,29.4023,148.121,0.125559,27.2912,33.4295,30,45.0368,11.2538,5.88302
"Jan 1, 11:00 am",19,0.3,83,914,604,180,20,34.7676,163.138,0.123004,26.4598,32.814,30,51.1744,9.55143,6.81311
"Jan 1, 12:00 pm",20,0.3,84,925,637,180,20,36.6818,179.984,0.117711,26.1189,32.5445,30,53.6501,8.73871,7.13023
"Jan 1, 01:00 pm",21,0.3,83,913,603,180,20,34.7809,196.835,0.11391,26.1838,32.5372,30,53.1494,8.85214,6.81399
"Jan 1, 02:00 pm",21,0.4,77,873,506,180,20,29.4264,211.862,0.115728,26.8763,33.0145,30,47.9774,10.3956,5.87833
"Jan 1, 03:00 pm",20,0.4,67,789,355,180,20,21.4332,224.323,0.0995005,27.8653,33.6254,30,39.9994,12.0282,4.29998
"Jan 1, 04:00 pm",17,0.5,48,609,171,180,20,11.6335,234.431,0.0577541,29.1129,34.3341,30,27.6747,12.5188,2.21975
"Jan 1, 05:00 pm",14,0.5,0,0,0,180,20,0.974587,242.754,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",13,0.5,0,0,0,0,0,-10.7809,249.867,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",13,0.5,0,0,0,0,0,-23.1574,256.28,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",12,0.4,0,0,0,0,0,-35.8711,262.504,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",12,0.4,0,0,0,0,0,-48.7702,269.245,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",12,0.6,0,0,0,0,0,-61.6768,278.075,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",12,0.8,0,0,0,0,0,-74.1165,295.087,0,0,0,0,0,0,0
