"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",0,2.9,0,0,0,0,0,-73.3002,7.04009,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,2.9,0,0,0,0,0,-67.7854,47.2174,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,2.9,0,0,0,0,0,-57.8454,69.0147,0,0,0,0,0,0,0
"Jan 1, 03:00 am",0,2.8,0,0,0,0,0,-46.572,82.3012,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,2.6,0,0,0,0,0,-34.9578,92.2708,0,0,0,0,0,0,0
"Jan 1, 05:00 am",0,2.7,0,0,0,0,0,-23.4077,100.986,0,0,0,0,0,0,0
"Jan 1, 06:00 am",0,3,0,0,0,0,0,-12.1852,109.454,0,0,0,0,0,0,0
"Jan 1, 07:00 am",0,3.2,0,0,0,0,0,-1.54758,118.324,0,0,0,0,0,0,0
"Jan 1, 08:00 am",1,3.3,47,158,68,180,20,7.74174,128.117,0.0233237,31.6637,36.4106,31.6637,3.20642,13.4305,0.810267
"Jan 1, 09:00 am",2,3.5,110,171,158,180,20,16.1061,139.293,0.0479329,32.0224,37.0176,32.0224,6.06997,14.7398,1.64732
"Jan 1, 10:00 am",4,3.6,138,393,290,180,20,22.6581,152.161,0.096733,31.7531,37.2074,31.7531,12.0521,14.8481,3.35814
"Jan 1, 11:00 am",6,4.1,200,137,262,180,20,26.7592,166.666,0.0729723,31.5938,36.8446,31.5938,11.7065,14.6604,2.54542
"Jan 1, 12:00 pm",8,4.7,139,0,139,180,20,27.8998,182.148,0.0296852,30.9119,35.7615,30.9119,10.2072,14.1763,1.05799
"Jan 1, 01:00 pm",9,5,107,646,389,180,20,25.9165,197.464,0.134099,31.0265,36.8474,31.0265,18.3512,14.6184,4.77375
"Jan 1, 02:00 pm",10,5.1,91,601,307,180,20,21.0866,211.561,0.109083,31.0429,36.6464,31.0429,17.5425,14.543,3.87921
"Jan 1, 03:00 pm",10,4.9,95,123,124,180,20,13.9747,223.955,0.0357943,30.7704,35.693,30.7704,12.6101,14.0781,1.28227
"Jan 1, 04:00 pm",9,4.7,31,51,36,180,20,5.24155,234.717,0.00926072,29.5597,34.1718,30,9.81372,11.6138,0.346285
"Jan 1, 05:00 pm",9,4.9,0,0,0,0,0,-4.37673,244.214,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",10,5.2,0,0,0,0,0,-15.2013,252.926,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",10,5.5,0,0,0,0,0,-26.5364,261.4,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",10,5.9,0,0,0,0,0,-38.13,270.348,0,0,0,0,0,0,0
