"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",6,1.6,0,0,0,0,0,-72.9375,40.0983,0,0,0,0,0,0,0
"Jan 1, 01:00 am",6,1.6,0,0,0,0,0,-63.0481,67.3371,0,0,0,0,0,0,0
"Jan 1, 02:00 am",6,1.7,0,0,0,0,0,-51.3853,81.4044,0,0,0,0,0,0,0
"Jan 1, 03:00 am",5,1.8,0,0,0,0,0,-39.3159,91.1017,0,0,0,0,0,0,0
"Jan 1, 04:00 am",5,1.8,0,0,0,0,0,-27.2698,99.2465,0,0,0,0,0,0,0
"Jan 1, 05:00 am",5,1.8,0,0,0,0,0,-15.4884,107.015,0,0,0,0,0,0,0
"Jan 1, 06:00 am",5,2,0,0,0,0,0,-4.19499,115.095,0,0,0,0,0,0,0
"Jan 1, 07:00 am",7,3,31,446,76,180,20,5.91829,124.028,0.0321978,30.9564,35.8328,30.9564,10.5238,11.9274,1.14593
"Jan 1, 08:00 am",10,3.9,55,738,248,180,20,15.2251,134.326,0.092247,30.9139,36.3746,30.9139,17.7059,14.0692,3.29382
"Jan 1, 09:00 am",14,3.9,66,861,401,180,20,22.9404,146.433,0.136662,30.0269,35.9327,30.0269,25.4519,14.111,5.03726
"Jan 1, 10:00 am",17,3.6,76,905,505,180,20,28.3582,160.523,0.160506,29.2159,35.397,30,31.5034,13.6991,6.14044
"Jan 1, 11:00 am",18,3.2,77,930,554,180,20,30.817,176.151,0.167768,28.7899,35.0837,30,34.5716,13.3496,6.59885
"Jan 1, 12:00 pm",19,2.8,76,926,538,180,20,29.9438,192.127,0.160876,28.5414,34.8035,30,36.3193,13.1019,6.45294
"Jan 1, 01:00 pm",20,2.5,69,896,460,180,20,25.8772,207.063,0.141085,28.5551,34.63,30,36.0314,13.0937,5.65385
"Jan 1, 02:00 pm",18,1.7,60,814,327,180,20,19.1786,220.134,0.109052,28.9678,34.6985,30,32.2607,13.3027,4.23484
"Jan 1, 03:00 pm",16,1,44,632,159,180,20,10.5468,231.26,0.0589845,29.455,34.6704,30,25.3723,12.7052,2.22334
"Jan 1, 04:00 pm",14,0.9,0,0,0,180,20,0.905304,240.792,0,0,0,0,0,0,0
"Jan 1, 05:00 pm",13,0.6,0,0,0,0,0,-9.97977,249.224,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",12,0.7,0,0,0,0,0,-21.5557,257.079,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",10,1.3,0,0,0,0,0,-33.5001,264.955,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",8,1.7,0,0,0,0,0,-45.5905,273.724,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",7,2,0,0,0,0,0,-57.5217,285.173,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",6,2.6,0,0,0,0,0,-68.5534,304.309,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",6,3.2,0,0,0,0,0,-75.7981,345.606,0,0,0,0,0,0,0
"Jan 2, 12:00 am",5,3.4,0,0,0,0,0,-72.9254,39.6109,0,0,0,0,0,0,0
"Jan 2, 01:00 am",4,3.4,0,0,0,0,0,-63.0832,67.0339,0,0,0,0,0,0,0
"Jan 2, 02:00 am",4,3.6,0,0,0,0,0,-51.4344,81.1927,0,0,0,0,0,0,0
"Jan 2, 03:00 am",4,4.1,0,0,0,0,0,-39.3675,90.9327,0,0,0,0,0,0,0
"Jan 2, 04:00 am",4,4.5,0,0,0,0,0,-27.3182,99.0984,0,0,0,0,0,0,0
"Jan 2, 05:00 am",4,4.6,0,0,0,0,0,-15.5298,106.876,0,0,0,0,0,0,0
"Jan 2, 06:00 am",5,5.2,0,0,0,0,0,-4.2258,114.958,0,0,0,0,0,0,0
"Jan 2, 07:00 am",7,6.3,29,491,78,180,20,5.90239,123.888,0.0334551,31.1691,36.0512,31.1691,9.35344,11.9055,1.1822
"Jan 2, 08:00 am",9,7.1,51,772,253,180,20,15.228,134.181,0.0961,31.4151,36.8828,31.4151,14.3885,14.2791,3.37397
"Jan 2, 09:00 am",12,7.3,63,888,409,180,20,22.9676,146.283,0.142291,30.8467,36.7497,30.8467,19.7604,14.4837,5.09734
"Jan 2, 10:00 am",14,7.2,72,933,516,180,20,28.4137,160.376,0.170235,30.3557,36.5319,30.3557,23.4872,14.3281,6.20614
"Jan 2, 11:00 am",15,7,75,955,566,180,20,30.9017,176.02,0.182356,30.0794,36.3797,30.0794,25.4599,14.2017,6.71444
"Jan 2, 12:00 pm",16,6.6,75,950,550,180,20,30.0534,192.025,0.177387,29.9083,36.1792,30,26.6598,14.124,6.57116
"Jan 2, 01:00 pm",17,6.1,69,919,472,180,20,26.004,206.995,0.155511,29.861,35.944,30,26.8862,14.0852,5.76916
"Jan 2, 02:00 pm",16,4.9,60,845,339,180,20,19.3148,220.096,0.118807,30.0678,35.8126,30.0678,24.7411,13.996,4.37135
"Jan 2, 03:00 pm",12,3.2,43,678,168,180,20,10.6865,231.245,0.0650327,30.5397,35.7665,30.5397,18.3762,13.2163,2.35064
"Jan 2, 04:00 pm",9,2.7,0,0,0,180,20,1.02394,240.794,0,0,0,0,0,0,0
"Jan 2, 05:00 pm",9,3,0,0,0,0,0,-9.83875,249.239,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",8,3.1,0,0,0,0,0,-21.4158,257.106,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",7,3.3,0,0,0,0,0,-33.3611,264.99,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",6,3.5,0,0,0,0,0,-45.4515,273.768,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",6,3.8,0,0,0,0,0,-57.3811,285.217,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",5,3.8,0,0,0,0,0,-68.4108,304.296,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",5,3.7,0,0,0,0,0,-75.6818,345.256,0,0,0,0,0,0,0
