"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-1,0.3,0,0,0,0,0,-77.107,19.2145,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-2,0.3,0,0,0,0,0,-68.8755,60.3844,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-2,0.3,0,0,0,0,0,-57.3295,77.8604,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-3,0.2,0,0,0,0,0,-45.1028,88.3195,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-3,0.2,0,0,0,0,0,-32.7996,96.4658,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-3,0.2,0,0,0,0,0,-20.6779,103.91,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-3,0.2,0,0,0,0,0,-8.94077,111.451,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-2,0.3,13,220,19,180,20,1.94694,119.657,0.00615416,30.5606,35.0786,30.5606,-0.24907,7.07495,0.221495
"Jan 1, 08:00 am",0,0.3,47,663,182,180,20,11.8707,129.05,0.0701938,31.4397,36.6723,31.4397,12.5553,13.7631,2.46098
"Jan 1, 09:00 am",0,0.3,63,819,351,180,20,20.628,140.144,0.122124,30.5629,36.3089,30.5629,21.3314,14.2728,4.41628
"Jan 1, 10:00 am",2,0.3,72,889,481,180,20,27.3986,153.315,0.153142,29.4857,35.5762,30,29.5261,13.9017,5.77498
"Jan 1, 11:00 am",3,0.3,77,918,556,180,20,31.4486,168.472,0.167128,28.8576,35.1365,30,34.0916,13.4344,6.54206
"Jan 1, 12:00 pm",4,0.3,75,929,569,180,20,32.1892,184.701,0.167979,28.6193,34.9371,30,35.7875,13.2075,6.69413
"Jan 1, 01:00 pm",5,0.4,72,907,519,180,20,29.4965,200.477,0.158534,28.941,35.132,30,33.4535,13.5082,6.16995
"Jan 1, 02:00 pm",6,0.3,66,850,409,180,20,23.7955,214.549,0.13318,29.3538,35.2757,30,30.1652,13.7598,5.05442
"Jan 1, 03:00 pm",5,0.3,54,735,254,180,20,15.7958,226.501,0.0910567,30.3941,35.8704,30.3941,21.3017,13.8599,3.31019
"Jan 1, 04:00 pm",3,0.5,30,463,80,180,20,6.22409,236.562,0.0324658,31.1695,36.0405,31.1695,9.12652,11.9229,1.14719
"Jan 1, 05:00 pm",2,0.7,0,0,0,0,0,-4.11661,245.215,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",1,0.8,0,0,0,0,0,-15.6225,252.982,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",0,0.9,0,0,0,0,0,-27.6053,260.402,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",0,0.9,0,0,0,0,0,-39.8551,268.14,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",-1,0.9,0,0,0,0,0,-52.1518,277.346,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-2,0.7,0,0,0,0,0,-64.1043,290.885,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-2,0.4,0,0,0,0,0,-74.3676,318.731,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-3,0.2,0,0,0,0,0,-77.0561,18.6151,0,0,0,0,0,0,0
"Jan 2, 01:00 am",-3,0.2,0,0,0,0,0,-68.9047,59.9998,0,0,0,0,0,0,0
"Jan 2, 02:00 am",-3,0.2,0,0,0,0,0,-57.3814,77.619,0,0,0,0,0,0,0
"Jan 2, 03:00 am",-3,0.2,0,0,0,0,0,-45.1599,88.1389,0,0,0,0,0,0,0
"Jan 2, 04:00 am",-3,0.2,0,0,0,0,0,-32.8551,96.3137,0,0,0,0,0,0,0
"Jan 2, 05:00 am",-3,0.2,0,0,0,0,0,-20.7277,103.771,0,0,0,0,0,0,0
"Jan 2, 06:00 am",-3,0.3,0,0,0,0,0,-8.98155,111.316,0,0,0,0,0,0,0
"Jan 2, 07:00 am",-2,0.5,14,123,17,180,20,1.92144,119.52,0.00427291,30.1964,34.6744,30.1964,-0.869002,7.31505,0.155664
"Jan 2, 08:00 am",-1,0.6,58,549,170,180,20,11.8597,128.908,0.0643882,31.8197,36.9805,31.8197,9.39184,13.9714,2.22874
"Jan 2, 09:00 am",0,0.6,80,726,335,180,20,20.639,139.995,0.11646,30.9563,36.629,30.9563,18.4,14.4408,4.15441
"Jan 2, 10:00 am",0,0.5,91,812,465,180,20,27.4368,153.163,0.150697,30.1298,36.1528,30.1298,24.9325,14.2213,5.5358
"Jan 2, 11:00 am",0,0.4,94,853,540,180,20,31.5171,168.329,0.168072,29.5392,35.7581,30,29.2485,13.9282,6.32307
"Jan 2, 12:00 pm",1,0.4,86,884,558,180,20,32.2862,184.582,0.171541,29.2589,35.5346,30,31.2483,13.7471,6.54753
"Jan 2, 01:00 pm",1,0.4,84,859,508,180,20,29.6153,200.392,0.16068,29.5831,35.7328,30,28.8979,13.961,6.03196
"Jan 2, 02:00 pm",0,0.4,76,804,401,180,20,23.9275,214.498,0.134821,30.3923,36.2595,30.3923,22.8371,14.2973,4.90582
"Jan 2, 03:00 pm",0,0.3,35,0,35,180,20,15.9338,226.477,0.00713932,30.5173,35.0584,30.5173,1.26358,14.06,0.257389
"Jan 2, 04:00 pm",-1,0.2,38,209,61,180,20,6.36194,236.558,0.0223287,31.5837,36.3213,31.5837,3.40964,12.6128,0.777722
"Jan 2, 05:00 pm",-2,0.2,0,0,0,0,0,-3.97629,245.226,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",-2,0.2,0,0,0,0,0,-15.4833,253.005,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",-2,0.3,0,0,0,0,0,-27.4674,260.436,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",-3,0.4,0,0,0,0,0,-39.7179,268.185,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",-3,0.4,0,0,0,0,0,-52.0141,277.398,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",-3,0.4,0,0,0,0,0,-63.9639,290.927,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",-3,0.4,0,0,0,0,0,-74.2295,318.61,0,0,0,0,0,0,0
"Jan 3, 12:00 am",-3,0.4,0,0,0,0,0,-76.9964,18.0162,0,0,0,0,0,0,0
"Jan 3, 01:00 am",-3,0.4,0,0,0,0,0,-68.9273,59.5997,0,0,0,0,0,0,0
