"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",13,1.1,0,0,0,0,0,-76.1782,35.6132,0,0,0,0,0,0,0
"Jan 1, 01:00 am",13,1.1,0,0,0,0,0,-66.2178,67.666,0,0,0,0,0,0,0
"Jan 1, 02:00 am",13,1.1,0,0,0,0,0,-54.2186,81.9326,0,0,0,0,0,0,0
"Jan 1, 03:00 am",13,1.1,0,0,0,0,0,-41.8258,91.2025,0,0,0,0,0,0,0
"Jan 1, 04:00 am",12,1.2,0,0,0,0,0,-29.4581,98.83,0,0,0,0,0,0,0
"Jan 1, 05:00 am",12,1.3,0,0,0,0,0,-17.3322,106.062,0,0,0,0,0,0,0
"Jan 1, 06:00 am",12,1.4,0,0,0,0,0,-5.64729,113.586,0,0,0,0,0,0,0
"Jan 1, 07:00 am",13,1.8,30,229,49,180,20,4.9548,121.94,0.0167429,29.4488,34.1858,30,15.584,10.3666,0.630052
"Jan 1, 08:00 am",16,2.2,72,566,217,180,20,14.8047,131.652,0.0736346,29.7715,35.1151,30,24.5254,13.4944,2.73666
"Jan 1, 09:00 am",19,1.8,93,725,378,180,20,23.2025,143.231,0.116445,28.7596,34.5795,30,34.0131,13.2306,4.59065
"Jan 1, 10:00 am",21,1.1,89,856,509,180,20,29.4081,156.994,0.132541,27.4498,33.6254,30,43.9659,11.5647,6.0451
"Jan 1, 11:00 am",22,0.7,92,888,571,180,20,32.6764,172.657,0.125008,26.5978,32.9263,30,50.1752,9.86792,6.70174
"Jan 1, 12:00 pm",23,0.9,91,890,569,180,20,32.4942,189.049,0.126838,26.6739,32.9976,30,49.6298,10.042,6.68084
"Jan 1, 01:00 pm",23,1.2,79,886,507,180,20,28.893,204.557,0.128471,27.2375,33.4193,30,45.4775,11.1774,6.06917
