"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",4,3,0,0,0,0,0,-73.8493,346.054,0,0,0,0,0,0,0
"Jan 1, 01:00 am",5,3.6,0,0,0,0,0,-71.5796,34.7755,0,0,0,0,0,0,0
"Jan 1, 02:00 am",6,4.2,0,0,0,0,0,-62.5767,63.0333,0,0,0,0,0,0,0
"Jan 1, 03:00 am",7,4.3,0,0,0,0,0,-51.4492,78.4726,0,0,0,0,0,0,0
"Jan 1, 04:00 am",8,4.3,0,0,0,0,0,-39.7522,89.1138,0,0,0,0,0,0,0
"Jan 1, 05:00 am",9,4.3,0,0,0,0,0,-28.0095,97.9293,0,0,0,0,0,0,0
"Jan 1, 06:00 am",9,4.3,0,0,0,0,0,-16.5024,106.204,0,0,0,0,0,0,0
"Jan 1, 07:00 am",9,5.1,0,0,0,0,0,-5.47298,114.675,0,0,0,0,0,0,0
"Jan 1, 08:00 am",8,6.4,29,220,45,180,20,4.42061,123.898,0.0150005,30.2477,34.9338,30.2477,9.22493,9.66435,0.546426
"Jan 1, 09:00 am",6,7,92,56,105,180,20,13.4428,134.367,0.0272485,31.2038,36.0147,31.2038,7.54632,14.2707,0.96147
"Jan 1, 10:00 am",6,6.8,112,0,112,180,20,20.9339,146.486,0.0243073,31.0937,35.8743,31.0937,7.40239,14.3505,0.860732
"Jan 1, 11:00 am",6,6.7,146,0,146,180,20,26.2066,160.401,0.0319422,31.3383,36.1961,31.3383,7.85433,14.3967,1.12232
"Jan 1, 12:00 pm",7,6.4,29,0,29,180,20,28.6538,175.705,0.0056014,29.292,33.8326,30,7.36292,13.3067,0.21234
"Jan 1, 01:00 pm",7,6.1,97,0,97,180,20,27.9298,191.358,0.0200649,30.7416,35.4813,30.7416,8.26818,14.0956,0.718873
"Jan 1, 02:00 pm",7,6,76,826,413,180,20,24.142,206.13,0.147854,31.3838,37.2995,31.3838,16.0544,14.7865,5.20105
"Jan 1, 03:00 pm",6,5.8,61,766,294,180,20,17.786,219.246,0.111782,31.6989,37.2871,31.6989,13.0326,14.6725,3.88858
"Jan 1, 04:00 pm",4,5.1,42,592,139,180,20,9.5099,230.583,0.0576583,31.8922,36.9861,31.8922,8.19706,13.5484,1.99067
"Jan 1, 05:00 pm",2,4.5,0,0,0,0,0,0.341142,240.436,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",1,4.3,0,0,0,0,0,-10.378,249.262,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",0,4.3,0,0,0,0,0,-21.6535,257.578,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",0,4.2,0,0,0,0,0,-33.2952,266,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",0,3.9,0,0,0,0,0,-45.0554,275.444,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",0,3.7,0,0,0,0,0,-56.5821,287.733,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-1,3.5,0,0,0,0,0,-67.0525,307.532,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-1,3.4,0,0,0,0,0,-73.7467,345.722,0,0,0,0,0,0,0
"Jan 2, 01:00 am",-2,3.3,0,0,0,0,0,-71.5604,34.3362,0,0,0,0,0,0,0
"Jan 2, 02:00 am",-2,3.4,0,0,0,0,0,-62.6055,62.7383,0,0,0,0,0,0,0
"Jan 2, 03:00 am",-2,3.6,0,0,0,0,0,-51.4945,78.2633,0,0,0,0,0,0,0
"Jan 2, 04:00 am",-2,3.7,0,0,0,0,0,-39.8014,88.9466,0,0,0,0,0,0,0
"Jan 2, 05:00 am",-2,3.9,0,0,0,0,0,-28.0566,97.783,0,0,0,0,0,0,0
"Jan 2, 06:00 am",-2,4.1,0,0,0,0,0,-16.5432,106.067,0,0,0,0,0,0,0
"Jan 2, 07:00 am",-2,4.5,0,0,0,0,0,-5.50401,114.541,0,0,0,0,0,0,0
"Jan 2, 08:00 am",-2,4.9,8,0,8,180,20,4.40392,123.762,0.00114046,28.7117,33.0824,30,-1.88777,9.84838,0.0451207
"Jan 2, 09:00 am",-2,5.3,46,0,46,180,20,13.4437,134.225,0.00959056,31.279,35.8446,31.279,-1.34665,14.3571,0.337069
"Jan 2, 10:00 am",-2,5.6,151,71,177,180,20,20.9577,146.341,0.0476134,32.7569,37.7144,32.7569,0.970157,15.1477,1.59792
"Jan 2, 11:00 am",-2,5.7,174,25,185,180,20,26.2572,160.258,0.0445759,32.7218,37.6516,32.7218,0.763561,15.0493,1.49751
"Jan 2, 12:00 pm",-2,5.7,215,114,269,180,20,28.7321,175.575,0.0763972,32.9269,38.1384,32.9269,2.69087,15.2072,2.5519
"Jan 2, 01:00 pm",-2,5.6,161,519,405,180,20,28.0325,191.253,0.137189,32.7263,38.4624,32.7263,6.4758,15.332,4.61658
"Jan 2, 02:00 pm",-2,5.3,139,448,324,180,20,24.2622,206.055,0.111225,32.8284,38.3433,32.8284,5.10941,15.3537,3.72918
"Jan 2, 03:00 pm",-2,4.9,68,0,68,180,20,17.9168,219.2,0.0145515,31.7293,36.3589,31.7293,-0.976525,14.6267,0.504099
"Jan 2, 04:00 pm",-3,4.4,67,270,112,180,20,9.64509,230.559,0.041212,32.7334,37.6285,32.7334,0.148888,14.208,1.38388
"Jan 2, 05:00 pm",-3,3.9,0,0,0,0,0,0.446062,240.428,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",-4,3.8,0,0,0,0,0,-10.2392,249.267,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",-4,3.9,0,0,0,0,0,-21.5152,257.593,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",-4,3.8,0,0,0,0,0,-33.1573,266.022,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",-5,3.8,0,0,0,0,0,-44.9173,275.47,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",-5,3.8,0,0,0,0,0,-56.443,287.75,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",-5,3.9,0,0,0,0,0,-66.9141,307.483,0,0,0,0,0,0,0
"Jan 3, 12:00 am",-5,3.9,0,0,0,0,0,-73.6365,345.405,0,0,0,0,0,0,0
"Jan 3, 01:00 am",-5,3.9,0,0,0,0,0,-71.533,33.8894,0,0,0,0,0,0,0
"Jan 3, 02:00 am",-5,3.8,0,0,0,0,0,-62.628,62.4317,0,0,0,0,0,0,0
"Jan 3, 03:00 am",-5,3.6,0,0,0,0,0,-51.5343,78.0444,0,0,0,0,0,0,0
"Jan 3, 04:00 am",-6,3.3,0,0,0,0,0,-39.8455,88.7715,0,0,0,0,0,0,0
"Jan 3, 05:00 am",-6,3.1,0,0,0,0,0,-28.0985,97.63,0,0,0,0,0,0,0
"Jan 3, 06:00 am",-6,2.9,0,0,0,0,0,-16.5788,105.925,0,0,0,0,0,0,0
"Jan 3, 07:00 am",-6,2.9,0,0,0,0,0,-5.52934,114.402,0,0,0,0,0,0,0
"Jan 3, 08:00 am",-5,3.2,25,388,53,180,20,4.39313,123.621,0.0212909,32.3965,37.0895,32.3965,-2.45247,9.90214,0.722068
"Jan 3, 09:00 am",-4,3.4,50,713,215,180,20,13.4512,134.08,0.0881828,32.9059,38.2209,32.9059,3.57168,14.7277,2.94819
"Jan 3, 10:00 am",-3,3.4,61,848,364,180,20,20.9885,146.194,0.138376,32.4209,38.1867,32.4209,8.63849,15.1633,4.70286
"Jan 3, 11:00 am",-2,3.4,64,909,467,180,20,26.3151,160.114,0.167713,31.9563,37.9974,31.9563,12.2024,15.0862,5.7895
"Jan 3, 12:00 pm",-1,3.3,67,927,513,180,20,28.8178,175.447,0.179858,31.6169,37.7829,31.6169,14.6222,14.9472,6.28034
"Jan 3, 01:00 pm",-1,3.1,68,912,497,180,20,28.1422,191.152,0.174826,31.6053,37.7302,31.6053,14.6958,14.9388,6.10661
"Jan 3, 02:00 pm",-1,2.8,66,866,423,180,20,24.389,205.985,0.153726,31.7585,37.6976,31.7585,13.4888,14.9644,5.34064
"Jan 3, 03:00 pm",-1,2.3,58,778,298,180,20,18.0532,219.158,0.114383,32.0185,37.6094,32.0185,10.8788,14.8272,3.93739
"Jan 3, 04:00 pm",-2,1.2,41,597,142,180,20,9.78514,230.541,0.0591788,32.1949,37.2888,32.1949,6.26431,13.7243,2.02307
"Jan 3, 05:00 pm",-3,0.7,0,0,0,0,0,0.556792,240.427,0,0,0,0,0,0,0
"Jan 3, 06:00 pm",-4,0.7,0,0,0,0,0,-10.0969,249.278,0,0,0,0,0,0,0
"Jan 3, 07:00 pm",-4,0.9,0,0,0,0,0,-21.3737,257.615,0,0,0,0,0,0,0
"Jan 3, 08:00 pm",-4,1.2,0,0,0,0,0,-33.0164,266.053,0,0,0,0,0,0,0
"Jan 3, 09:00 pm",-4,1.5,0,0,0,0,0,-44.7762,275.505,0,0,0,0,0,0,0
"Jan 3, 10:00 pm",-4,1.7,0,0,0,0,0,-56.3004,287.78,0,0,0,0,0,0,0
"Jan 3, 11:00 pm",-4,1.6,0,0,0,0,0,-66.771,307.449,0,0,0,0,0,0,0
"Jan 4, 12:00 am",-4,1.6,0,0,0,0,0,-73.5188,345.103,0,0,0,0,0,0,0
"Jan 4, 01:00 am",-4,1.8,0,0,0,0,0,-71.4973,33.4361,0,0,0,0,0,0,0
"Jan 4, 02:00 am",-4,2.2,0,0,0,0,0,-62.6439,62.114,0,0,0,0,0,0,0
"Jan 4, 03:00 am",-4,2.5,0,0,0,0,0,-51.5685,77.8161,0,0,0,0,0,0,0
"Jan 4, 04:00 am",-3,2.6,0,0,0,0,0,-39.8843,88.5886,0,0,0,0,0,0,0
"Jan 4, 05:00 am",-3,2.8,0,0,0,0,0,-28.1352,97.4705,0,0,0,0,0,0,0
"Jan 4, 06:00 am",-3,2.9,0,0,0,0,0,-16.6089,105.777,0,0,0,0,0,0,0
"Jan 4, 07:00 am",-3,3.1,0,0,0,0,0,-5.54894,114.257,0,0,0,0,0,0,0
"Jan 4, 08:00 am",-2,3.3,17,0,17,180,20,4.3883,123.475,0.002577,29.6848,34.1156,30,-1.70013,10.4516,0.0956474
"Jan 4, 09:00 am",0,3.4,89,46,99,180,20,13.4652,133.932,0.0259594,31.926,36.693,31.926,2.25898,14.5918,0.894221
"Jan 4, 10:00 am",1,3.7,147,65,171,180,20,21.0264,146.043,0.0448007,32.1598,37.1181,32.1598,4.65795,14.8833,1.53261
"Jan 4, 11:00 am",2,3.7,161,11,165,180,20,26.3804,159.969,0.0379649,31.9186,36.8188,31.9186,5.1399,14.6739,1.30872
"Jan 4, 12:00 pm",3,3.5,214,213,317,180,20,28.911,175.319,0.0912142,31.9047,37.3028,31.9047,10.7101,14.8333,3.15026
