"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",22,6.4,0,0,0,0,0,-86.3682,25.5132,0,0,0,0,0,0,0
"Jan 1, 01:00 am",21,6.1,0,0,0,0,0,-74.2278,82.9509,0,0,0,0,0,0,0
"Jan 1, 02:00 am",21,5.9,0,0,0,0,0,-60.7465,91.206,0,0,0,0,0,0,0
"Jan 1, 03:00 am",21,5.6,0,0,0,0,0,-47.2784,96.4733,0,0,0,0,0,0,0
"Jan 1, 04:00 am",21,5.1,0,0,0,0,0,-33.9381,101.197,0,0,0,0,0,0,0
"Jan 1, 05:00 am",21,4.7,0,0,0,0,0,-20.8154,106.049,0,0,0,0,0,0,0
"Jan 1, 06:00 am",21,4.4,0,0,0,0,0,-8.02635,111.43,0,0,0,0,0,0,0
"Jan 1, 07:00 am",21,4.5,25,210,39,180,20,3.90116,117.735,0.00745448,27.6211,32.2643,30,22.1312,5.94775,0.343802
"Jan 1, 08:00 am",22,4.7,63,627,227,180,20,15.2683,125.465,0.0719756,29.2969,34.6496,30,27.7676,13.0959,2.73695
"Jan 1, 09:00 am",22,4.9,82,734,398,180,20,25.5544,135.272,0.11742,29.1947,34.9849,30,30.9096,13.5901,4.49515
"Jan 1, 10:00 am",23,5,213,440,459,180,20,33.9712,147.89,0.120646,29.0336,34.8675,30,32.1575,13.4031,4.66506
"Jan 1, 11:00 am",23,5.1,305,176,417,180,20,39.5465,163.677,0.0985581,29.1632,34.7799,30,30.4129,13.3224,3.77897
"Jan 1, 12:00 pm",23,5.1,95,910,695,180,20,41.2848,181.688,0.181366,28.4336,34.9018,30,37.1105,12.9341,7.34051
"Jan 1, 01:00 pm",23,5,245,454,529,180,20,38.7915,199.447,0.135923,28.9054,34.8933,30,33.4251,13.2576,5.30191
"Jan 1, 02:00 pm",23,5,175,541,466,180,20,32.6183,214.678,0.125632,29.0002,34.8832,30,32.5298,13.4206,4.86884
"Jan 1, 03:00 pm",23,5,76,767,385,180,20,23.7952,226.737,0.114186,29.079,34.849,30,31.6331,13.4597,4.402
"Jan 1, 04:00 pm",23,5.2,55,596,191,180,20,13.2532,236.115,0.0611006,29.1613,34.4138,30,27.7053,12.7382,2.34147
"Jan 1, 05:00 pm",22,5.6,16,0,16,180,20,1.84688,243.546,0,25.4658,29.9261,30,22.1981,0,0.0758319
"Jan 1, 06:00 pm",22,5.9,0,0,0,0,0,-10.3274,249.657,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",22,6.3,0,0,0,0,0,-23.1893,254.924,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",22,6.7,0,0,0,0,0,-36.3605,259.738,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",22,7.1,0,0,0,0,0,-49.7317,264.524,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",22,7.2,0,0,0,0,0,-63.2131,270.1,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",21,7.1,0,0,0,0,0,-76.6622,280.047,0,0,0,0,0,0,0
"Jan 2, 12:00 am",21,6.9,0,0,0,0,0,-86.3318,23.0308,0,0,0,0,0,0,0
"Jan 2, 01:00 am",21,6.8,0,0,0,0,0,-74.3112,82.5268,0,0,0,0,0,0,0
"Jan 2, 02:00 am",21,6.7,0,0,0,0,0,-60.8334,90.9799,0,0,0,0,0,0,0
"Jan 2, 03:00 am",21,6.6,0,0,0,0,0,-47.3624,96.3078,0,0,0,0,0,0,0
"Jan 2, 04:00 am",21,6.4,0,0,0,0,0,-34.0165,101.057,0,0,0,0,0,0,0
"Jan 2, 05:00 am",21,6.2,0,0,0,0,0,-20.8864,105.92,0,0,0,0,0,0,0
"Jan 2, 06:00 am",21,6.2,0,0,0,0,0,-8.08752,111.303,0,0,0,0,0,0,0
"Jan 2, 07:00 am",22,6.2,20,0,20,180,20,3.85467,117.604,0.0003909,25.7653,30.2467,30,22.229,1.32952,0.0937018
"Jan 2, 08:00 am",22,6.4,102,60,118,180,20,15.2369,125.324,0.0264585,28.834,33.722,30,23.7591,12.9668,1.03666
"Jan 2, 09:00 am",22,6.5,140,487,350,180,20,25.5456,135.117,0.0993262,29.4797,35.0815,30,28.1859,13.7425,3.74299
"Jan 2, 10:00 am",23,6.4,85,873,573,180,20,33.9923,147.723,0.159814,28.9678,35.1674,30,33.2714,13.4836,6.20869
"Jan 2, 11:00 am",23,6.1,297,261,463,180,20,39.6039,163.51,0.114586,29.2222,34.9843,30,30.6181,13.4141,4.37925
"Jan 2, 12:00 pm",23,5.8,284,44,314,180,20,41.3786,181.549,0.068107,29.2549,34.5727,30,27.7257,13.2593,2.59574
"Jan 2, 01:00 pm",23,5.5,257,33,279,180,20,38.9125,199.355,0.0598063,29.1963,34.434,30,27.3076,13.2307,2.28684
"Jan 2, 02:00 pm",23,5.4,242,248,376,180,20,32.7539,214.632,0.0945639,29.2233,34.7979,30,29.7882,13.4781,3.61272
"Jan 2, 03:00 pm",23,5.6,79,0,79,180,20,23.9357,226.727,0.0137863,28.0505,32.7949,30,24.0863,11.9787,0.588216
"Jan 2, 04:00 pm",22,5.7,59,0,59,180,20,13.3932,236.127,0.0100787,27.865,32.5518,30,22.8105,11.5981,0.44324
"Jan 2, 05:00 pm",22,5.9,14,107,17,180,20,1.97228,243.575,0.00144537,26.2369,30.756,30,22.3779,2.83505,0.132424
"Jan 2, 06:00 pm",22,6.1,0,0,0,0,0,-10.1923,249.7,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",22,6.3,0,0,0,0,0,-23.0577,254.982,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",22,6.4,0,0,0,0,0,-36.2322,259.814,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",22,6.4,0,0,0,0,0,-49.6062,264.628,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",22,6.4,0,0,0,0,0,-63.0889,270.257,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",21,6.1,0,0,0,0,0,-76.5338,280.325,0,0,0,0,0,0,0
"Jan 3, 12:00 am",21,5.9,0,0,0,0,0,-86.2823,20.5839,0,0,0,0,0,0,0
"Jan 3, 01:00 am",21,5.6,0,0,0,0,0,-74.3907,82.0713,0,0,0,0,0,0,0
"Jan 3, 02:00 am",21,5.6,0,0,0,0,0,-60.9172,90.7377,0,0,0,0,0,0,0
"Jan 3, 03:00 am",21,5.6,0,0,0,0,0,-47.4431,96.1313,0,0,0,0,0,0,0
"Jan 3, 04:00 am",21,5.6,0,0,0,0,0,-34.0914,100.909,0,0,0,0,0,0,0
"Jan 3, 05:00 am",21,5.7,0,0,0,0,0,-20.9535,105.784,0,0,0,0,0,0,0
"Jan 3, 06:00 am",21,5.9,0,0,0,0,0,-8.14442,111.169,0,0,0,0,0,0,0
"Jan 3, 07:00 am",21,6.2,22,282,40,180,20,3.81281,117.467,0.00857673,27.784,32.444,30,22.0425,5.96636,0.38291
"Jan 3, 08:00 am",22,6.7,53,677,231,180,20,15.2109,125.177,0.0739179,29.4736,34.8355,30,26.6629,13.1779,2.78468
"Jan 3, 09:00 am",22,6.9,88,0,88,180,20,25.5429,134.958,0.0159907,28.355,33.1201,30,23.0533,12.4331,0.656011
"Jan 3, 10:00 am",23,6.8,85,870,572,180,20,34.0202,147.552,0.160872,29.0225,35.2263,30,32.8828,13.5266,6.22723
"Jan 3, 11:00 am",23,6.5,91,904,668,180,20,39.6686,163.343,0.179943,28.7888,35.1932,30,34.5947,13.3033,7.07864
