"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-16,2.7,0,0,0,0,0,-68.1246,22.6268,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-15,2.9,0,0,0,0,0,-61.3842,51.9745,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-15,3.3,0,0,0,0,0,-51.7608,70.4284,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-14,3.7,0,0,0,0,0,-41.096,83.3601,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-13,3.8,0,0,0,0,0,-30.1539,93.8216,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-12,3.9,0,0,0,0,0,-19.3297,103.313,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-12,3.9,0,0,0,0,0,-8.91659,112.689,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-11,3.8,0,0,0,180,20,0.743244,122.542,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-10,3.7,38,0,38,180,20,8.96859,133.345,0.00806648,32.2811,36.7812,32.2811,-9.32773,14.5095,0.274267
"Jan 1, 09:00 am",-9,3.7,103,19,108,180,20,16.0647,145.449,0.0269771,33.3142,38.0351,33.3142,-6.86234,15.3275,0.888863
"Jan 1, 10:00 am",-8,4,152,104,189,180,20,21.1705,158.978,0.0573432,33.6127,38.6174,33.6127,-3.71389,15.5641,1.87379
"Jan 1, 11:00 am",-7,4.6,155,25,165,180,20,23.7682,173.648,0.0410889,33.3573,38.2215,33.3573,-4.13842,15.3583,1.35279
"Jan 1, 12:00 pm",-7,4.8,165,59,189,180,20,23.5456,188.716,0.051916,33.489,38.4523,33.489,-3.50016,15.4649,1.70267
