"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-3,6.2,0,0,0,0,0,-67.3206,8.35997,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-4,5.9,0,0,0,0,0,-62.8491,40.4804,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-5,5.6,0,0,0,0,0,-54.5219,62.267,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-6,5,0,0,0,0,0,-44.5685,77.2853,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-7,4.5,0,0,0,0,0,-34.048,88.9714,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-8,4.1,0,0,0,0,0,-23.4789,99.1726,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-8,3.9,0,0,0,0,0,-13.1977,108.915,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-9,3.5,0,0,0,0,0,-3.50471,118.866,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-8,3.2,24,488,64,180,20,4.87677,129.525,0.0327838,33.1793,37.9688,33.1793,-4.5239,11.6403,1.08505
"Jan 1, 09:00 am",-5,3,46,733,201,180,20,12.2321,141.273,0.0915217,32.9602,38.3012,32.9602,3.36726,14.7663,3.05467
"Jan 1, 10:00 am",-3,2.9,60,832,314,180,20,17.8721,154.307,0.131815,32.3387,38.0558,32.3387,9.08852,15.0898,4.49142
"Jan 1, 11:00 am",-1,2.8,67,872,383,180,20,21.2559,168.504,0.152673,31.7728,37.7021,31.7728,13.3769,14.9792,5.30145
"Jan 1, 12:00 pm",0,2.6,69,879,398,180,20,22.0152,183.327,0.15639,31.4947,37.4735,31.4947,15.372,14.8721,5.48162
"Jan 1, 01:00 pm",0,2.2,67,851,358,180,20,20.0591,197.963,0.14293,31.4973,37.3635,31.4973,15.187,14.8167,5.00829
"Jan 1, 02:00 pm",0,1.7,59,776,267,180,20,15.6153,211.686,0.111515,31.6673,37.2546,31.6673,13.2481,14.6283,3.88341
"Jan 1, 03:00 pm",-1,1.3,49,407,113,180,20,9.13557,224.143,0.0491536,32.1089,37.1119,32.1089,5.64652,13.8809,1.68459
"Jan 1, 04:00 pm",-4,1.4,0,0,0,180,20,1.34974,235.373,0,0,0,0,0,0,0
"Jan 1, 05:00 pm",-5,1.5,0,0,0,0,0,-7.71862,245.668,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",-6,1.5,0,0,0,0,0,-17.7095,255.465,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",-6,1.6,0,0,0,0,0,-28.1533,265.325,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",-6,1.7,0,0,0,0,0,-38.7437,276.042,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",-6,1.7,0,0,0,0,0,-49.0877,288.929,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-6,1.7,0,0,0,0,0,-58.4882,306.447,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-6,1.8,0,0,0,0,0,-65.432,332.672,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-6,1.7,0,0,0,0,0,-67.2493,8.04987,0,0,0,0,0,0,0
