"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",7,1,0,0,0,0,0,-76.3588,46.8884,0,0,0,0,0,0,0
"Jan 1, 01:00 am",7,1,0,0,0,0,0,-65.2077,73.6789,0,0,0,0,0,0,0
"Jan 1, 02:00 am",7,0.9,0,0,0,0,0,-52.7489,85.6167,0,0,0,0,0,0,0
"Jan 1, 03:00 am",8,0.9,0,0,0,0,0,-40.0931,93.7484,0,0,0,0,0,0,0
"Jan 1, 04:00 am",9,0.9,0,0,0,0,0,-27.5364,100.712,0,0,0,0,0,0,0
"Jan 1, 05:00 am",9,0.9,0,0,0,0,0,-15.2586,107.52,0,0,0,0,0,0,0
"Jan 1, 06:00 am",9,1.1,0,0,0,0,0,-3.44801,114.777,0,0,0,0,0,0,0
"Jan 1, 07:00 am",11,1.6,48,266,80,180,20,7.20379,123,0.0276461,30.1498,35.0028,30.1498,14.8788,12.3423,1.01146
"Jan 1, 08:00 am",13,2,87,553,250,180,20,17.1449,132.728,0.082358,30.1209,35.5307,30.1209,22.6984,13.8413,3.02206
"Jan 1, 09:00 am",16,2,190,87,227,180,20,25.5205,144.503,0.0548704,29.7932,34.9523,30,22.4854,13.815,2.03629
"Jan 1, 10:00 am",18,2,37,0,37,180,20,31.5694,158.635,0.00610042,27.806,32.4086,30,18.8754,11.352,0.271759
"Jan 1, 11:00 am",19,2.1,256,77,300,180,20,34.5035,174.735,0.0689563,29.3396,34.6603,30,27.2001,13.4385,2.61575
"Jan 1, 12:00 pm",20,2.2,64,0,64,180,20,33.825,191.407,0.0111689,28.1548,32.8488,30,21.4562,12.0017,0.470024
"Jan 1, 01:00 pm",19,2,223,172,309,180,20,29.6572,206.891,0.077214,29.2768,34.6817,30,28.3279,13.5205,2.93986
"Jan 1, 02:00 pm",18,1.8,106,0,106,180,20,22.6541,220.151,0.0208188,28.9851,33.7939,30,20.6849,13.1873,0.806332
"Jan 1, 03:00 pm",18,1.7,78,0,78,180,20,13.6152,231.115,0.0152634,28.7065,33.4463,30,20.0591,12.8742,0.604385
"Jan 1, 04:00 pm",17,1.5,10,0,10,180,20,3.3187,240.227,1.24219e-05,25.6036,30.0143,30,17.2343,0.0857456,0.0472478
"Jan 1, 05:00 pm",17,1.3,0,0,0,0,0,-7.74468,248.039,0,0,0,0,0,0,0
