"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",4,0.4,0,0,0,0,0,-69.7661,24.5282,0,0,0,0,0,0,0
"Jan 1, 01:00 am",4,0.5,0,0,0,0,0,-62.4593,54.7203,0,0,0,0,0,0,0
"Jan 1, 02:00 am",5,0.5,0,0,0,0,0,-52.3395,72.6459,0,0,0,0,0,0,0
"Jan 1, 03:00 am",5,0.6,0,0,0,0,0,-41.2952,84.9518,0,0,0,0,0,0,0
"Jan 1, 04:00 am",6,0.6,0,0,0,0,0,-30.0403,94.8868,0,0,0,0,0,0,0
"Jan 1, 05:00 am",6,0.6,0,0,0,0,0,-18.9357,103.947,0,0,0,0,0,0,0
"Jan 1, 06:00 am",7,0.6,0,0,0,0,0,-8.25581,112.97,0,0,0,0,0,0,0
"Jan 1, 07:00 am",7,0.5,1,0,1,180,20,1.52948,122.542,0,0,0,0,0,0,0
"Jan 1, 08:00 am",8,0.5,12,0,12,180,20,10.1377,133.146,0.00197772,27.9067,32.3592,30,8.40599,11.3821,0.086974
"Jan 1, 09:00 am",9,0.5,21,0,21,180,20,17.4794,145.159,0.00383097,28.4893,33.0016,30,9.71356,12.5853,0.15502
"Jan 1, 10:00 am",10,0.5,46,0,46,180,20,22.7796,158.728,0.00893876,29.2593,33.8742,30,11.565,13.3835,0.3397
"Jan 1, 11:00 am",11,0.5,41,0,41,180,20,25.4847,173.557,0.0077991,28.9716,33.5721,30,12.3941,13.102,0.302127
"Jan 1, 12:00 pm",11,0.5,41,0,41,180,20,25.2531,188.83,0.00780092,28.9716,33.5721,30,12.3942,13.1053,0.302192
"Jan 1, 01:00 pm",11,0.4,46,0,46,180,20,22.116,203.506,0.00885491,29.0964,33.7141,30,12.612,13.2583,0.340032
"Jan 1, 02:00 pm",11,0.4,26,0,26,180,20,16.4607,216.842,0.00471778,28.4322,32.9735,30,11.9101,12.5147,0.192102
"Jan 1, 03:00 pm",11,0.4,4,0,4,180,20,8.85828,228.622,0.0001401,25.9173,30.2787,30,11.139,2.42124,0.028753
"Jan 1, 04:00 pm",10,0.3,0,0,0,0,0,0.306718,239.042,0,0,0,0,0,0,0
"Jan 1, 05:00 pm",9,0.2,0,0,0,0,0,-9.87025,248.501,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",9,0.3,0,0,0,0,0,-20.6325,257.496,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",9,0.3,0,0,0,0,0,-31.7767,266.64,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",8,0.3,0,0,0,0,0,-43.0224,276.838,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",7,0.4,0,0,0,0,0,-53.9769,289.764,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",6,0.4,0,0,0,0,0,-63.8152,309.109,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",5,0.5,0,0,0,0,0,-70.3359,341.788,0,0,0,0,0,0,0
"Jan 2, 12:00 am",5,0.5,0,0,0,0,0,-69.724,24.1419,0,0,0,0,0,0,0
"Jan 2, 01:00 am",5,0.5,0,0,0,0,0,-62.4689,54.4191,0,0,0,0,0,0,0
"Jan 2, 02:00 am",4,0.5,0,0,0,0,0,-52.3711,72.4246,0,0,0,0,0,0,0
"Jan 2, 03:00 am",4,0.5,0,0,0,0,0,-41.3341,84.775,0,0,0,0,0,0,0
"Jan 2, 04:00 am",4,0.6,0,0,0,0,0,-30.0791,94.7336,0,0,0,0,0,0,0
"Jan 2, 05:00 am",4,0.7,0,0,0,0,0,-18.9696,103.806,0,0,0,0,0,0,0
"Jan 2, 06:00 am",3,0.8,0,0,0,0,0,-8.28087,112.833,0,0,0,0,0,0,0
"Jan 2, 07:00 am",3,0.8,11,111,13,180,20,1.51857,122.405,0.00352301,29.2262,33.7063,30,3.90816,6.81706,0.134026
"Jan 2, 08:00 am",3,0.8,45,601,150,180,20,10.1423,133.006,0.0631434,31.295,36.4695,31.295,12.9156,13.55,2.2241
"Jan 2, 09:00 am",4,0.8,57,793,295,180,20,17.5052,145.017,0.112456,30.5568,36.2174,30.5568,21.086,14.2023,4.06686
"Jan 2, 10:00 am",4,0.8,59,887,403,180,20,22.8301,158.588,0.144039,29.9659,35.9406,30,26.0067,14.1693,5.32153
"Jan 2, 11:00 am",5,0.8,61,915,455,180,20,25.5611,173.429,0.157033,29.5145,35.6379,30,29.3516,13.9691,5.91357
"Jan 2, 12:00 pm",6,0.7,61,908,450,180,20,25.3529,188.723,0.153693,29.3184,35.4279,30,30.7223,13.8363,5.84596
"Jan 2, 01:00 pm",6,0.7,58,872,387,180,20,22.2336,203.427,0.137811,29.6885,35.6273,30,27.8702,14.0128,5.1471
"Jan 2, 02:00 pm",5,0.6,51,787,275,180,20,16.5896,216.789,0.105734,30.3717,35.9833,30.3717,22.1381,14.0512,3.84785
"Jan 2, 03:00 pm",4,0.5,37,604,130,180,20,8.99252,228.59,0.0559881,31.0565,36.1725,31.0565,13.8093,13.138,1.98769
"Jan 2, 04:00 pm",3,0.5,0,0,0,0,0,0.410792,239.027,0,0,0,0,0,0,0
"Jan 2, 05:00 pm",2,0.5,0,0,0,0,0,-9.73075,248.499,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",2,0.4,0,0,0,0,0,-20.493,257.503,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",1,0.4,0,0,0,0,0,-31.6372,266.653,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",0,0.4,0,0,0,0,0,-42.8827,276.852,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",0,0.3,0,0,0,0,0,-53.8367,289.764,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",0,0.3,0,0,0,0,0,-63.6773,309.049,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",0,0.3,0,0,0,0,0,-70.2207,341.543,0,0,0,0,0,0,0
"Jan 3, 12:00 am",0,0.3,0,0,0,0,0,-69.6737,23.7531,0,0,0,0,0,0,0
"Jan 3, 01:00 am",0,0.3,0,0,0,0,0,-62.4714,54.1086,0,0,0,0,0,0,0
"Jan 3, 02:00 am",0,0.3,0,0,0,0,0,-52.3967,72.1945,0,0,0,0,0,0,0
"Jan 3, 03:00 am",0,0.3,0,0,0,0,0,-41.3674,84.5907,0,0,0,0,0,0,0
"Jan 3, 04:00 am",0,0.3,0,0,0,0,0,-30.1123,94.574,0,0,0,0,0,0,0
"Jan 3, 05:00 am",0,0.2,0,0,0,0,0,-18.9979,103.659,0,0,0,0,0,0,0
"Jan 3, 06:00 am",0,0.2,0,0,0,0,0,-8.30004,112.691,0,0,0,0,0,0,0
"Jan 3, 07:00 am",1,0.3,9,0,9,180,20,1.51321,122.263,0.000994456,28.0991,32.4743,30,1.29416,7.44487,0.0424399
"Jan 3, 08:00 am",2,0.4,65,135,88,180,20,10.1535,132.862,0.028701,31.3506,36.1725,31.3506,6.9454,13.898,1.00782
"Jan 3, 09:00 am",4,0.4,83,509,236,180,20,17.538,144.872,0.0859452,30.7447,36.1573,30.7447,18.5389,14.2814,3.08624
"Jan 3, 10:00 am",6,0.5,115,524,318,180,20,22.888,158.447,0.107302,30.1491,35.7862,30.1491,23.7743,14.1959,3.93575
"Jan 3, 11:00 am",7,0.6,68,875,446,180,20,25.645,173.302,0.150768,29.1001,35.2044,30,32.2428,13.6672,5.80708
"Jan 3, 12:00 pm",8,0.7,68,869,441,180,20,25.46,188.619,0.14909,29.0909,35.1803,30,32.293,13.6574,5.74578
