"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",5,4.3,0,0,0,0,0,-80.3262,41.7666,0,0,0,0,0,0,0
"Jan 1, 01:00 am",4,4.6,0,0,0,0,0,-68.9521,75.2675,0,0,0,0,0,0,0
"Jan 1, 02:00 am",4,5,0,0,0,0,0,-56.1197,86.7905,0,0,0,0,0,0,0
"Jan 1, 03:00 am",4,5.3,0,0,0,0,0,-43.1382,94.1764,0,0,0,0,0,0,0
"Jan 1, 04:00 am",3,5.5,0,0,0,0,0,-30.26,100.434,0,0,0,0,0,0,0
"Jan 1, 05:00 am",3,5.8,0,0,0,0,0,-17.6326,106.566,0,0,0,0,0,0,0
"Jan 1, 06:00 am",3,5.7,0,0,0,0,0,-5.41525,113.138,0,0,0,0,0,0,0
"Jan 1, 07:00 am",3,5.2,2,0,2,180,20,5.76019,120.64,0.00011741,26.239,30.5292,30,3.02812,4.06046,0.0134015
"Jan 1, 08:00 am",3,5.1,58,0,58,180,20,16.3031,129.609,0.0119598,30.77,35.3925,30.77,3.84533,14.1913,0.427753
"Jan 1, 09:00 am",3,5.3,174,42,193,180,20,25.4686,140.647,0.0473572,32.0006,36.9906,32.0006,6.13986,14.7594,1.62869
"Jan 1, 10:00 am",3,5.4,151,0,151,180,20,32.4799,154.248,0.0326612,31.7527,36.6026,31.7527,5.17521,14.4872,1.13185
"Jan 1, 11:00 am",3,5.1,153,0,153,180,20,36.4597,170.294,0.0328217,31.7439,36.5953,31.7439,5.27562,14.4235,1.13777
"Jan 1, 12:00 pm",3,4.9,122,0,122,180,20,36.7155,187.495,0.0257052,31.5348,36.3146,31.5348,4.84043,14.3227,0.896959
"Jan 1, 01:00 pm",2,5.2,182,5,185,180,20,33.1966,203.796,0.041056,32.0539,36.9794,32.0539,4.7753,14.6241,1.4092
"Jan 1, 02:00 pm",2,5.5,158,7,162,180,20,26.5336,217.748,0.0362761,31.9851,36.8643,31.9851,4.35683,14.6953,1.24772
"Jan 1, 03:00 pm",2,5.5,73,0,73,180,20,17.6048,229.105,0.0154591,31.2044,35.8665,31.2044,3.026,14.3989,0.545017
"Jan 1, 04:00 pm",2,5.8,33,0,33,180,20,7.19691,238.315,0.00646939,30.2128,34.749,30.2128,2.44417,13.3223,0.235664
"Jan 1, 05:00 pm",2,6.1,0,0,0,0,0,-3.84839,245.983,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",2,6.4,0,0,0,0,0,-15.9979,252.658,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",2,6.6,0,0,0,0,0,-28.5816,258.832,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",2,6.9,0,0,0,0,0,-41.4347,265.052,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",2,7.2,0,0,0,0,0,-54.4107,272.231,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",2,7.1,0,0,0,0,0,-67.2827,282.913,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",2,6.7,0,0,0,0,0,-79.059,310.698,0,0,0,0,0,0,0
"Jan 2, 12:00 am",2,6.7,0,0,0,0,0,-80.3265,40.8966,0,0,0,0,0,0,0
"Jan 2, 01:00 am",2,6.8,0,0,0,0,0,-69.0147,74.9159,0,0,0,0,0,0,0
"Jan 2, 02:00 am",2,6.7,0,0,0,0,0,-56.1917,86.5758,0,0,0,0,0,0,0
"Jan 2, 03:00 am",2,6.5,0,0,0,0,0,-43.2098,94.0127,0,0,0,0,0,0,0
"Jan 2, 04:00 am",2,6.4,0,0,0,0,0,-30.327,100.293,0,0,0,0,0,0,0
"Jan 2, 05:00 am",1,6.1,0,0,0,0,0,-17.6924,106.435,0,0,0,0,0,0,0
"Jan 2, 06:00 am",1,6,0,0,0,0,0,-5.4649,113.008,0,0,0,0,0,0,0
"Jan 2, 07:00 am",2,5.8,17,0,17,180,20,5.72502,120.505,0.00300524,29.2801,33.74,30,2.22312,12.1951,0.11393
"Jan 2, 08:00 am",2,5.5,89,0,89,180,20,16.2855,129.465,0.019451,31.4415,36.1478,31.4415,3.28158,14.5026,0.680576
"Jan 2, 09:00 am",2,5.2,167,27,179,180,20,25.4749,140.493,0.0434009,32.0927,37.0389,32.0927,4.90762,14.7835,1.48797
"Jan 2, 10:00 am",3,5,196,14,203,180,20,32.5165,154.088,0.0459454,31.9632,36.9418,31.9632,6.18721,14.6149,1.58198
"Jan 2, 11:00 am",4,5,187,4,190,180,20,36.5302,170.144,0.0413758,31.7533,36.6947,31.7533,6.90124,14.4433,1.43433
"Jan 2, 12:00 pm",5,4.9,252,41,276,180,20,36.8171,187.376,0.0665432,31.8035,36.985,31.8035,9.70129,14.5285,2.30467
"Jan 2, 01:00 pm",5,4.9,177,3,179,180,20,33.32,203.717,0.0389226,31.5624,36.4869,31.5624,7.77323,14.4041,1.35772
"Jan 2, 02:00 pm",6,4.9,196,190,281,180,20,26.6687,217.708,0.0770344,31.6826,36.9659,31.6826,11.3922,14.7094,2.67945
"Jan 2, 03:00 pm",5,4.6,118,230,188,180,20,17.7441,229.093,0.0563043,31.7365,36.825,31.7365,9.12305,14.5935,1.95387
"Jan 2, 04:00 pm",4,4.5,46,60,54,180,20,7.33496,238.323,0.0143033,30.7938,35.4515,30.7938,5.16164,13.1364,0.511297
"Jan 2, 05:00 pm",4,4.8,0,0,0,0,0,-3.70977,246.006,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",4,5.2,0,0,0,0,0,-15.8615,252.694,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",4,5.7,0,0,0,0,0,-28.4474,258.881,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",3,6,0,0,0,0,0,-41.3023,265.117,0,0,0,0,0,0,0
