"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-3,6.1,0,0,0,0,0,-70.5991,22.3039,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-2,6.9,0,0,0,0,0,-63.445,53.959,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-2,7.5,0,0,0,0,0,-53.2833,72.3157,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-3,7.7,0,0,0,0,0,-42.1558,84.6752,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-3,7.4,0,0,0,0,0,-30.8048,94.5465,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-3,6.8,0,0,0,0,0,-19.5928,103.498,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-4,6.3,0,0,0,0,0,-8.78962,112.388,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-3,6.3,0,0,0,180,20,1.19024,121.813,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-2,6.6,61,207,96,180,20,9.92388,132.263,0.0342659,32.5602,37.3932,32.5602,0.0118676,14.2507,1.15671
"Jan 1, 09:00 am",0,6.8,60,769,290,180,20,17.4689,144.135,0.116811,32.6695,38.2406,32.6695,6.40059,15.122,3.93692
"Jan 1, 10:00 am",0,6.9,118,513,318,180,20,23.001,157.608,0.114916,32.6946,38.2484,32.6946,6.16327,15.3301,3.86971
"Jan 1, 11:00 am",1,6.9,147,469,352,180,20,25.9462,172.424,0.122078,32.5223,38.1463,32.5223,7.57819,15.2598,4.13436
"Jan 1, 12:00 pm",1,7.1,142,492,357,180,20,25.9302,187.772,0.12464,32.5309,38.1766,32.5309,7.57779,15.2723,4.22001
"Jan 1, 01:00 pm",2,7.3,72,831,396,180,20,22.9552,202.578,0.150438,32.2754,38.1507,32.2754,9.82733,15.1964,5.1379
"Jan 1, 02:00 pm",2,7.2,62,752,287,180,20,17.3986,216.036,0.114025,32.4209,37.9851,32.4209,8.0466,15.008,3.87372
"Jan 1, 03:00 pm",1,7,43,594,144,180,20,9.83585,227.895,0.0620452,32.4833,37.5898,32.4833,4.55972,13.936,2.10145
"Jan 1, 04:00 pm",0,7.1,0,0,0,180,20,1.10323,238.336,0,0,0,0,0,0,0
"Jan 1, 05:00 pm",0,7.2,0,0,0,0,0,-8.8998,247.758,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",0,7.3,0,0,0,0,0,-19.7076,256.654,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",0,7.2,0,0,0,0,0,-30.9205,265.623,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",0,7.1,0,0,0,0,0,-42.2672,275.529,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",0,7,0,0,0,0,0,-53.3812,287.96,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",0,6.9,0,0,0,0,0,-63.5081,306.455,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",0,6.6,0,0,0,0,0,-70.5776,338.295,0,0,0,0,0,0,0
"Jan 2, 12:00 am",0,6.1,0,0,0,0,0,-70.553,21.9049,0,0,0,0,0,0,0
"Jan 2, 01:00 am",0,5.9,0,0,0,0,0,-63.4541,53.6466,0,0,0,0,0,0,0
"Jan 2, 02:00 am",0,5.9,0,0,0,0,0,-53.3157,72.0894,0,0,0,0,0,0,0
"Jan 2, 03:00 am",0,5.7,0,0,0,0,0,-42.1959,84.4962,0,0,0,0,0,0,0
"Jan 2, 04:00 am",-1,5.6,0,0,0,0,0,-30.845,94.3922,0,0,0,0,0,0,0
"Jan 2, 05:00 am",-1,5.6,0,0,0,0,0,-19.6281,103.356,0,0,0,0,0,0,0
"Jan 2, 06:00 am",-1,5.9,0,0,0,0,0,-8.81632,112.251,0,0,0,0,0,0,0
"Jan 2, 07:00 am",0,6,0,0,0,180,20,1.17809,121.675,0,0,0,0,0,0,0
"Jan 2, 08:00 am",0,6.1,62,156,89,180,20,9.92648,132.122,0.0299627,32.1424,36.9463,32.1424,1.87231,14.1448,1.02503
"Jan 2, 09:00 am",2,6.5,91,455,227,180,20,17.4926,143.992,0.0843853,32.4099,37.7195,32.4099,6.8082,15.0027,2.86639
"Jan 2, 10:00 am",3,6.7,154,298,270,180,20,23.0496,157.467,0.0877541,32.2845,37.6302,32.2845,7.87909,15.0817,2.99319
"Jan 2, 11:00 am",3,6.5,171,345,322,180,20,26.0211,172.294,0.104205,32.2477,37.738,32.2477,8.91424,15.0928,3.55962
"Jan 2, 12:00 pm",4,6.3,165,380,331,180,20,26.0291,187.664,0.107912,32.0718,37.6044,32.0718,10.2844,15.0305,3.70773
"Jan 2, 01:00 pm",4,6,118,515,319,180,20,23.0724,202.497,0.113058,32.0228,37.6021,32.0228,10.8062,15.0326,3.89117
"Jan 2, 02:00 pm",3,5.6,64,642,257,180,20,17.5276,215.982,0.10093,32.1587,37.6263,32.1587,9.40133,14.9,3.45758
"Jan 2, 03:00 pm",2,5.1,55,464,135,180,20,9.97056,227.863,0.0548643,32.1777,37.2315,32.1777,5.90141,13.9246,1.87642
"Jan 2, 04:00 pm",1,5.1,0,0,0,180,20,1.22216,238.322,0,0,0,0,0,0,0
"Jan 2, 05:00 pm",0,4.9,0,0,0,0,0,-8.76008,247.756,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",0,4.6,0,0,0,0,0,-19.5679,256.661,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",0,4.3,0,0,0,0,0,-30.781,265.637,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",0,4.1,0,0,0,0,0,-42.1275,275.546,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",0,3.9,0,0,0,0,0,-53.2409,287.966,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",0,3.7,0,0,0,0,0,-63.369,306.409,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",0,3.7,0,0,0,0,0,-70.4581,338.066,0,0,0,0,0,0,0
"Jan 3, 12:00 am",-1,4,0,0,0,0,0,-70.4985,21.5041,0,0,0,0,0,0,0
"Jan 3, 01:00 am",-1,4.3,0,0,0,0,0,-63.456,53.3247,0,0,0,0,0,0,0
"Jan 3, 02:00 am",-1,4.6,0,0,0,0,0,-53.342,71.854,0,0,0,0,0,0,0
"Jan 3, 03:00 am",-1,4.6,0,0,0,0,0,-42.2304,84.3094,0,0,0,0,0,0,0
"Jan 3, 04:00 am",-2,4.4,0,0,0,0,0,-30.8796,94.2314,0,0,0,0,0,0,0
"Jan 3, 05:00 am",-2,4.2,0,0,0,0,0,-19.6579,103.209,0,0,0,0,0,0,0
"Jan 3, 06:00 am",-1,4.3,0,0,0,0,0,-8.8372,112.109,0,0,0,0,0,0,0
"Jan 3, 07:00 am",0,4.6,0,0,0,180,20,1.17127,121.533,0,0,0,0,0,0,0
"Jan 3, 08:00 am",0,4.9,61,21,65,180,20,9.93565,131.978,0.0160038,31.5248,36.1826,31.5248,1.15543,14.1792,0.558243
"Jan 3, 09:00 am",2,5.2,114,27,122,180,20,17.5233,143.846,0.030767,31.8493,36.6739,31.8493,4.07264,14.71,1.06275
"Jan 3, 10:00 am",3,5.4,58,0,58,180,20,23.1055,157.325,0.0119368,30.7728,35.3948,30.7728,3.81452,14.1661,0.426898
"Jan 3, 11:00 am",4,5.5,20,0,20,180,20,26.1035,172.164,0.00386792,29.2871,33.7782,30,4.27697,13.3321,0.14661
"Jan 3, 12:00 pm",4,5.6,38,0,38,180,20,26.1352,187.558,0.00762301,30.1065,34.6699,30.1065,4.52048,13.8183,0.27879
"Jan 3, 01:00 pm",3,5.6,111,0,111,180,20,23.1964,202.42,0.0241495,31.5025,36.2657,31.5025,4.5713,14.5085,0.843495
"Jan 3, 02:00 pm",2,5.2,70,0,70,180,20,17.6626,215.933,0.0147781,31.1512,35.8053,31.1512,3.0187,14.3741,0.52191
"Jan 3, 03:00 pm",2,4.3,9,0,9,180,20,10.1105,227.837,0.00161383,28.5362,32.9465,30,2.14465,12.3878,0.0650021
"Jan 3, 04:00 pm",2,3.7,0,0,0,180,20,1.34641,238.313,0,0,0,0,0,0,0
"Jan 3, 05:00 pm",2,3.6,0,0,0,0,0,-8.61643,247.761,0,0,0,0,0,0,0
"Jan 3, 06:00 pm",3,3.8,0,0,0,0,0,-19.4247,256.676,0,0,0,0,0,0,0
"Jan 3, 07:00 pm",4,3.8,0,0,0,0,0,-30.6382,265.659,0,0,0,0,0,0,0
"Jan 3, 08:00 pm",4,3.5,0,0,0,0,0,-41.9846,275.572,0,0,0,0,0,0,0
"Jan 3, 09:00 pm",4,3.2,0,0,0,0,0,-53.0968,287.984,0,0,0,0,0,0,0
"Jan 3, 10:00 pm",4,2.8,0,0,0,0,0,-63.2251,306.376,0,0,0,0,0,0,0
"Jan 3, 11:00 pm",4,2.6,0,0,0,0,0,-70.3315,337.851,0,0,0,0,0,0,0
"Jan 4, 12:00 am",4,2.5,0,0,0,0,0,-70.4356,21.1025,0,0,0,0,0,0,0
"Jan 4, 01:00 am",4,2.7,0,0,0,0,0,-63.4508,52.9938,0,0,0,0,0,0,0
"Jan 4, 02:00 am",4,3.4,0,0,0,0,0,-53.3622,71.6097,0,0,0,0,0,0,0
"Jan 4, 03:00 am",3,4.1,0,0,0,0,0,-42.2593,84.1151,0,0,0,0,0,0,0
"Jan 4, 04:00 am",3,4.8,0,0,0,0,0,-30.9088,94.0642,0,0,0,0,0,0,0
"Jan 4, 05:00 am",4,5.3,0,0,0,0,0,-19.6821,103.055,0,0,0,0,0,0,0
"Jan 4, 06:00 am",4,5.1,0,0,0,0,0,-8.85218,111.962,0,0,0,0,0,0,0
"Jan 4, 07:00 am",4,4.6,0,0,0,180,20,1.16981,121.387,0,0,0,0,0,0,0
"Jan 4, 08:00 am",4,4.2,11,0,11,180,20,9.9514,131.831,0.00195973,28.4742,32.9078,30,4.17927,12.3053,0.0794667
"Jan 4, 09:00 am",4,4.8,48,0,48,180,20,17.5611,143.698,0.00977359,30.3885,34.9849,30.3885,4.72625,14.0233,0.354087
"Jan 4, 10:00 am",5,5.6,31,0,31,180,20,23.1689,157.181,0.00614048,29.696,34.2386,30,5.4246,13.6519,0.228045
"Jan 4, 11:00 am",7,5.9,84,0,84,180,20,26.1933,172.035,0.0172185,30.5794,35.287,30.5794,8.11677,14.053,0.620179
"Jan 4, 12:00 pm",8,6,160,11,165,180,20,26.2485,187.454,0.0370217,31.1384,36.0596,31.1384,10.3271,14.3427,1.30982
"Jan 4, 01:00 pm",9,5.8,98,0,98,180,20,23.327,202.346,0.0204054,30.4564,35.21,30.4564,10.3403,14.0426,0.738289
"Jan 4, 02:00 pm",8,5.8,112,13,116,180,20,17.8034,215.889,0.0262688,30.8464,35.6593,30.8464,9.69965,14.2639,0.938135
"Jan 4, 03:00 pm",8,6.2,51,0,51,180,20,10.2554,227.817,0.0103921,29.8726,34.4963,30,8.67338,13.576,0.383426
"Jan 4, 04:00 pm",8,6,4,0,4,180,20,1.47589,238.311,5.97446e-05,25.8498,30.1732,30,8.04731,1.00636,0.0188326
"Jan 4, 05:00 pm",8,5.6,0,0,0,0,0,-8.46896,247.773,0,0,0,0,0,0,0
"Jan 4, 06:00 pm",8,5.6,0,0,0,0,0,-19.2781,256.699,0,0,0,0,0,0,0
"Jan 4, 07:00 pm",8,5,0,0,0,0,0,-30.4922,265.69,0,0,0,0,0,0,0
"Jan 4, 08:00 pm",7,5.2,0,0,0,0,0,-41.8384,275.607,0,0,0,0,0,0,0
"Jan 4, 09:00 pm",7,6.5,0,0,0,0,0,-52.9492,288.013,0,0,0,0,0,0,0
"Jan 4, 10:00 pm",6,7.2,0,0,0,0,0,-63.0766,306.358,0,0,0,0,0,0,0
"Jan 4, 11:00 pm",5,7.5,0,0,0,0,0,-70.1981,337.65,0,0,0,0,0,0,0
"Jan 5, 12:00 am",4,7.5,0,0,0,0,0,-70.3643,20.7009,0,0,0,0,0,0,0
"Jan 5, 01:00 am",3,7.2,0,0,0,0,0,-63.4383,52.6543,0,0,0,0,0,0,0
"Jan 5, 02:00 am",3,7.2,0,0,0,0,0,-53.3762,71.3569,0,0,0,0,0,0,0
"Jan 5, 03:00 am",3,7.4,0,0,0,0,0,-42.2824,83.9134,0,0,0,0,0,0,0
"Jan 5, 04:00 am",2,7.6,0,0,0,0,0,-30.9323,93.8906,0,0,0,0,0,0,0
"Jan 5, 05:00 am",1,7.7,0,0,0,0,0,-19.7005,102.897,0,0,0,0,0,0,0
"Jan 5, 06:00 am",0,7.7,0,0,0,0,0,-8.86122,111.809,0,0,0,0,0,0,0
"Jan 5, 07:00 am",0,7.7,0,0,0,180,20,1.17372,121.237,0,0,0,0,0,0,0
"Jan 5, 08:00 am",1,8.1,51,529,142,180,20,9.97378,131.68,0.0595341,32.518,37.5999,32.518,4.06096,14.0154,2.01398
"Jan 5, 09:00 am",1,8.6,122,146,166,180,20,17.6059,143.547,0.0502685,32.4655,37.4618,32.4655,3.34222,15.0051,1.70305
"Jan 5, 10:00 am",1,9.1,129,461,311,180,20,23.2395,157.036,0.109996,32.7205,38.2316,32.7205,5.82197,15.3257,3.70068
"Jan 5, 11:00 am",0,9.3,153,452,353,180,20,26.2905,171.906,0.122294,32.855,38.4607,32.855,5.24966,15.398,4.09745
"Jan 5, 12:00 pm",0,9.3,195,149,261,180,20,26.369,187.352,0.0767607,32.8392,38.0587,32.8392,3.32307,15.239,2.57121
