"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",0,2,0,0,0,0,0,-70.6236,21.6735,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,1.9,0,0,0,0,0,-63.5489,53.5551,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,1.8,0,0,0,0,0,-53.4161,72.0508,0,0,0,0,0,0,0
"Jan 1, 03:00 am",0,1.7,0,0,0,0,0,-42.2977,84.4737,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,1.7,0,0,0,0,0,-30.9469,94.3733,0,0,0,0,0,0,0
"Jan 1, 05:00 am",0,1.7,0,0,0,0,0,-19.7296,103.335,0,0,0,0,0,0,0
"Jan 1, 06:00 am",0,1.7,0,0,0,0,0,-8.91649,112.225,0,0,0,0,0,0,0
"Jan 1, 07:00 am",0,1.8,0,0,0,180,20,1.0947,121.641,0,0,0,0,0,0,0
"Jan 1, 08:00 am",0,1.8,61,27,66,180,20,9.83433,132.076,0.016466,31.438,36.1046,31.438,1.97475,14.1107,0.576073
"Jan 1, 09:00 am",1,1.7,115,35,126,180,20,17.4077,143.93,0.0320095,31.7868,36.6285,31.7868,4.78901,14.6848,1.10797
"Jan 1, 10:00 am",2,1.7,148,20,156,180,20,22.9767,157.387,0.0364969,31.7044,36.597,31.7044,6.33236,14.6415,1.26702
