"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",0,2,0,0,0,0,0,-76.942,356.033,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,1.9,0,0,0,0,0,-71.9768,48.2025,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,1.7,0,0,0,0,0,-61.3205,71.5884,0,0,0,0,0,0,0
"Jan 1, 03:00 am",0,1.4,0,0,0,0,0,-49.3797,84.1217,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,1.1,0,0,0,0,0,-37.1779,93.1296,0,0,0,0,0,0,0
"Jan 1, 05:00 am",0,0.9,0,0,0,0,0,-25.0633,100.931,0,0,0,0,0,0,0
"Jan 1, 06:00 am",0,0.9,0,0,0,0,0,-13.2558,108.541,0,0,0,0,0,0,0
"Jan 1, 07:00 am",0,1,0,0,0,0,0,-1.97806,116.592,0,0,0,0,0,0,0
"Jan 1, 08:00 am",2,1.2,42,429,101,180,20,8.03164,125.617,0.0402697,31.5842,36.5212,31.5842,7.87176,13.0555,1.40378
"Jan 1, 09:00 am",4,1.4,68,668,266,180,20,17.2215,136.129,0.0958092,31.1243,36.6054,31.1243,16.4121,14.3298,3.39689
"Jan 1, 10:00 am",6,1.9,81,785,408,180,20,24.6857,148.563,0.137393,30.5182,36.4005,30.5182,21.9911,14.3621,4.9776
"Jan 1, 11:00 am",9,2.4,84,847,504,180,20,29.7086,163.028,0.16212,29.9393,36.0748,30,26.3839,14.1387,5.99721
"Jan 1, 12:00 pm",11,2.9,78,888,544,180,20,31.6349,178.929,0.171428,29.7268,35.9597,30,27.9314,14.038,6.39589
"Jan 1, 01:00 pm",12,3.2,74,885,519,180,20,30.1588,194.933,0.165321,29.7853,35.9602,30,27.4917,14.0737,6.15252
"Jan 1, 02:00 pm",13,3.3,67,852,434,180,20,25.5176,209.645,0.143998,29.9343,35.9108,30,26.228,14.1197,5.32612
"Jan 1, 03:00 pm",12,2.6,55,774,298,180,20,18.3387,222.36,0.10544,30.2559,35.8698,30.2559,22.9502,14.0188,3.85286
"Jan 1, 04:00 pm",10,1.8,37,581,131,180,20,9.3389,233.111,0.0512342,30.5635,35.6548,30.5635,16.6357,12.8887,1.84956
"Jan 1, 05:00 pm",7,1.7,0,0,0,0,0,-0.519661,242.311,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",7,2,0,0,0,0,0,-11.7065,250.47,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",7,2.4,0,0,0,0,0,-23.4562,258.117,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",7,3,0,0,0,0,0,-35.5403,265.863,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",7,3.9,0,0,0,0,0,-47.742,274.648,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",8,4.5,0,0,0,0,0,-59.7421,286.514,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",9,4.5,0,0,0,0,0,-70.6766,307.672,0,0,0,0,0,0,0
"Jan 2, 12:00 am",9,4.3,0,0,0,0,0,-76.8472,355.565,0,0,0,0,0,0,0
"Jan 2, 01:00 am",9,4,0,0,0,0,0,-71.9809,47.7384,0,0,0,0,0,0,0
"Jan 2, 02:00 am",9,3.7,0,0,0,0,0,-61.3624,71.306,0,0,0,0,0,0,0
"Jan 2, 03:00 am",8,3.4,0,0,0,0,0,-49.432,83.9204,0,0,0,0,0,0,0
"Jan 2, 04:00 am",8,3.3,0,0,0,0,0,-37.231,92.966,0,0,0,0,0,0,0
"Jan 2, 05:00 am",8,3.2,0,0,0,0,0,-25.1122,100.785,0,0,0,0,0,0,0
"Jan 2, 06:00 am",8,3.2,0,0,0,0,0,-13.2969,108.403,0,0,0,0,0,0,0
"Jan 2, 07:00 am",8,3.1,0,0,0,0,0,-2.00779,116.455,0,0,0,0,0,0,0
"Jan 2, 08:00 am",8,3.3,41,438,101,180,20,8.01754,125.476,0.0397633,30.9829,35.9395,30.9829,11.9232,12.7972,1.41439
"Jan 2, 09:00 am",9,3.5,64,692,269,180,20,17.2275,135.982,0.0969449,30.9761,36.4757,30.9761,17.5048,14.2614,3.45458
"Jan 2, 10:00 am",11,3.5,73,815,414,180,20,24.717,148.412,0.139014,30.3479,36.255,30.3479,23.2228,14.2902,5.06653
"Jan 2, 11:00 am",13,3.5,73,888,514,180,20,29.7692,162.881,0.163948,29.7608,35.9249,30,27.6612,14.0604,6.10752
"Jan 2, 12:00 pm",16,3.2,165,563,461,180,20,31.7248,178.801,0.137005,29.5207,35.4644,30,29.0484,13.8278,5.1562
"Jan 2, 01:00 pm",18,2.7,197,405,401,180,20,30.2728,194.837,0.112352,29.3285,35.0618,30,29.7865,13.6571,4.26828
"Jan 2, 02:00 pm",18,2.4,59,897,447,180,20,25.6474,209.583,0.14023,28.8547,34.8866,30,33.8667,13.3969,5.4899
"Jan 2, 03:00 pm",16,1.8,51,815,309,180,20,18.4766,222.327,0.105235,29.3728,35.0371,30,29.2028,13.5636,3.98784
"Jan 2, 04:00 pm",13,1.3,36,630,139,180,20,9.479,233.101,0.0538166,29.9965,35.1365,30,20.9278,12.6698,1.98178
"Jan 2, 05:00 pm",10,1.4,0,0,0,0,0,-0.37789,242.318,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",9,1.4,0,0,0,0,0,-11.5657,250.49,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",8,1.4,0,0,0,0,0,-23.3167,258.148,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",8,1.3,0,0,0,0,0,-35.4017,265.904,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",8,1.3,0,0,0,0,0,-47.6032,274.697,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",8,1.5,0,0,0,0,0,-59.6014,286.563,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",7,2.6,0,0,0,0,0,-70.5339,307.643,0,0,0,0,0,0,0
"Jan 3, 12:00 am",6,3.9,0,0,0,0,0,-76.7441,355.111,0,0,0,0,0,0,0
"Jan 3, 01:00 am",5,4.3,0,0,0,0,0,-71.9774,47.2611,0,0,0,0,0,0,0
"Jan 3, 02:00 am",4,4.4,0,0,0,0,0,-61.3985,71.0109,0,0,0,0,0,0,0
"Jan 3, 03:00 am",3,4.7,0,0,0,0,0,-49.4792,83.7094,0,0,0,0,0,0,0
"Jan 3, 04:00 am",3,5.6,0,0,0,0,0,-37.2792,92.7945,0,0,0,0,0,0,0
"Jan 3, 05:00 am",3,6.4,0,0,0,0,0,-25.1562,100.633,0,0,0,0,0,0,0
"Jan 3, 06:00 am",2,6.8,0,0,0,0,0,-13.3328,108.259,0,0,0,0,0,0,0
"Jan 3, 07:00 am",1,7.2,0,0,0,0,0,-2.03195,116.313,0,0,0,0,0,0,0
"Jan 3, 08:00 am",0,7.5,4,0,4,180,20,8.00941,125.331,0.000627157,27.7702,32.111,30,0.0444429,10.8394,0.0284823
"Jan 3, 09:00 am",0,7.6,11,0,11,180,20,17.24,135.831,0.00211576,29.1621,33.5839,30,0.121939,13.2779,0.0807881
"Jan 3, 10:00 am",0,7.4,87,0,87,180,20,24.7554,148.258,0.0185409,31.7244,36.4089,31.7244,0.992473,14.5584,0.642629
"Jan 3, 11:00 am",1,7,160,1,161,180,20,29.8372,162.734,0.0357113,32.1722,37.0367,32.1722,2.96837,14.6915,1.22082
"Jan 3, 12:00 pm",1,6.7,244,167,332,180,20,31.8221,178.675,0.0931026,32.5674,37.9447,32.5674,6.18255,15.0303,3.14686
"Jan 3, 01:00 pm",2,6.5,225,84,268,180,20,30.3937,194.744,0.0695053,32.376,37.5555,32.376,5.98371,14.8975,2.36277
"Jan 3, 02:00 pm",3,6.4,177,42,196,180,20,25.7833,209.526,0.0488953,32.0739,37.0754,32.0739,5.85581,14.7791,1.67767
"Jan 3, 03:00 pm",2,6.2,125,31,135,180,20,18.6197,222.301,0.0337317,31.9574,36.8104,31.9574,4.01752,14.7547,1.16117
"Jan 3, 04:00 pm",1,5.4,59,10,60,180,20,9.62348,233.098,0.0136458,31.2175,35.8513,31.2175,1.93275,14.0877,0.48081
"Jan 3, 05:00 pm",0,4.5,0,0,0,0,0,-0.232476,242.331,0,0,0,0,0,0,0
"Jan 3, 06:00 pm",-1,4.2,0,0,0,0,0,-11.4218,250.516,0,0,0,0,0,0,0
"Jan 3, 07:00 pm",-2,4.2,0,0,0,0,0,-23.1746,258.186,0,0,0,0,0,0,0
"Jan 3, 08:00 pm",-2,4.1,0,0,0,0,0,-35.2607,265.954,0,0,0,0,0,0,0
"Jan 3, 09:00 pm",-3,4,0,0,0,0,0,-47.4621,274.757,0,0,0,0,0,0,0
"Jan 3, 10:00 pm",-3,3.9,0,0,0,0,0,-59.4578,286.624,0,0,0,0,0,0,0
"Jan 3, 11:00 pm",-3,3.8,0,0,0,0,0,-70.3869,307.634,0,0,0,0,0,0,0
"Jan 4, 12:00 am",-3,4,0,0,0,0,0,-76.6329,354.674,0,0,0,0,0,0,0
"Jan 4, 01:00 am",-4,4.1,0,0,0,0,0,-71.9662,46.7713,0,0,0,0,0,0,0
"Jan 4, 02:00 am",-4,4,0,0,0,0,0,-61.4288,70.7035,0,0,0,0,0,0,0
"Jan 4, 03:00 am",-4,4,0,0,0,0,0,-49.5214,83.4887,0,0,0,0,0,0,0
"Jan 4, 04:00 am",-5,4,0,0,0,0,0,-37.3224,92.6153,0,0,0,0,0,0,0
"Jan 4, 05:00 am",-5,3.9,0,0,0,0,0,-25.1951,100.474,0,0,0,0,0,0,0
