"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-9,3.2,0,0,0,0,0,-71.219,2.2291,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-9,3.3,0,0,0,0,0,-66.9454,40.7671,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-10,3.4,0,0,0,0,0,-57.938,64.2131,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-10,3.6,0,0,0,0,0,-47.2418,78.8978,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-10,3.8,0,0,0,0,0,-36.0337,89.8199,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-10,3.9,0,0,0,0,0,-24.8065,99.2022,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-10,4,0,0,0,0,0,-13.8615,108.152,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-9,4.4,0,0,0,0,0,-3.47064,117.358,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-7,5,27,510,76,180,20,5.64113,127.352,0.037299,33.2529,38.085,33.2529,-4.10484,12.5234,1.23185
"Jan 1, 09:00 am",-5,5.3,50,758,230,180,20,13.8114,138.574,0.0990776,33.2908,38.6758,33.2908,1.42437,15.0353,3.2729
"Jan 1, 10:00 am",-2,5.3,63,858,360,180,20,20.2772,151.317,0.14269,32.6398,38.427,32.6398,7.16867,15.2751,4.81542
"Jan 1, 11:00 am",0,5.7,70,904,443,180,20,24.4268,165.547,0.168148,32.2173,38.2423,32.2173,10.3741,15.1936,5.75494
"Jan 1, 12:00 pm",0,5.7,76,906,470,180,20,25.7809,180.713,0.17562,32.1529,38.244,32.1529,10.8495,15.1759,6.02386
"Jan 1, 01:00 pm",0,5,71,898,438,180,20,24.1597,195.832,0.165715,32.1032,38.1165,32.1032,11.1657,15.1375,5.69286
"Jan 1, 02:00 pm",1,4.1,61,854,350,180,20,19.777,209.942,0.136738,32.0103,37.7902,32.0103,11.4867,14.9751,4.70991
"Jan 1, 03:00 pm",0,3.2,50,733,215,180,20,13.1297,222.544,0.0905094,32.2656,37.6375,32.2656,8.15267,14.5059,3.08911
"Jan 1, 04:00 pm",-1,2.7,24,463,62,180,20,4.84293,233.643,0.0286438,32.007,36.8025,32.007,2.45102,11.1159,0.984172
"Jan 1, 05:00 pm",-2,2.7,0,0,0,0,0,-4.38326,243.55,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",-3,2.8,0,0,0,0,0,-14.8356,252.717,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",-4,2.7,0,0,0,0,0,-25.8157,261.684,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",-5,2.6,0,0,0,0,0,-37.0518,271.166,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",-6,2.5,0,0,0,0,0,-48.2327,282.336,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-7,2.5,0,0,0,0,0,-58.8291,297.588,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-8,2.5,0,0,0,0,0,-67.5454,322.25,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-8,2.5,0,0,0,0,0,-71.1399,1.87491,0,0,0,0,0,0,0
