"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",15,1.1,0,0,0,0,0,-83.8967,2.25629,0,0,0,0,0,0,0
"Jan 1, 01:00 am",14,1.1,0,0,0,0,0,-74.6599,71.4541,0,0,0,0,0,0,0
"Jan 1, 02:00 am",14,1.1,0,0,0,0,0,-61.7346,85.4521,0,0,0,0,0,0,0
"Jan 1, 03:00 am",14,1.1,0,0,0,0,0,-48.5693,92.916,0,0,0,0,0,0,0
"Jan 1, 04:00 am",14,1.1,0,0,0,0,0,-35.4706,98.8586,0,0,0,0,0,0,0
"Jan 1, 05:00 am",14,1.1,0,0,0,0,0,-22.5736,104.527,0,0,0,0,0,0,0
"Jan 1, 06:00 am",14,1.1,0,0,0,0,0,-10.0115,110.511,0,0,0,0,0,0,0
"Jan 1, 07:00 am",15,1.5,13,131,16,180,20,1.8195,117.276,0.00297623,27.4174,31.9364,30,15.8321,5.25078,0.145206
"Jan 1, 08:00 am",18,2.2,51,613,186,180,20,12.8101,125.323,0.0626485,29.4895,34.7401,30,25.5205,12.9355,2.35755
"Jan 1, 09:00 am",20,2.7,141,376,286,180,20,22.8463,135.256,0.0812958,29.2819,34.7266,30,28.5775,13.568,3.09451
"Jan 1, 10:00 am",21,2.9,190,442,419,180,20,31.0692,147.703,0.112502,28.9284,34.6951,30,32.669,13.3397,4.38086
"Jan 1, 11:00 am",22,3,228,455,500,180,20,36.598,162.949,0.128478,28.6064,34.5559,30,35.4416,12.996,5.1276
"Jan 1, 12:00 pm",23,3.2,244,451,525,180,20,38.5443,180.209,0.132394,28.459,34.4638,30,36.5815,12.8186,5.35112
"Jan 1, 01:00 pm",22,3.2,270,268,430,180,20,36.5123,197.445,0.106672,28.9058,34.6199,30,32.6173,13.1991,4.1601
"Jan 1, 02:00 pm",21,3,217,310,376,180,20,30.9139,212.634,0.0974134,29.0941,34.7047,30,30.8602,13.4298,3.75116
"Jan 1, 03:00 pm",20,2.5,118,0,118,180,20,22.6421,225.023,0.0230825,28.8356,33.6805,30,22.621,13.0511,0.904229
"Jan 1, 04:00 pm",19,2.1,81,40,90,180,20,12.574,234.91,0.0199116,28.8236,33.626,30,21.4715,12.8511,0.780728
"Jan 1, 05:00 pm",18,1.9,6,0,6,180,20,1.58763,242.928,0,24.7453,29.1113,30,18.1316,0,0.028731
"Jan 1, 06:00 pm",17,1.7,0,0,0,0,0,-10.2851,249.678,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",17,1.6,0,0,0,0,0,-22.857,255.661,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",17,1.6,0,0,0,0,0,-35.7605,261.344,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",17,1.6,0,0,0,0,0,-48.8619,267.332,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",16,1.6,0,0,0,0,0,-62.024,274.917,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",16,1.6,0,0,0,0,0,-74.9214,289.39,0,0,0,0,0,0,0
"Jan 2, 12:00 am",15,1.7,0,0,0,0,0,-83.8127,1.12301,0,0,0,0,0,0,0
"Jan 2, 01:00 am",15,1.7,0,0,0,0,0,-74.7198,70.9622,0,0,0,0,0,0,0
"Jan 2, 02:00 am",14,1.6,0,0,0,0,0,-61.81,85.2005,0,0,0,0,0,0,0
"Jan 2, 03:00 am",14,1.5,0,0,0,0,0,-48.6452,92.7376,0,0,0,0,0,0,0
"Jan 2, 04:00 am",14,1.3,0,0,0,0,0,-35.5427,98.7111,0,0,0,0,0,0,0
"Jan 2, 05:00 am",14,1.3,0,0,0,0,0,-22.639,104.393,0,0,0,0,0,0,0
"Jan 2, 06:00 am",14,1.3,0,0,0,0,0,-10.0677,110.381,0,0,0,0,0,0,0
"Jan 2, 07:00 am",16,1.9,13,92,15,180,20,1.77994,117.143,0.00215513,27.0209,31.522,30,16.6197,4.75104,0.119883
"Jan 2, 08:00 am",19,2.8,55,576,182,180,20,12.7827,125.183,0.0604207,29.4587,34.689,30,25.5005,12.9267,2.27705
"Jan 2, 09:00 am",20,3.5,74,761,369,180,20,22.8406,135.104,0.11325,29.2376,34.9866,30,30.4627,13.5795,4.32421
"Jan 2, 10:00 am",21,3.7,89,833,519,180,20,31.0919,147.542,0.148056,28.7728,34.8866,30,34.5597,13.3092,5.83119
"Jan 2, 11:00 am",22,3.6,96,869,615,180,20,36.6547,162.789,0.165126,28.3169,34.6519,30,37.9362,12.8221,6.75677
"Jan 2, 12:00 pm",22,3.6,97,883,648,180,20,38.6354,180.073,0.17031,28.2283,34.6266,30,38.5773,12.7121,7.02772
"Jan 2, 01:00 pm",22,3.6,93,875,616,180,20,36.6302,197.35,0.165324,28.3141,34.6513,30,37.9571,12.8211,6.76667
