"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",0,0.5,0,0,0,0,0,-71.6179,19.7921,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,0.5,0,0,0,0,0,-64.6123,53.3222,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,0.6,0,0,0,0,0,-54.3672,72.1484,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-1,0.6,0,0,0,0,0,-43.1193,84.5174,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-1,0.7,0,0,0,0,0,-31.6397,94.2735,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-1,0.7,0,0,0,0,0,-20.2893,103.069,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-2,0.8,0,0,0,0,0,-9.33199,111.783,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-1,1,0,0,0,180,20,0.882389,121.02,0,0,0,0,0,0,0
"Jan 1, 08:00 am",0,1.3,59,4,59,180,20,9.7697,131.282,0.0132461,31.2038,35.8328,31.2038,1.77935,14.1027,0.466915
"Jan 1, 09:00 am",1,1.4,85,0,85,180,20,17.5572,142.986,0.0184251,31.3658,36.0608,31.3658,3.36526,14.4751,0.646278
"Jan 1, 10:00 am",2,1.6,155,308,278,180,20,23.3621,156.35,0.0877715,31.6124,36.9957,31.6124,12.5692,14.7841,3.06074
"Jan 1, 11:00 am",3,1.7,177,336,328,180,20,26.5855,171.157,0.101846,31.3529,36.8744,31.3529,15.0844,14.6837,3.58361
"Jan 1, 12:00 pm",4,1.8,196,64,225,180,20,26.8137,186.608,0.057679,31.527,36.6386,31.527,10.7311,14.5806,2.01562
"Jan 1, 01:00 pm",3,1.7,169,60,194,180,20,24.0146,201.575,0.0498581,31.6498,36.6801,31.6498,8.91458,14.6573,1.73481
"Jan 1, 02:00 pm",2,1.3,131,102,163,180,20,18.5558,215.181,0.04646,31.7097,36.7037,31.7097,8.01896,14.6886,1.6132
"Jan 1, 03:00 pm",1,1.1,71,48,80,180,20,11.0214,227.127,0.0209042,31.4295,36.1557,31.4295,3.93014,14.1766,0.731771
"Jan 1, 04:00 pm",0,1.3,9,0,9,180,20,2.1543,237.583,0.00102628,28.2848,32.6562,30,0.2252,7.68315,0.0426349
"Jan 1, 05:00 pm",0,1.8,0,0,0,0,0,-7.76022,246.947,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",0,2.5,0,0,0,0,0,-18.6364,255.713,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",0,3.1,0,0,0,0,0,-29.9428,264.463,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",0,3.4,0,0,0,0,0,-41.4182,274.02,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",0,3.6,0,0,0,0,0,-52.7251,285.87,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",-1,3.5,0,0,0,0,0,-63.1875,303.383,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",-1,3.3,0,0,0,0,0,-70.8916,334.193,0,0,0,0,0,0,0
"Jan 2, 12:00 am",-1,3.2,0,0,0,0,0,-71.566,19.3755,0,0,0,0,0,0,0
"Jan 2, 01:00 am",-2,3.2,0,0,0,0,0,-64.6204,52.994,0,0,0,0,0,0,0
"Jan 2, 02:00 am",-2,3.3,0,0,0,0,0,-54.4001,71.9148,0,0,0,0,0,0,0
"Jan 2, 03:00 am",-2,3.5,0,0,0,0,0,-43.1604,84.3347,0,0,0,0,0,0,0
"Jan 2, 04:00 am",-2,3.6,0,0,0,0,0,-31.6809,94.1172,0,0,0,0,0,0,0
"Jan 2, 05:00 am",-3,3.7,0,0,0,0,0,-20.3259,102.926,0,0,0,0,0,0,0
"Jan 2, 06:00 am",-3,3.8,0,0,0,0,0,-9.35995,111.645,0,0,0,0,0,0,0
"Jan 2, 07:00 am",-3,4.1,0,0,0,180,20,0.869551,120.882,0,0,0,0,0,0,0
"Jan 2, 08:00 am",-3,4.7,63,35,69,180,20,9.77088,131.141,0.0179574,32.0856,36.7481,32.0856,-1.68658,14.3481,0.615054
"Jan 2, 09:00 am",-2,5.1,124,65,144,180,20,17.5795,142.842,0.0390446,32.6108,37.4904,32.6108,0.602632,15.0518,1.31612
"Jan 2, 10:00 am",-2,5.3,172,75,202,180,20,23.4095,156.207,0.0547846,32.8079,37.8312,32.8079,1.53462,15.1803,1.83594
"Jan 2, 11:00 am",-2,5.4,172,372,339,180,20,26.6597,171.025,0.111301,32.8415,38.3557,32.8415,5.02667,15.3586,3.73026
"Jan 2, 12:00 pm",-2,5.4,190,276,315,180,20,26.9126,186.497,0.100092,32.8797,38.2979,32.8797,4.32841,15.3261,3.34978
"Jan 2, 01:00 pm",-2,5.4,179,237,276,180,20,24.1325,201.492,0.0874474,32.9056,38.2148,32.9056,3.53011,15.3194,2.92356
