"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",2,0.5,0,0,0,0,0,-66.7137,9.53723,0,0,0,0,0,0,0
"Jan 1, 01:00 am",2,0.5,0,0,0,0,0,-62.1674,40.792,0,0,0,0,0,0,0
"Jan 1, 02:00 am",2,0.5,0,0,0,0,0,-53.9081,62.2555,0,0,0,0,0,0,0
"Jan 1, 03:00 am",2,0.6,0,0,0,0,0,-44.0545,77.2518,0,0,0,0,0,0,0
"Jan 1, 04:00 am",2,0.8,0,0,0,0,0,-33.6375,89.0127,0,0,0,0,0,0,0
"Jan 1, 05:00 am",2,1.1,0,0,0,0,0,-23.1735,99.3177,0,0,0,0,0,0,0
"Jan 1, 06:00 am",2,1.1,0,0,0,0,0,-13.0024,109.172,0,0,0,0,0,0,0
"Jan 1, 07:00 am",2,1.1,0,0,0,0,0,-3.42814,119.235,0,0,0,0,0,0,0
"Jan 1, 08:00 am",2,1.2,21,0,21,180,20,4.825,129.998,0.00343514,29.3944,33.8674,30,2.57124,11.2716,0.12939
"Jan 1, 09:00 am",3,1.2,79,77,95,180,20,12.039,141.831,0.0279793,31.3423,36.1557,31.3423,6.81128,14.2574,0.982742
"Jan 1, 10:00 am",3,1.2,122,105,154,180,20,17.5322,154.914,0.0453362,31.5369,36.5274,31.5369,9.04051,14.6305,1.58318
"Jan 1, 11:00 am",5,1.3,141,252,231,180,20,20.7765,169.111,0.0749269,31.1741,36.4634,31.1741,14.7905,14.5879,2.65086
"Jan 1, 12:00 pm",6,1.3,150,224,231,180,20,21.4217,183.884,0.0736361,31.0338,36.3185,31.0338,15.667,14.5185,2.61747
"Jan 1, 01:00 pm",7,1.3,137,201,204,180,20,19.3916,198.447,0.0626421,30.952,36.1371,30.952,15.2599,14.4487,2.23224
"Jan 1, 02:00 pm",6,1.2,96,240,158,180,20,14.9181,212.106,0.0536279,31.0908,36.1826,31.0908,13.2828,14.3346,1.90153
"Jan 1, 03:00 pm",5,1.2,51,190,79,180,20,8.44926,224.533,0.0285165,31.0309,35.8625,31.0309,9.0835,13.4234,1.01219
"Jan 1, 04:00 pm",4,1.2,0,0,0,180,20,0.79048,235.774,0,0,0,0,0,0,0
"Jan 1, 05:00 pm",4,1.1,0,0,0,0,0,-8.32628,246.123,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",4,0.8,0,0,0,0,0,-18.249,256.016,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",4,0.5,0,0,0,0,0,-28.6082,266.018,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",3,0.5,0,0,0,0,0,-39.0917,276.938,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",3,0.5,0,0,0,0,0,-49.2915,290.112,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",3,0.5,0,0,0,0,0,-58.4819,307.999,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",3,0.5,0,0,0,0,0,-65.1218,334.442,0,0,0,0,0,0,0
"Jan 2, 12:00 am",3,0.5,0,0,0,0,0,-66.6451,9.23226,0,0,0,0,0,0,0
"Jan 2, 01:00 am",2,0.5,0,0,0,0,0,-62.1491,40.4966,0,0,0,0,0,0,0
"Jan 2, 02:00 am",2,0.6,0,0,0,0,0,-53.9194,62.0209,0,0,0,0,0,0,0
"Jan 2, 03:00 am",2,0.5,0,0,0,0,0,-44.0788,77.0624,0,0,0,0,0,0,0
"Jan 2, 04:00 am",1,0.4,0,0,0,0,0,-33.6654,88.8504,0,0,0,0,0,0,0
"Jan 2, 05:00 am",1,0.4,0,0,0,0,0,-23.1992,99.1704,0,0,0,0,0,0,0
"Jan 2, 06:00 am",1,0.4,0,0,0,0,0,-13.0215,109.032,0,0,0,0,0,0,0
"Jan 2, 07:00 am",1,0.4,0,0,0,0,0,-3.43656,119.097,0,0,0,0,0,0,0
"Jan 2, 08:00 am",3,0.4,12,0,12,180,20,4.83096,129.86,0.0018283,28.5031,32.928,30,3.40394,10.5177,0.0739039
"Jan 2, 09:00 am",6,0.7,78,174,114,180,20,12.0634,141.692,0.0382359,30.9272,35.8698,30.9272,12.0185,14.0196,1.36255
"Jan 2, 10:00 am",8,1.1,54,0,54,180,20,17.5784,154.778,0.0107881,29.7872,34.42,30,9.56568,13.754,0.399416
"Jan 2, 11:00 am",9,1.5,8,0,8,180,20,20.8461,168.983,0.00113279,27.2378,31.6578,30,9.2105,9.77274,0.0589661
"Jan 2, 12:00 pm",10,1.9,14,0,14,180,20,21.5134,183.773,0.00231596,27.8294,32.3019,30,10.338,11.4128,0.10324
"Jan 2, 01:00 pm",10,2.1,118,3,120,180,20,19.5016,198.358,0.0260435,30.3586,35.1865,30.3586,12.9672,14.0451,0.945808
"Jan 2, 02:00 pm",10,2.2,30,0,30,180,20,15.0409,212.04,0.00564669,28.8206,33.3755,30,10.6825,12.9784,0.221335
"Jan 2, 03:00 pm",10,2.1,16,0,16,180,20,8.57929,224.488,0.00264632,27.9719,32.4558,30,10.3689,11.417,0.114942
"Jan 2, 04:00 pm",9,1.8,0,0,0,180,20,0.902644,235.746,0,0,0,0,0,0,0
