"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",2,4,0,0,0,0,0,-71.6724,359.204,0,0,0,0,0,0,0
"Jan 1, 01:00 am",1,3.4,0,0,0,0,0,-67.7778,39.3536,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,2.6,0,0,0,0,0,-58.8163,63.6445,0,0,0,0,0,0,0
"Jan 1, 03:00 am",0,2,0,0,0,0,0,-48.0695,78.5416,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,1.7,0,0,0,0,0,-36.7861,89.4698,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-1,1.5,0,0,0,0,0,-25.4708,98.7851,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-2,1.3,0,0,0,0,0,-14.424,107.634,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-2,1.2,0,0,0,0,0,-3.91322,116.719,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-1,1.1,23,537,72,180,20,5.34954,126.578,0.0360075,31.9315,36.8098,31.9315,4.6723,12.1492,1.24066
"Jan 1, 09:00 am",1,1.1,40,796,227,180,20,13.6865,137.665,0.0935289,31.4431,36.8868,31.4431,14.0617,14.2339,3.28038
"Jan 1, 10:00 am",2,1.2,49,895,360,180,20,20.3549,150.296,0.134461,30.7623,36.6032,30.7623,20.2184,14.4108,4.83022
"Jan 1, 11:00 am",3,1.4,60,917,443,180,20,24.7278,164.472,0.156917,30.3481,36.4111,30.3481,23.4515,14.3082,5.72073
"Jan 1, 12:00 pm",4,1.2,61,928,472,180,20,26.3008,179.669,0.16291,29.9152,36.0596,30,26.5579,14.1203,6.03187
"Jan 1, 01:00 pm",4,1.2,178,294,301,180,20,24.8628,194.891,0.0924133,31.0955,36.5476,31.0955,16.4439,14.4848,3.27947
"Jan 1, 02:00 pm",4,1.2,114,482,283,180,20,20.6076,209.13,0.0977717,31.03,36.5336,31.03,17.168,14.4883,3.47775
"Jan 1, 03:00 pm",2,1.4,93,38,102,180,20,14.0305,221.837,0.0262615,31.4812,36.2708,31.4812,5.36604,14.4878,0.918013
"Jan 1, 04:00 pm",0,1.8,35,70,42,180,20,5.75296,232.991,0.0126632,31.1734,35.7935,31.1734,1.62113,13.0234,0.446809
"Jan 1, 05:00 pm",0,2.2,0,0,0,0,0,-3.45293,242.902,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",-1,2.4,0,0,0,0,0,-13.9319,252.019,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",0,2.3,0,0,0,0,0,-24.9587,260.875,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",0,2.3,0,0,0,0,0,-36.2648,270.166,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",0,2.3,0,0,0,0,0,-47.552,281.008,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",0,2.3,0,0,0,0,0,-58.3289,295.679,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",0,2.2,0,0,0,0,0,-67.397,319.403,0,0,0,0,0,0,0
"Jan 2, 12:00 am",0,2,0,0,0,0,0,-71.5851,358.854,0,0,0,0,0,0,0
"Jan 2, 01:00 am",1,2.2,0,0,0,0,0,-67.7603,38.9823,0,0,0,0,0,0,0
"Jan 2, 02:00 am",1,2.6,0,0,0,0,0,-58.8373,63.3759,0,0,0,0,0,0,0
"Jan 2, 03:00 am",2,2.9,0,0,0,0,0,-48.105,78.339,0,0,0,0,0,0,0
"Jan 2, 04:00 am",1,2.8,0,0,0,0,0,-36.8253,89.3023,0,0,0,0,0,0,0
"Jan 2, 05:00 am",1,2.7,0,0,0,0,0,-25.5075,98.636,0,0,0,0,0,0,0
"Jan 2, 06:00 am",1,2.7,0,0,0,0,0,-14.454,107.493,0,0,0,0,0,0,0
"Jan 2, 07:00 am",2,2.9,0,0,0,0,0,-3.93265,116.581,0,0,0,0,0,0,0
"Jan 2, 08:00 am",2,3,15,0,15,180,20,5.34484,126.438,0.00270675,29.1402,33.5912,30,2.29141,12.4515,0.103522
"Jan 2, 09:00 am",3,3,93,67,109,180,20,13.7006,137.522,0.0293096,31.5506,36.3707,31.5506,5.74489,14.4807,1.0224
"Jan 2, 10:00 am",3,3,60,0,60,180,20,20.3922,150.152,0.0123349,30.7575,35.3869,30.7575,4.1829,14.1494,0.441375
"Jan 2, 11:00 am",3,2.8,77,0,77,180,20,24.7911,164.334,0.0158894,31.0085,35.6828,31.0085,4.57059,14.191,0.563936
"Jan 2, 12:00 pm",4,2.5,21,0,21,180,20,26.3898,179.548,0.0040468,29.3178,33.8135,30,4.45071,13.2835,0.153121
"Jan 2, 01:00 pm",4,2.4,23,0,23,180,20,24.9733,194.796,0.00446871,29.4341,33.9393,30,4.50303,13.3937,0.16801
"Jan 2, 02:00 pm",4,2.3,120,1,121,180,20,20.733,209.063,0.0265522,31.279,36.0782,31.279,6.8362,14.3994,0.934518
"Jan 2, 03:00 pm",4,2.2,52,0,52,180,20,14.1646,221.795,0.0106031,30.4206,35.0315,30.4206,5.18519,14.0361,0.383749
"Jan 2, 04:00 pm",4,2.2,34,13,36,180,20,5.88898,232.97,0.00812172,30.1191,34.6929,30.1191,4.96298,13.0713,0.296918
"Jan 2, 05:00 pm",5,2.4,0,0,0,0,0,-3.31228,242.896,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",5,3,0,0,0,0,0,-13.791,252.024,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",5,3.5,0,0,0,0,0,-24.8181,260.889,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",4,3.9,0,0,0,0,0,-36.1242,270.184,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",4,4.1,0,0,0,0,0,-47.411,281.025,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",4,3.7,0,0,0,0,0,-58.1873,295.673,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",4,3.3,0,0,0,0,0,-67.2611,319.296,0,0,0,0,0,0,0
"Jan 3, 12:00 am",3,3.3,0,0,0,0,0,-71.4896,358.513,0,0,0,0,0,0,0
"Jan 3, 01:00 am",3,3.3,0,0,0,0,0,-67.7349,38.604,0,0,0,0,0,0,0
"Jan 3, 02:00 am",3,3.1,0,0,0,0,0,-58.8516,63.0977,0,0,0,0,0,0,0
"Jan 3, 03:00 am",3,2.7,0,0,0,0,0,-48.1348,78.128,0,0,0,0,0,0,0
"Jan 3, 04:00 am",3,2.2,0,0,0,0,0,-36.8589,89.1279,0,0,0,0,0,0,0
"Jan 3, 05:00 am",2,1.9,0,0,0,0,0,-25.5387,98.4809,0,0,0,0,0,0,0
"Jan 3, 06:00 am",2,1.8,0,0,0,0,0,-14.4783,107.347,0,0,0,0,0,0,0
"Jan 3, 07:00 am",1,1.5,0,0,0,0,0,-3.94607,116.438,0,0,0,0,0,0,0
"Jan 3, 08:00 am",1,1.3,28,0,28,180,20,5.3464,126.295,0.00550754,30.1104,34.6244,30.1104,1.79396,13.0267,0.201315
"Jan 3, 09:00 am",2,1.4,80,357,164,180,20,13.7215,137.376,0.0601574,31.7113,36.8379,31.7113,9.72087,14.4353,2.08954
"Jan 3, 10:00 am",3,1.4,53,872,357,180,20,20.4367,150.007,0.132546,30.7689,36.5931,30.7689,20.1301,14.4115,4.76011
"Jan 3, 11:00 am",3,1.2,67,891,442,180,20,24.8618,164.197,0.154504,30.2407,36.2899,30.2407,24.1886,14.2535,5.65384
"Jan 3, 12:00 pm",3,1,70,910,475,180,20,26.4861,179.429,0.162718,29.8941,36.0389,30,26.7019,14.1026,6.02942
"Jan 3, 01:00 pm",4,0.9,70,892,448,180,20,25.0907,194.704,0.155149,29.8052,35.8889,30,27.276,14.0466,5.76833
"Jan 3, 02:00 pm",4,0.8,116,475,285,180,20,20.8648,209.001,0.0971187,30.8263,36.3353,30.8263,18.5689,14.3987,3.47862
"Jan 3, 03:00 pm",3,0.7,54,726,232,180,20,14.3042,221.759,0.0915429,30.9625,36.4134,30.9625,17.3351,14.104,3.26333
"Jan 3, 04:00 pm",2,0.9,31,464,79,180,20,6.02985,232.955,0.0363906,31.4686,36.3702,31.4686,7.92469,12.4903,1.27324
"Jan 3, 05:00 pm",0,1.2,0,0,0,0,0,-3.16743,242.896,0,0,0,0,0,0,0
"Jan 3, 06:00 pm",0,1.4,0,0,0,0,0,-13.6464,252.036,0,0,0,0,0,0,0
"Jan 3, 07:00 pm",0,1.3,0,0,0,0,0,-24.6741,260.91,0,0,0,0,0,0,0
"Jan 3, 08:00 pm",0,1.3,0,0,0,0,0,-35.9805,270.211,0,0,0,0,0,0,0
"Jan 3, 09:00 pm",0,1.2,0,0,0,0,0,-47.2666,281.052,0,0,0,0,0,0,0
"Jan 3, 10:00 pm",0,1.1,0,0,0,0,0,-58.0416,295.679,0,0,0,0,0,0,0
"Jan 3, 11:00 pm",0,1.1,0,0,0,0,0,-67.1195,319.203,0,0,0,0,0,0,0
"Jan 4, 12:00 am",0,1,0,0,0,0,0,-71.386,358.179,0,0,0,0,0,0,0
"Jan 4, 01:00 am",1,0.9,0,0,0,0,0,-67.7015,38.2193,0,0,0,0,0,0,0
"Jan 4, 02:00 am",1,0.8,0,0,0,0,0,-58.8594,62.8104,0,0,0,0,0,0,0
"Jan 4, 03:00 am",1,0.7,0,0,0,0,0,-48.1586,77.9088,0,0,0,0,0,0,0
"Jan 4, 04:00 am",1,0.7,0,0,0,0,0,-36.8869,88.9464,0,0,0,0,0,0,0
"Jan 4, 05:00 am",1,0.7,0,0,0,0,0,-25.5643,98.3197,0,0,0,0,0,0,0
"Jan 4, 06:00 am",0,0.8,0,0,0,0,0,-14.4969,107.196,0,0,0,0,0,0,0
