"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",11,3,0,0,0,0,0,-76.6283,43.2962,0,0,0,0,0,0,0
"Jan 1, 01:00 am",11,2.8,0,0,0,0,0,-65.7878,72.0763,0,0,0,0,0,0,0
"Jan 1, 02:00 am",11,2.8,0,0,0,0,0,-53.4302,84.6612,0,0,0,0,0,0,0
"Jan 1, 03:00 am",11,2.8,0,0,0,0,0,-40.8275,93.0721,0,0,0,0,0,0,0
"Jan 1, 04:00 am",11,2.6,0,0,0,0,0,-28.3055,100.181,0,0,0,0,0,0,0
"Jan 1, 05:00 am",11,2.4,0,0,0,0,0,-16.0515,107.069,0,0,0,0,0,0,0
"Jan 1, 06:00 am",11,2.6,0,0,0,0,0,-4.25458,114.36,0,0,0,0,0,0,0
"Jan 1, 07:00 am",11,3.3,41,284,72,180,20,6.4101,122.575,0.0255819,30.2351,35.0607,30.2351,13.6751,11.9541,0.933043
"Jan 1, 08:00 am",12,3.9,26,0,26,180,20,16.3602,132.248,0.00467199,28.3473,32.8898,30,12.4445,12.3933,0.19214
"Jan 1, 09:00 am",12,4.1,44,0,44,180,20,24.7878,143.913,0.00840336,29.015,33.6265,30,12.7313,13.1535,0.324521
"Jan 1, 10:00 am",12,4.3,228,240,351,180,20,30.9399,157.892,0.0949457,30.6909,36.1877,30.6909,19.4143,14.2793,3.4165
"Jan 1, 11:00 am",13,4.3,135,0,135,180,20,34.0369,173.844,0.0274925,30.0925,34.9461,30.0925,15.2237,13.7362,1.00783
"Jan 1, 12:00 pm",13,4.2,127,0,127,180,20,33.5654,190.45,0.0257497,30.0318,34.867,30.0318,15.1154,13.7147,0.945848
"Jan 1, 01:00 pm",12,4.1,187,19,196,180,20,29.6099,205.98,0.0431812,30.5504,35.5599,30.5504,15.5171,14.0477,1.55911
"Jan 1, 02:00 pm",12,3.8,96,0,96,180,20,22.7919,219.358,0.0195919,29.9136,34.6749,30,13.6974,13.8062,0.722418
"Jan 1, 03:00 pm",11,3.2,86,6,87,180,20,13.8999,230.464,0.018793,29.9977,34.7445,30,12.7858,13.811,0.690823
"Jan 1, 04:00 pm",11,2.7,22,1,22,180,20,3.7009,239.711,0.00234766,27.7055,32.1846,30,11.425,6.99062,0.107245
"Jan 1, 05:00 pm",11,2.7,0,0,0,0,0,-7.25432,247.642,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",11,3,0,0,0,0,0,-19.1903,254.786,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",11,3.5,0,0,0,0,0,-31.5303,261.676,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",11,4,0,0,0,0,0,-44.0916,269.007,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",11,4.4,0,0,0,0,0,-56.6701,278.122,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",11,4.7,0,0,0,0,0,-68.8337,293.033,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",11,5.1,0,0,0,0,0,-78.4974,331.744,0,0,0,0,0,0,0
"Jan 2, 12:00 am",11,5.5,0,0,0,0,0,-76.6318,42.6822,0,0,0,0,0,0,0
"Jan 2, 01:00 am",11,5.9,0,0,0,0,0,-65.8413,71.7634,0,0,0,0,0,0,0
"Jan 2, 02:00 am",11,6.1,0,0,0,0,0,-53.4946,84.4564,0,0,0,0,0,0,0
"Jan 2, 03:00 am",11,6,0,0,0,0,0,-40.8926,92.9119,0,0,0,0,0,0,0
"Jan 2, 04:00 am",11,5.7,0,0,0,0,0,-28.3667,100.042,0,0,0,0,0,0,0
"Jan 2, 05:00 am",11,5.4,0,0,0,0,0,-16.1056,106.938,0,0,0,0,0,0,0
"Jan 2, 06:00 am",11,5.2,0,0,0,0,0,-4.29838,114.23,0,0,0,0,0,0,0
"Jan 2, 07:00 am",11,5.5,33,432,81,180,20,6.38088,122.44,0.0312709,30.4994,35.3824,30.4994,13.4414,11.7706,1.13046
"Jan 2, 08:00 am",12,5.8,59,724,262,180,20,16.3492,132.105,0.0928315,30.8675,36.3359,30.8675,18.0659,14.0837,3.32006
"Jan 2, 09:00 am",13,5.8,170,283,289,180,20,24.8009,143.762,0.0833228,30.7463,36.1343,30.7463,18.3683,14.3453,2.99177
"Jan 2, 10:00 am",13,5.8,76,910,545,180,20,30.9826,157.739,0.171956,30.2638,36.4617,30.2638,24.1396,14.3036,6.28925
"Jan 2, 11:00 am",14,5.8,78,934,602,180,20,34.1113,173.704,0.185612,29.9818,36.3185,30,26.1387,14.1684,6.85818
"Jan 2, 12:00 pm",14,5.7,77,932,594,180,20,33.6679,190.339,0.183522,29.9824,36.3011,30,26.139,14.171,6.78067
"Jan 2, 01:00 pm",14,5.5,72,904,520,180,20,29.732,205.906,0.164827,30.1228,36.2685,30.1228,25.107,14.2391,6.05794
"Jan 2, 02:00 pm",13,5.2,65,836,390,180,20,22.9247,219.317,0.130995,30.4844,36.3134,30.4844,22.1003,14.299,4.75078
"Jan 2, 03:00 pm",12,4.2,51,692,218,180,20,14.0369,230.449,0.0786458,30.6934,36.0411,30.6934,18.4233,13.7391,2.82865
"Jan 2, 04:00 pm",11,2.9,22,324,42,180,20,3.83379,239.714,0.011975,29.4256,34.0898,30,12.9104,7.17283,0.450982
"Jan 2, 05:00 pm",10,2.3,0,0,0,0,0,-7.11642,247.659,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",10,2.3,0,0,0,0,0,-19.0539,254.815,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",10,2.2,0,0,0,0,0,-31.3952,261.715,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",10,2,0,0,0,0,0,-43.9572,269.058,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",10,1.7,0,0,0,0,0,-56.5349,278.185,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",11,1.2,0,0,0,0,0,-68.6951,293.08,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",11,0.6,0,0,0,0,0,-78.3702,331.44,0,0,0,0,0,0,0
"Jan 3, 12:00 am",10,0.5,0,0,0,0,0,-76.6273,42.0512,0,0,0,0,0,0,0
"Jan 3, 01:00 am",9,0.9,0,0,0,0,0,-65.8895,71.4344,0,0,0,0,0,0,0
"Jan 3, 02:00 am",9,1.2,0,0,0,0,0,-53.5545,84.2401,0,0,0,0,0,0,0
"Jan 3, 03:00 am",9,1.5,0,0,0,0,0,-40.9534,92.7428,0,0,0,0,0,0,0
"Jan 3, 04:00 am",9,1.9,0,0,0,0,0,-28.4234,99.8946,0,0,0,0,0,0,0
"Jan 3, 05:00 am",8,2.2,0,0,0,0,0,-16.1549,106.8,0,0,0,0,0,0,0
"Jan 3, 06:00 am",9,2.7,0,0,0,0,0,-4.33701,114.093,0,0,0,0,0,0,0
"Jan 3, 07:00 am",11,3.6,29,492,82,180,20,6.35723,122.3,0.032589,30.4188,35.319,30.4188,14.3196,11.6109,1.18151
"Jan 3, 08:00 am",14,4.5,49,767,264,180,20,16.3444,131.958,0.0933691,30.4154,35.9119,30.4154,21.2734,13.8754,3.39189
"Jan 3, 09:00 am",15,5,57,881,427,180,20,24.8209,143.608,0.139528,30.0928,36.0209,30.0928,25.0301,14.1776,5.13102
"Jan 3, 10:00 am",16,4.9,60,936,543,180,20,31.0325,157.584,0.168676,29.6549,35.8698,30,28.4305,14.019,6.31242
"Jan 3, 11:00 am",17,4.6,63,956,600,180,20,34.1931,173.564,0.18057,29.2842,35.6374,30,31.0809,13.7751,6.88345
"Jan 3, 12:00 pm",18,4.5,63,951,592,180,20,33.7774,190.23,0.176964,29.1413,35.4773,30,32.0915,13.6713,6.80096
"Jan 3, 01:00 pm",18,4.3,62,921,521,180,20,29.8604,205.836,0.159932,29.2887,35.4577,30,30.9824,13.7807,6.09349
"Jan 3, 02:00 pm",17,4.2,57,858,392,180,20,23.063,219.282,0.12816,29.7261,35.5756,30,27.4033,13.9527,4.77803
"Jan 3, 03:00 pm",16,3.7,45,724,222,180,20,14.1785,230.439,0.0788855,30.0338,35.4156,30.0338,23.0719,13.4603,2.90327
