"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",7,2.8,0,0,0,0,0,-74.2133,14.7993,0,0,0,0,0,0,0
"Jan 1, 01:00 am",7,2.7,0,0,0,0,0,-67.3265,53.4461,0,0,0,0,0,0,0
"Jan 1, 02:00 am",7,3,0,0,0,0,0,-56.7033,72.99,0,0,0,0,0,0,0
"Jan 1, 03:00 am",7,3.1,0,0,0,0,0,-45.0727,85.0436,0,0,0,0,0,0,0
"Jan 1, 04:00 am",7,3,0,0,0,0,0,-33.2305,94.3123,0,0,0,0,0,0,0
"Jan 1, 05:00 am",6,3,0,0,0,0,0,-21.5154,102.6,0,0,0,0,0,0,0
"Jan 1, 06:00 am",6,2.9,0,0,0,0,0,-10.1687,110.808,0,0,0,0,0,0,0
"Jan 1, 07:00 am",7,2.9,0,0,0,0,0,0.557337,119.548,0,0,0,0,0,0,0
"Jan 1, 08:00 am",8,3.3,51,502,136,180,20,9.86331,129.337,0.0531766,31.1129,36.2,31.1129,13.0668,13.3634,1.88404
"Jan 1, 09:00 am",8,3.6,70,724,296,180,20,18.2162,140.642,0.108566,31.0764,36.6728,31.0764,17.2921,14.4161,3.85647
"Jan 1, 10:00 am",9,3.9,80,823,423,180,20,24.6398,153.77,0.146401,30.6838,36.6329,30.6838,20.9705,14.4747,5.27453
"Jan 1, 11:00 am",10,4.1,84,868,497,180,20,28.4738,168.603,0.167044,30.3688,36.5173,30.3688,23.3778,14.3662,6.08662
"Jan 1, 12:00 pm",10,4.3,83,878,511,180,20,29.2086,184.346,0.17117,30.3785,36.5622,30.3785,23.3236,14.3734,6.23515
"Jan 1, 01:00 pm",10,4.4,84,835,459,180,20,26.7334,199.731,0.156365,30.5612,36.6043,30.5612,21.9449,14.4428,5.65837
"Jan 1, 02:00 pm",10,4.3,75,771,356,180,20,21.4038,213.684,0.126136,30.8022,36.5689,30.8022,19.7512,14.4477,4.52422
"Jan 1, 03:00 pm",9,3.8,59,634,210,180,20,13.8412,225.797,0.0798601,31.0827,36.4218,31.0827,15.7849,14.013,2.83449
"Jan 1, 04:00 pm",7,3,30,283,52,180,20,4.73679,236.224,0.0190488,30.5216,35.2555,30.5216,9.33486,10.2821,0.687575
"Jan 1, 05:00 pm",7,2.7,0,0,0,0,0,-5.21872,245.383,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",6,2.5,0,0,0,0,0,-16.3179,253.773,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",6,2.5,0,0,0,0,0,-27.8939,261.95,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",6,2.4,0,0,0,0,0,-39.7081,270.646,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",6,2.3,0,0,0,0,0,-51.4853,281.139,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",6,2.3,0,0,0,0,0,-62.7135,296.404,0,0,0,0,0,0,0
