"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",8,1.9,0,0,0,0,0,-74.544,17.1783,0,0,0,0,0,0,0
"Jan 1, 01:00 am",8,2.1,0,0,0,0,0,-67.2473,55.3424,0,0,0,0,0,0,0
"Jan 1, 02:00 am",7,2.2,0,0,0,0,0,-56.4238,74.2159,0,0,0,0,0,0,0
"Jan 1, 03:00 am",7,2.4,0,0,0,0,0,-44.6858,85.8969,0,0,0,0,0,0,0
"Jan 1, 04:00 am",7,3,0,0,0,0,0,-32.7735,94.947,0,0,0,0,0,0,0
"Jan 1, 05:00 am",8,3.6,0,0,0,0,0,-21.0067,103.096,0,0,0,0,0,0,0
"Jan 1, 06:00 am",8,4.3,0,0,0,0,0,-9.61977,111.216,0,0,0,0,0,0,0
"Jan 1, 07:00 am",10,5.4,0,0,0,180,20,1.03,119.906,0,0,0,0,0,0,0
"Jan 1, 08:00 am",11,6.1,3,0,3,180,20,10.4539,129.683,0,25.5464,29.8846,30,11.0386,0,0.0217895
"Jan 1, 09:00 am",12,6.4,18,0,18,180,20,18.8072,141.017,0.00301291,27.8748,32.3772,30,12.2253,11.5484,0.133023
"Jan 1, 10:00 am",12,6.6,42,0,42,180,20,25.1985,154.213,0.008,28.9852,33.5895,30,12.5151,13.1192,0.309597
"Jan 1, 11:00 am",12,6.4,36,0,36,180,20,28.9597,169.134,0.0067211,28.7816,33.3643,30,12.4507,12.8581,0.264337
"Jan 1, 12:00 pm",13,6.1,53,0,53,180,20,29.581,184.946,0.0101483,29.1099,33.7518,30,13.6859,13.1779,0.389394
"Jan 1, 01:00 pm",13,6.5,44,0,44,180,20,26.9673,200.342,0.0083073,28.8849,33.4985,30,13.5453,13.0011,0.32398
"Jan 1, 02:00 pm",13,6.4,39,0,39,180,20,21.4971,214.244,0.0073042,28.7362,33.3334,30,13.4887,12.9044,0.288418
"Jan 1, 03:00 pm",14,5.3,22,0,22,180,20,13.8075,226.266,0.00363558,27.8138,32.3429,30,14.3119,11.4016,0.162153
"Jan 1, 04:00 pm",13,4,18,0,18,180,20,4.59839,236.586,0.00213933,27.3837,31.8651,30,13.2882,8.19369,0.105701
"Jan 1, 05:00 pm",13,3.2,0,0,0,0,0,-5.454,245.635,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",12,2.9,0,0,0,0,0,-16.6335,253.915,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",11,2.8,0,0,0,0,0,-28.2823,261.985,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",11,2.6,0,0,0,0,0,-40.1665,270.576,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",11,2.2,0,0,0,0,0,-52.0161,280.982,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",10,1.8,0,0,0,0,0,-63.321,296.283,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",10,1.6,0,0,0,0,0,-72.4865,325.306,0,0,0,0,0,0,0
"Jan 2, 12:00 am",10,1.4,0,0,0,0,0,-74.4878,16.6881,0,0,0,0,0,0,0
"Jan 2, 01:00 am",10,1.2,0,0,0,0,0,-67.2628,54.9783,0,0,0,0,0,0,0
"Jan 2, 02:00 am",10,1.2,0,0,0,0,0,-56.465,73.973,0,0,0,0,0,0,0
"Jan 2, 03:00 am",10,1.4,0,0,0,0,0,-44.7344,85.7124,0,0,0,0,0,0,0
"Jan 2, 04:00 am",10,1.5,0,0,0,0,0,-32.8217,94.7911,0,0,0,0,0,0,0
"Jan 2, 05:00 am",10,1.6,0,0,0,0,0,-21.0499,102.954,0,0,0,0,0,0,0
"Jan 2, 06:00 am",10,1.5,0,0,0,0,0,-9.65428,111.079,0,0,0,0,0,0,0
"Jan 2, 07:00 am",10,1.6,0,0,0,180,20,1.0114,119.769,0,0,0,0,0,0,0
"Jan 2, 08:00 am",11,1.7,67,59,78,180,20,10.4486,129.542,0.0205441,29.9804,34.7507,30,13.6386,13.4519,0.755766
"Jan 2, 09:00 am",11,2,119,14,124,180,20,18.8234,140.87,0.0273177,30.2362,35.0831,30.2362,14.1868,13.9957,0.996394
"Jan 2, 10:00 am",12,2,26,0,26,180,20,25.2407,154.065,0.00463897,28.3153,32.8584,30,12.6153,12.2977,0.191525
"Jan 2, 11:00 am",12,1.6,22,0,22,180,20,29.0305,168.996,0.0037897,28.0873,32.6119,30,12.5662,11.8702,0.161452
"Jan 2, 12:00 pm",12,2.3,31,0,31,180,20,29.6786,184.831,0.00565163,28.5386,33.1026,30,12.6915,12.5576,0.227446
"Jan 2, 01:00 pm",11,4.3,38,0,38,180,20,27.0855,200.257,0.00722344,28.9893,33.5766,30,11.6138,13.093,0.279447
"Jan 2, 02:00 pm",10,5.3,6,0,6,180,20,21.6281,214.19,0.000656276,26.6942,31.0901,30,10.0851,7.54912,0.0442247
"Jan 2, 03:00 pm",10,4.8,51,0,51,180,20,13.9449,226.238,0.0100401,29.5201,34.1471,30,10.7715,13.552,0.376206
"Jan 2, 04:00 pm",10,3.5,8,0,8,180,20,4.73464,236.578,0.000765484,26.8047,31.2086,30,10.1388,6.61066,0.0481969
"Jan 2, 05:00 pm",10,2.7,0,0,0,0,0,-5.31316,245.641,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",10,2.4,0,0,0,0,0,-16.4933,253.933,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",9,2.3,0,0,0,0,0,-28.1429,262.011,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",9,2,0,0,0,0,0,-40.0274,270.61,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",8,1.7,0,0,0,0,0,-51.8762,281.018,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",7,1.5,0,0,0,0,0,-63.1793,296.293,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",7,1.3,0,0,0,0,0,-72.3526,325.146,0,0,0,0,0,0,0
"Jan 3, 12:00 am",7,1.2,0,0,0,0,0,-74.4229,16.1991,0,0,0,0,0,0,0
"Jan 3, 01:00 am",7,1.2,0,0,0,0,0,-67.2713,54.6019,0,0,0,0,0,0,0
