"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",25,4.8,0,0,0,0,0,-84.8748,173.531,0,0,0,0,0,0,0
"Jan 1, 01:00 am",25,4.8,0,0,0,0,0,-74.2134,109.966,0,0,0,0,0,0,0
"Jan 1, 02:00 am",25,4.8,0,0,0,0,0,-60.5633,104.314,0,0,0,0,0,0,0
"Jan 1, 03:00 am",25,4.9,0,0,0,0,0,-46.764,104.192,0,0,0,0,0,0,0
"Jan 1, 04:00 am",25,4.8,0,0,0,0,0,-33.018,105.804,0,0,0,0,0,0,0
"Jan 1, 05:00 am",25,4.8,0,0,0,0,0,-19.4192,108.446,0,0,0,0,0,0,0
"Jan 1, 06:00 am",25,4.8,0,0,0,0,0,-6.06755,112.043,0,0,0,0,0,0,0
"Jan 1, 07:00 am",25,5,34,334,71,180,20,6.46503,116.794,0.0207309,28.1257,32.9718,30,27.0096,10.0518,0.874183
"Jan 1, 08:00 am",26,5.3,42,0,42,180,20,18.7177,123.144,0.00523651,26.7917,31.4276,30,26.5967,8.58994,0.312921
"Jan 1, 09:00 am",26,5.6,83,793,479,180,20,30.0126,131.845,0.127404,28.6351,34.5716,30,35.2041,13.1069,5.0724
"Jan 1, 10:00 am",27,5.7,202,6,206,180,20,39.5859,143.983,0.0383427,28.4072,33.4592,30,29.8785,12.3905,1.56181
"Jan 1, 11:00 am",27,5.7,290,464,626,180,20,46.2676,160.53,0.144766,28.3267,34.4666,30,37.7338,12.5886,5.92242
"Jan 1, 12:00 pm",27,5.7,302,469,654,180,20,48.6227,180.696,0.149972,28.2702,34.4683,30,38.1895,12.5067,6.16775
"Jan 1, 01:00 pm",27,5.6,305,424,610,180,20,45.949,200.715,0.138909,28.3624,34.4413,30,37.3955,12.6158,5.66426
"Jan 1, 02:00 pm",27,5.4,101,844,632,180,20,39.0342,216.968,0.155363,28.1677,34.434,30,38.9641,12.5934,6.45415
"Jan 1, 03:00 pm",27,5.3,91,769,467,180,20,29.3175,228.847,0.122361,28.4677,34.3756,30,36.2978,12.9122,4.9427
"Jan 1, 04:00 pm",26,5,71,623,263,180,20,17.9386,237.368,0.0746005,28.7561,34.1695,30,31.9015,12.7927,2.94202
"Jan 1, 05:00 pm",26,4.5,34,258,59,180,20,5.64881,243.6,0.0153612,27.7087,32.4962,30,27.7426,9.08881,0.692519
"Jan 1, 06:00 pm",25,4.3,0,0,0,0,0,-6.93403,248.272,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",25,4.3,0,0,0,0,0,-20.3081,251.813,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",25,4.3,0,0,0,0,0,-33.9228,254.409,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",25,4.4,0,0,0,0,0,-47.6802,255.967,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",25,4.5,0,0,0,0,0,-61.4861,255.723,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",25,4.6,0,0,0,0,0,-75.1231,249.408,0,0,0,0,0,0,0
"Jan 2, 12:00 am",25,4.7,0,0,0,0,0,-84.973,174.776,0,0,0,0,0,0,0
"Jan 2, 01:00 am",25,4.8,0,0,0,0,0,-74.3395,109.743,0,0,0,0,0,0,0
"Jan 2, 02:00 am",25,4.7,0,0,0,0,0,-60.6757,104.144,0,0,0,0,0,0,0
"Jan 2, 03:00 am",25,4.6,0,0,0,0,0,-46.8673,104.054,0,0,0,0,0,0,0
"Jan 2, 04:00 am",25,4.6,0,0,0,0,0,-33.113,105.681,0,0,0,0,0,0,0
