"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",11,3.3,0,0,0,0,0,-84.6031,349.318,0,0,0,0,0,0,0
"Jan 1, 01:00 am",10,3.4,0,0,0,0,0,-75.9187,72.5275,0,0,0,0,0,0,0
"Jan 1, 02:00 am",10,3.4,0,0,0,0,0,-62.8602,86.2577,0,0,0,0,0,0,0
"Jan 1, 03:00 am",9,3.5,0,0,0,0,0,-49.5996,93.3408,0,0,0,0,0,0,0
"Jan 1, 04:00 am",9,3.7,0,0,0,0,0,-36.4139,98.9932,0,0,0,0,0,0,0
"Jan 1, 05:00 am",9,3.9,0,0,0,0,0,-23.4251,104.417,0,0,0,0,0,0,0
"Jan 1, 06:00 am",9,4.1,0,0,0,0,0,-10.7577,110.172,0,0,0,0,0,0,0
"Jan 1, 07:00 am",9,4.3,0,0,0,180,20,1.27271,116.701,0,0,0,0,0,0,0
"Jan 1, 08:00 am",10,4.5,55,576,178,180,20,12.3582,124.498,0.0620699,30.9939,36.1714,30.9939,14.9124,13.5412,2.20869
"Jan 1, 09:00 am",11,4.4,128,441,298,180,20,22.606,134.163,0.0905489,30.8687,36.3168,30.8687,17.9317,14.3699,3.23807
"Jan 1, 10:00 am",13,4,89,841,523,180,20,31.1061,146.359,0.157907,29.9849,36.081,30,26.0264,14.1371,5.83119
"Jan 1, 11:00 am",14,3.7,96,878,624,180,20,36.9726,161.454,0.179908,29.4579,35.7884,30,29.8485,13.8356,6.79623
"Jan 1, 12:00 pm",15,3.5,100,884,660,180,20,39.2705,178.773,0.185342,29.1351,35.5464,30,32.1313,13.5931,7.1264
"Jan 1, 01:00 pm",16,3.3,100,866,628,180,20,37.5253,196.263,0.176225,29.0268,35.3684,30,32.9067,13.5171,6.82069
"Jan 1, 02:00 pm",17,3.1,96,819,531,180,20,32.1037,211.743,0.153194,29.1264,35.2499,30,32.0815,13.6104,5.89125
