"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",13,2.7,0,0,0,0,0,-84.4861,351.594,0,0,0,0,0,0,0
"Jan 1, 01:00 am",13,2.7,0,0,0,0,0,-75.7183,72.2449,0,0,0,0,0,0,0
"Jan 1, 02:00 am",13,2.7,0,0,0,0,0,-62.6885,86.0784,0,0,0,0,0,0,0
"Jan 1, 03:00 am",12,2.7,0,0,0,0,0,-49.4477,93.2465,0,0,0,0,0,0,0
"Jan 1, 04:00 am",12,2.8,0,0,0,0,0,-36.28,98.9589,0,0,0,0,0,0,0
"Jan 1, 05:00 am",12,2.8,0,0,0,0,0,-23.31,104.431,0,0,0,0,0,0,0
"Jan 1, 06:00 am",12,2.8,0,0,0,0,0,-10.6639,110.23,0,0,0,0,0,0,0
"Jan 1, 07:00 am",13,3.2,0,0,0,180,20,1.33206,116.804,0,0,0,0,0,0,0
"Jan 1, 08:00 am",16,3.6,56,541,172,180,20,12.3947,124.646,0.0578872,30.004,35.1842,30.004,21.369,13.1494,2.13141
"Jan 1, 09:00 am",19,3.8,79,723,356,180,20,22.6024,134.356,0.110442,29.4788,35.1842,30,28.6404,13.7298,4.16281
"Jan 1, 10:00 am",21,4.2,92,806,508,180,20,31.052,146.591,0.145828,28.9479,35.0219,30,33.2772,13.4636,5.67227
"Jan 1, 11:00 am",22,4.1,101,841,606,180,20,36.8595,161.702,0.164509,28.5182,34.8175,30,36.5002,13.0412,6.6113
"Jan 1, 12:00 pm",23,3.8,103,854,641,180,20,39.0996,178.998,0.167757,28.178,34.5604,30,38.9337,12.6389,6.95798
"Jan 1, 01:00 pm",24,3.5,282,235,424,180,20,37.3116,196.432,0.100526,28.7247,34.3958,30,33.6784,13.0054,3.97397
"Jan 1, 02:00 pm",23,3.3,227,299,385,180,20,31.8684,211.857,0.0972505,28.8642,34.4907,30,32.5183,13.219,3.80406
"Jan 1, 03:00 pm",22,2.9,167,235,261,180,20,23.6724,224.417,0.0680849,29.0737,34.4015,30,29.0303,13.3853,2.62396
"Jan 1, 04:00 pm",21,2.1,70,473,181,180,20,13.6268,234.388,0.0562784,29.0457,34.2555,30,27.9843,12.7954,2.17249
"Jan 1, 05:00 pm",19,1.5,19,0,19,180,20,2.55065,242.415,0.000927164,26.1921,30.6701,30,19.4649,3.19928,0.0923576
"Jan 1, 06:00 pm",18,1.3,0,0,0,0,0,-9.2475,249.114,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",18,1.3,0,0,0,0,0,-21.8478,254.988,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",18,1.3,0,0,0,0,0,-34.7884,260.49,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",17,1.3,0,0,0,0,0,-47.9395,266.161,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",17,1.5,0,0,0,0,0,-61.1783,273.099,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",16,1.7,0,0,0,0,0,-74.2578,285.584,0,0,0,0,0,0,0
"Jan 2, 12:00 am",16,1.9,0,0,0,0,0,-84.3873,350.507,0,0,0,0,0,0,0
"Jan 2, 01:00 am",16,2,0,0,0,0,0,-75.7829,71.7341,0,0,0,0,0,0,0
"Jan 2, 02:00 am",15,2,0,0,0,0,0,-62.7679,85.8292,0,0,0,0,0,0,0
"Jan 2, 03:00 am",15,2,0,0,0,0,0,-49.5272,93.072,0,0,0,0,0,0,0
"Jan 2, 04:00 am",15,2.1,0,0,0,0,0,-36.3556,98.8152,0,0,0,0,0,0,0
"Jan 2, 05:00 am",15,2.5,0,0,0,0,0,-23.3792,104.301,0,0,0,0,0,0,0
"Jan 2, 06:00 am",15,3.1,0,0,0,0,0,-10.7241,110.104,0,0,0,0,0,0,0
"Jan 2, 07:00 am",16,3.5,0,0,0,180,20,1.29002,116.675,0,0,0,0,0,0,0
"Jan 2, 08:00 am",18,3.4,63,0,63,180,20,12.3623,124.508,0.0118814,28.5283,33.2211,30,19.197,12.6093,0.4785
"Jan 2, 09:00 am",20,3.3,163,158,224,180,20,22.5911,134.207,0.0564379,29.4135,34.6058,30,25.3623,13.6094,2.13163
"Jan 2, 10:00 am",21,3.7,234,123,298,180,20,31.0684,146.431,0.0715965,29.3384,34.6856,30,27.4351,13.5106,2.71618
"Jan 2, 11:00 am",22,3.7,272,260,429,180,20,36.9099,161.541,0.106579,29.0269,34.7299,30,31.7366,13.2964,4.12222
"Jan 2, 12:00 pm",23,3.7,244,23,259,180,20,39.185,178.857,0.0524806,28.9943,34.1679,30,27.8696,13.051,2.03279
"Jan 2, 01:00 pm",23,3.6,287,131,367,180,20,37.4251,196.331,0.0855032,28.9846,34.4896,30,30.995,13.1726,3.31567
"Jan 2, 02:00 pm",22,3.3,225,51,253,180,20,31.9988,211.8,0.0556477,29.1145,34.3139,30,27.4124,13.2725,2.13852
"Jan 2, 03:00 pm",21,2.9,88,0,88,180,20,23.81,224.395,0.0161435,28.4016,33.1678,30,22.7799,12.5184,0.65876
"Jan 2, 04:00 pm",20,2.3,6,0,6,180,20,13.7656,234.39,0,25.0321,29.4381,30,20.1336,0,0.0442829
"Jan 2, 05:00 pm",19,1.7,0,0,0,180,20,2.67974,242.434,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",18,1.5,0,0,0,0,0,-9.11152,249.146,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",17,1.5,0,0,0,0,0,-21.7145,255.035,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",17,1.7,0,0,0,0,0,-34.6577,260.551,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",17,2,0,0,0,0,0,-47.8106,266.244,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",16,2.4,0,0,0,0,0,-61.0495,273.217,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",16,2.6,0,0,0,0,0,-74.1239,285.747,0,0,0,0,0,0,0
"Jan 3, 12:00 am",15,2.6,0,0,0,0,0,-84.2795,349.49,0,0,0,0,0,0,0
"Jan 3, 01:00 am",15,2.8,0,0,0,0,0,-75.8422,71.1915,0,0,0,0,0,0,0
"Jan 3, 02:00 am",14,3,0,0,0,0,0,-62.8434,85.5635,0,0,0,0,0,0,0
"Jan 3, 03:00 am",14,3.1,0,0,0,0,0,-49.6032,92.8863,0,0,0,0,0,0,0
"Jan 3, 04:00 am",14,3.2,0,0,0,0,0,-36.4276,98.6628,0,0,0,0,0,0,0
"Jan 3, 05:00 am",13,3.3,0,0,0,0,0,-23.4443,104.164,0,0,0,0,0,0,0
"Jan 3, 06:00 am",13,3.3,0,0,0,0,0,-10.78,109.971,0,0,0,0,0,0,0
"Jan 3, 07:00 am",13,3.3,0,0,0,180,20,1.25236,116.54,0,0,0,0,0,0,0
"Jan 3, 08:00 am",14,3.1,78,23,83,180,20,12.3354,124.365,0.0187031,29.544,34.3049,30,15.8521,13.4479,0.700566
"Jan 3, 09:00 am",16,2.7,151,34,165,180,20,22.5859,134.053,0.0373974,29.7675,34.7445,30,19.8823,13.7734,1.38841
"Jan 3, 10:00 am",17,2.2,185,11,191,180,20,31.0917,146.267,0.0396771,29.5885,34.5974,30,21.5835,13.5586,1.48481
