"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",0,3.1,0,0,0,0,0,-76.2371,2.53353,0,0,0,0,0,0,0
"Jan 1, 01:00 am",0,2.8,0,0,0,0,0,-70.5492,49.9813,0,0,0,0,0,0,0
"Jan 1, 02:00 am",0,2.5,0,0,0,0,0,-59.8937,71.9774,0,0,0,0,0,0,0
"Jan 1, 03:00 am",0,2.2,0,0,0,0,0,-48.0487,84.35,0,0,0,0,0,0,0
"Jan 1, 04:00 am",0,1.9,0,0,0,0,0,-35.9561,93.4433,0,0,0,0,0,0,0
"Jan 1, 05:00 am",0,1.6,0,0,0,0,0,-23.9615,101.398,0,0,0,0,0,0,0
"Jan 1, 06:00 am",0,1.8,0,0,0,0,0,-12.2915,109.195,0,0,0,0,0,0,0
"Jan 1, 07:00 am",0,2.3,0,0,0,0,0,-1.17822,117.46,0,0,0,0,0,0,0
"Jan 1, 08:00 am",2,2.5,48,402,107,180,20,8.62106,126.722,0.0419649,31.817,36.761,31.817,6.56538,13.3655,1.45173
"Jan 1, 09:00 am",4,2.7,120,60,138,180,20,17.5616,137.484,0.0355311,31.506,36.3971,31.506,7.49166,14.5501,1.24157
"Jan 1, 10:00 am",6,2.8,109,673,390,180,20,24.7112,150.144,0.131355,30.9652,36.7672,30.9652,18.7201,14.5537,4.68552
"Jan 1, 11:00 am",8,2.9,216,79,255,180,20,29.3684,164.741,0.0639505,31.1315,36.3202,31.1315,14.1421,14.3731,2.26514
