"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",6,0.9,0,0,0,0,0,-74.7611,21.0107,0,0,0,0,0,0,0
"Jan 1, 01:00 am",6,1.2,0,0,0,0,0,-66.8946,57.8892,0,0,0,0,0,0,0
"Jan 1, 02:00 am",6,1.6,0,0,0,0,0,-55.8326,75.7889,0,0,0,0,0,0,0
"Jan 1, 03:00 am",6,2.1,0,0,0,0,0,-43.976,86.9922,0,0,0,0,0,0,0
"Jan 1, 04:00 am",5,2.5,0,0,0,0,0,-31.9909,95.7822,0,0,0,0,0,0,0
"Jan 1, 05:00 am",5,2.8,0,0,0,0,0,-20.1748,103.779,0,0,0,0,0,0,0
"Jan 1, 06:00 am",5,3.2,0,0,0,0,0,-8.75536,111.815,0,0,0,0,0,0,0
"Jan 1, 07:00 am",5,3.6,0,0,0,180,20,1.80021,120.474,0,0,0,0,0,0,0
"Jan 1, 08:00 am",5,3.9,23,0,23,180,20,11.321,130.272,0.00442078,29.2888,33.7961,30,5.39227,13.2599,0.167581
"Jan 1, 09:00 am",5,4,117,0,117,180,20,19.6388,141.682,0.0257727,31.2094,36.0024,31.2094,7.07779,14.4148,0.909167
"Jan 1, 10:00 am",5,3.9,168,23,179,180,20,25.9434,155.002,0.0411703,31.54,36.4881,31.54,8.33719,14.5402,1.43735
"Jan 1, 11:00 am",6,4,85,0,85,180,20,29.5581,170.059,0.0173764,30.6913,35.3976,30.6913,7.43462,14.0519,0.623476
"Jan 1, 12:00 pm",6,4.1,132,0,132,180,20,29.98,185.958,0.0280619,31.1335,35.9569,31.1335,8.25147,14.2533,0.992546
"Jan 1, 01:00 pm",6,4,110,0,110,180,20,27.1434,201.344,0.0231528,30.9668,35.7368,30.9668,7.89025,14.2173,0.823362
"Jan 1, 02:00 pm",5,3.7,93,0,93,180,20,21.4611,215.151,0.0196881,30.9533,35.6812,30.9533,6.67424,14.2804,0.700265
"Jan 1, 03:00 pm",5,3.5,23,0,23,180,20,13.5905,227.033,0.00445273,29.2941,33.8023,30,5.41718,13.3562,0.16874
"Jan 1, 04:00 pm",5,3.4,5,0,5,180,20,4.24358,237.204,0.000402197,26.7947,31.139,30,5.08463,5.56063,0.0259712
"Jan 1, 05:00 pm",5,3.3,0,0,0,0,0,-5.94219,246.11,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",5,3.4,0,0,0,0,0,-17.2223,254.262,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",5,4.2,0,0,0,0,0,-28.9579,262.217,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",4,5.8,0,0,0,0,0,-40.9205,270.718,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",3,6.8,0,0,0,0,0,-52.8431,281.098,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",2,7,0,0,0,0,0,-64.2066,296.628,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",1,6.8,0,0,0,0,0,-73.3068,327.038,0,0,0,0,0,0,0
"Jan 2, 12:00 am",0,6.8,0,0,0,0,0,-74.7131,20.5016,0,0,0,0,0,0,0
"Jan 2, 01:00 am",0,6.8,0,0,0,0,0,-66.9158,57.5334,0,0,0,0,0,0,0
"Jan 2, 02:00 am",0,6.9,0,0,0,0,0,-55.8771,75.5525,0,0,0,0,0,0,0
"Jan 2, 03:00 am",0,7,0,0,0,0,0,-44.0268,86.8117,0,0,0,0,0,0,0
"Jan 2, 04:00 am",0,7.2,0,0,0,0,0,-32.0407,95.6289,0,0,0,0,0,0,0
"Jan 2, 05:00 am",0,7.2,0,0,0,0,0,-20.2192,103.639,0,0,0,0,0,0,0
"Jan 2, 06:00 am",0,7.2,0,0,0,0,0,-8.79081,111.679,0,0,0,0,0,0,0
"Jan 2, 07:00 am",0,7.5,11,0,11,180,20,1.77976,120.337,0.00128597,28.5619,32.9482,30,0.111467,7.87686,0.0516573
"Jan 2, 08:00 am",0,8,73,139,101,180,20,11.3154,130.131,0.031909,32.2464,37.0687,32.2464,1.62459,14.3856,1.08799
"Jan 2, 09:00 am",0,8.3,92,539,273,180,20,19.655,141.535,0.0999621,32.8238,38.2445,32.8238,4.71165,15.2438,3.3514
"Jan 2, 10:00 am",0,8.5,162,394,335,180,20,25.9861,154.854,0.110854,32.8271,38.3389,32.8271,5.10848,15.3368,3.71692
"Jan 2, 11:00 am",0,8.7,166,504,415,180,20,29.6297,169.922,0.138171,32.7592,38.5011,32.7592,6.25943,15.3402,4.64472
"Jan 2, 12:00 pm",0,8.9,224,212,330,180,20,30.0784,185.844,0.096604,32.8587,38.2484,32.8587,4.32214,15.2423,3.23506
"Jan 2, 01:00 pm",0,9,203,143,268,180,20,27.2622,201.261,0.076848,32.827,38.0474,32.827,3.41657,15.2064,2.57517
"Jan 2, 02:00 pm",0,9.1,89,620,317,180,20,21.5925,215.099,0.116412,32.8538,38.4107,32.8538,5.09539,15.3411,3.9002
"Jan 2, 03:00 pm",0,8.8,83,288,151,180,20,13.7278,227.007,0.0533728,32.6482,37.665,32.6482,2.47647,14.7456,1.79779
"Jan 2, 04:00 pm",0,8.6,27,105,35,180,20,4.37899,237.196,0.00935999,30.9534,35.5251,30.9534,0.611837,9.72908,0.332582
"Jan 2, 05:00 pm",0,8.6,0,0,0,0,0,-5.80179,246.117,0,0,0,0,0,0,0
"Jan 2, 06:00 pm",-1,8.5,0,0,0,0,0,-17.0827,254.28,0,0,0,0,0,0,0
"Jan 2, 07:00 pm",-1,8.5,0,0,0,0,0,-28.8191,262.245,0,0,0,0,0,0,0
"Jan 2, 08:00 pm",-1,8.4,0,0,0,0,0,-40.7819,270.754,0,0,0,0,0,0,0
"Jan 2, 09:00 pm",-2,8.2,0,0,0,0,0,-52.7036,281.135,0,0,0,0,0,0,0
"Jan 2, 10:00 pm",-2,8.2,0,0,0,0,0,-64.0652,296.638,0,0,0,0,0,0,0
"Jan 2, 11:00 pm",-2,8.1,0,0,0,0,0,-73.1745,326.858,0,0,0,0,0,0,0
"Jan 3, 12:00 am",-3,8,0,0,0,0,0,-74.6564,19.9915,0,0,0,0,0,0,0
"Jan 3, 01:00 am",-3,7.9,0,0,0,0,0,-66.9302,57.1648,0,0,0,0,0,0,0
"Jan 3, 02:00 am",-3,7.9,0,0,0,0,0,-55.9161,75.3052,0,0,0,0,0,0,0
"Jan 3, 03:00 am",-3,8,0,0,0,0,0,-44.0724,86.6225,0,0,0,0,0,0,0
"Jan 3, 04:00 am",-3,8.2,0,0,0,0,0,-32.0854,95.4684,0,0,0,0,0,0,0
"Jan 3, 05:00 am",-3,8.3,0,0,0,0,0,-20.2585,103.492,0,0,0,0,0,0,0
"Jan 3, 06:00 am",-4,8.4,0,0,0,0,0,-8.8208,111.538,0,0,0,0,0,0,0
"Jan 3, 07:00 am",-4,8.5,11,0,11,180,20,1.76461,120.195,0.00135643,29.2241,33.5985,30,-3.89828,8.30842,0.0515592
"Jan 3, 08:00 am",-3,8.6,68,253,118,180,20,11.3161,129.985,0.0424638,32.9266,37.8262,32.9266,-0.976749,14.5462,1.41716
"Jan 3, 09:00 am",-3,8.6,66,813,340,180,20,19.6781,141.385,0.130421,33.2169,38.8644,33.2169,2.91748,15.4271,4.32037
"Jan 3, 10:00 am",-2,8.5,122,585,379,180,20,26.0361,154.705,0.133582,33.0577,38.7409,33.0577,4.09605,15.4995,4.44771
"Jan 3, 11:00 am",-1,8.5,78,924,535,180,20,29.7088,169.784,0.188947,32.6038,38.7673,32.6038,7.69958,15.3805,6.38762
"Jan 3, 12:00 pm",0,8.4,75,934,545,180,20,30.1841,185.731,0.190849,32.4315,38.623,32.4315,8.90808,15.3062,6.48841
"Jan 3, 01:00 pm",0,8.3,72,911,491,180,20,27.3877,201.182,0.175289,32.5269,38.5859,32.5269,8.23533,15.3393,5.93978
"Jan 3, 02:00 pm",0,8.2,65,849,379,180,20,21.7296,215.052,0.141946,32.6997,38.477,32.6997,6.73686,15.2965,4.781
"Jan 3, 03:00 pm",0,8,52,718,223,180,20,13.87,226.986,0.0892078,32.787,38.1182,32.787,4.45031,14.6947,2.9938
"Jan 3, 04:00 pm",0,7.8,25,392,55,180,20,4.51868,237.196,0.0206011,31.7812,36.4914,31.7812,1.43059,9.76968,0.712762
"Jan 3, 05:00 pm",0,7.7,0,0,0,0,0,-5.65783,246.131,0,0,0,0,0,0,0
"Jan 3, 06:00 pm",0,7.6,0,0,0,0,0,-16.94,254.306,0,0,0,0,0,0,0
"Jan 3, 07:00 pm",-1,7.4,0,0,0,0,0,-28.6776,262.281,0,0,0,0,0,0,0
"Jan 3, 08:00 pm",-1,7.1,0,0,0,0,0,-40.6408,270.799,0,0,0,0,0,0,0
"Jan 3, 09:00 pm",-2,6.7,0,0,0,0,0,-52.5614,281.185,0,0,0,0,0,0,0
"Jan 3, 10:00 pm",-2,6.4,0,0,0,0,0,-63.9202,296.664,0,0,0,0,0,0,0
"Jan 3, 11:00 pm",-2,6.1,0,0,0,0,0,-73.036,326.698,0,0,0,0,0,0,0
"Jan 4, 12:00 am",-2,6,0,0,0,0,0,-74.5911,19.4816,0,0,0,0,0,0,0
"Jan 4, 01:00 am",-3,5.8,0,0,0,0,0,-66.9377,56.7838,0,0,0,0,0,0,0
"Jan 4, 02:00 am",-3,5.5,0,0,0,0,0,-55.9495,75.0474,0,0,0,0,0,0,0
"Jan 4, 03:00 am",-3,5.3,0,0,0,0,0,-44.1129,86.4248,0,0,0,0,0,0,0
"Jan 4, 04:00 am",-3,5.1,0,0,0,0,0,-32.1251,95.3008,0,0,0,0,0,0,0
"Jan 4, 05:00 am",-3,4.9,0,0,0,0,0,-20.2925,103.34,0,0,0,0,0,0,0
"Jan 4, 06:00 am",-3,4.8,0,0,0,0,0,-8.84526,111.391,0,0,0,0,0,0,0
"Jan 4, 07:00 am",-3,5,11,0,11,180,20,1.75479,120.048,0.00134124,29.0525,33.4295,30,-2.85344,8.21538,0.0515848
"Jan 4, 08:00 am",-2,5.4,67,272,120,180,20,11.3231,129.835,0.0434762,32.6789,37.5993,32.6789,0.889945,14.4223,1.46254
"Jan 4, 09:00 am",-1,5.6,67,785,331,180,20,19.708,141.232,0.124824,32.6461,38.2855,32.6461,6.77904,15.1766,4.21064
"Jan 4, 10:00 am",0,5.5,77,863,456,180,20,26.0934,154.553,0.163004,32.2242,38.2063,32.2242,10.3008,15.1822,5.57734
"Jan 4, 11:00 am",0,5.4,82,892,525,180,20,29.7953,169.646,0.182635,32.028,38.1856,32.028,11.735,15.1158,6.29092
"Jan 4, 12:00 pm",0,5.3,132,634,452,180,20,30.297,185.621,0.153217,32.2665,38.1648,32.2665,9.92428,15.164,5.23462
"Jan 4, 01:00 pm",0,5.2,83,855,478,180,20,27.5198,201.107,0.168301,32.1201,38.1541,32.1201,11.0555,15.1458,5.77855
