"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",7,1.5,0,0,0,0,0,-73.0945,15.3943,0,0,0,0,0,0,0
"Jan 1, 01:00 am",7,1,0,0,0,0,0,-66.3967,52.2495,0,0,0,0,0,0,0
"Jan 1, 02:00 am",7,0.7,0,0,0,0,0,-56.0444,71.9121,0,0,0,0,0,0,0
"Jan 1, 03:00 am",6,0.7,0,0,0,0,0,-44.6287,84.3192,0,0,0,0,0,0,0
"Jan 1, 04:00 am",6,1.7,0,0,0,0,0,-32.97,93.9107,0,0,0,0,0,0,0
"Jan 1, 05:00 am",7,2.8,0,0,0,0,0,-21.4277,102.477,0,0,0,0,0,0,0
"Jan 1, 06:00 am",6,3.4,0,0,0,0,0,-10.2558,110.931,0,0,0,0,0,0,0
"Jan 1, 07:00 am",6,3.8,0,0,0,0,0,0.348135,119.888,0,0,0,0,0,0,0
"Jan 1, 08:00 am",7,4.2,18,0,18,180,20,9.39438,129.861,0.00325945,28.6375,33.1245,30,7.29339,12.4975,0.129895
"Jan 1, 09:00 am",8,4.4,44,0,44,180,20,17.5302,141.295,0.00873219,29.6509,34.2498,30,8.70183,13.6715,0.325111
"Jan 1, 10:00 am",9,4.5,79,0,79,180,20,23.7376,154.463,0.0160185,30.1768,34.8799,30.1768,10.2481,13.9055,0.585009
"Jan 1, 11:00 am",9,4.4,61,0,61,180,20,27.3846,169.219,0.0121548,29.8755,34.5289,30,9.97284,13.7111,0.448515
"Jan 1, 12:00 pm",10,4.4,38,0,38,180,20,27.9994,184.792,0.00729281,29.146,33.7304,30,10.6054,13.2177,0.279063
"Jan 1, 01:00 pm",10,4.2,109,0,109,180,20,25.4926,199.992,0.0226336,30.3607,35.1466,30.3607,11.8279,13.9745,0.821738
"Jan 1, 02:00 pm",11,4,52,0,52,180,20,20.2099,213.83,0.0101924,29.3768,34.0112,30,11.8776,13.4964,0.384792
"Jan 1, 03:00 pm",11,4.1,6,0,6,180,20,12.7464,225.925,0.000576012,26.5183,30.9155,30,11.0994,6.6327,0.0439885
"Jan 1, 04:00 pm",11,3.9,1,0,1,180,20,3.79256,236.422,0,0,0,0,0,0,0
"Jan 1, 05:00 pm",10,3.2,0,0,0,0,0,-6.0644,245.722,0,0,0,0,0,0,0
"Jan 1, 06:00 pm",8,3.5,0,0,0,0,0,-17.0234,254.314,0,0,0,0,0,0,0
"Jan 1, 07:00 pm",6,5.1,0,0,0,0,0,-28.4492,262.763,0,0,0,0,0,0,0
"Jan 1, 08:00 pm",4,6.2,0,0,0,0,0,-40.0928,271.83,0,0,0,0,0,0,0
"Jan 1, 09:00 pm",3,6.1,0,0,0,0,0,-51.6553,282.853,0,0,0,0,0,0,0
"Jan 1, 10:00 pm",3,5.3,0,0,0,0,0,-62.5689,298.896,0,0,0,0,0,0,0
"Jan 1, 11:00 pm",3,4.8,0,0,0,0,0,-71.1834,327.76,0,0,0,0,0,0,0
"Jan 2, 12:00 am",3,4.8,0,0,0,0,0,-73.0374,14.9536,0,0,0,0,0,0,0
"Jan 2, 01:00 am",2,4.6,0,0,0,0,0,-66.4068,51.9007,0,0,0,0,0,0,0
"Jan 2, 02:00 am",1,3.8,0,0,0,0,0,-56.0815,71.6724,0,0,0,0,0,0,0
"Jan 2, 03:00 am",0,3,0,0,0,0,0,-44.6743,84.1355,0,0,0,0,0,0,0
"Jan 2, 04:00 am",0,2.8,0,0,0,0,0,-33.016,93.7554,0,0,0,0,0,0,0
"Jan 2, 05:00 am",0,2.8,0,0,0,0,0,-21.4693,102.336,0,0,0,0,0,0,0
"Jan 2, 06:00 am",1,2.9,0,0,0,0,0,-10.2891,110.795,0,0,0,0,0,0,0
"Jan 2, 07:00 am",1,3,0,0,0,0,0,0.332226,119.752,0,0,0,0,0,0,0
"Jan 2, 08:00 am",3,3.1,59,363,118,180,20,9.38938,129.721,0.0447642,31.7745,36.7486,31.7745,7.31366,13.6564,1.55091
"Jan 2, 09:00 am",4,3.3,90,572,262,180,20,17.5459,141.151,0.0957905,31.6901,37.14,31.6901,12.4458,14.6616,3.33228
"Jan 2, 10:00 am",5,3.2,110,664,377,180,20,23.7784,154.319,0.131598,31.2386,37.0255,31.2386,16.8024,14.6941,4.65076
"Jan 2, 11:00 am",5,2.9,60,0,60,180,20,27.4529,169.084,0.0121722,30.4394,35.0758,30.4394,6.20256,13.9602,0.440331
"Jan 2, 12:00 pm",5,2.7,82,0,82,180,20,28.0936,184.677,0.0168197,30.7599,35.4566,30.7599,6.70311,14.1019,0.60205
"Jan 2, 01:00 pm",5,2.6,38,0,38,180,20,25.6071,199.906,0.0075763,29.9055,34.4733,30,5.80231,13.7342,0.279072
