"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-8,1.7,0,0,0,0,0,-74.7271,357.364,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-8,1.7,0,0,0,0,0,-70.3108,43.8178,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-8,1.6,0,0,0,0,0,-60.3985,67.9757,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-8,1.3,0,0,0,0,0,-48.9454,81.6602,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-8,1.1,0,0,0,0,0,-37.1107,91.5293,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-9,0.8,0,0,0,0,0,-25.3147,99.9872,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-9,0.8,0,0,0,0,0,-13.8114,108.126,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-8,1.3,0,0,0,0,0,-2.84206,116.616,0,0,0,0,0,0,0
"Jan 1, 08:00 am",-7,2,21,0,21,180,20,6.86257,125.994,0.00415935,31.0325,35.4824,31.0325,-6.50721,13.6592,0.147246
"Jan 1, 09:00 am",-5,2.3,96,1,96,180,20,15.7065,136.748,0.0222004,32.4829,37.1838,32.4829,-2.71651,14.9621,0.75085
"Jan 1, 10:00 am",-4,2.3,165,86,198,180,20,22.844,149.261,0.0538619,32.8033,37.8166,32.8033,1.46845,15.1664,1.80533
"Jan 1, 11:00 am",-3,2.2,201,236,311,180,20,27.6004,163.59,0.094244,32.4859,37.8773,32.4859,6.80986,15.0921,3.19394
"Jan 1, 12:00 pm",-2,2.1,106,906,551,180,20,29.3876,179.17,0.185771,31.0857,37.3405,31.0857,18.3606,14.6565,6.60509
