"Time stamp","Weather file ambient temperature | (C)","Weather file wind speed | (m/s)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Array DC power | (kW)","Inverter MPPT 1 Nominal DC voltage | (V)","Subarray 1 Open circuit DC voltage | (V)","Subarray 1 Operating DC voltage | (V)","Subarray 1 Cell temperature | (C)","Subarray 1 Module efficiency | (%)","Subarray 1 Short circuit DC current | (A)"
"Jan 1, 12:00 am",-5,0.1,0,0,0,0,0,-68.5298,26.1081,0,0,0,0,0,0,0
"Jan 1, 01:00 am",-5,0.1,0,0,0,0,0,-61.2249,54.811,0,0,0,0,0,0,0
"Jan 1, 02:00 am",-5,0.1,0,0,0,0,0,-51.2622,72.4715,0,0,0,0,0,0,0
"Jan 1, 03:00 am",-5,0.1,0,0,0,0,0,-40.3872,84.8739,0,0,0,0,0,0,0
"Jan 1, 04:00 am",-5,0.1,0,0,0,0,0,-29.2999,94.9934,0,0,0,0,0,0,0
"Jan 1, 05:00 am",-5,0.1,0,0,0,0,0,-18.3674,104.261,0,0,0,0,0,0,0
"Jan 1, 06:00 am",-5,0.1,0,0,0,0,0,-7.87243,113.496,0,0,0,0,0,0,0
"Jan 1, 07:00 am",-4,0.1,4,0,4,180,20,1.68742,123.279,0.000452445,27.9481,32.2531,30,-3.8581,7.62115,0.0198663
"Jan 1, 08:00 am",-3,0.1,25,0,25,180,20,10.0831,134.08,0.00502494,30.5803,35.0691,30.5803,-2.04149,13.8623,0.180684
"Jan 1, 09:00 am",-1,0.1,57,0,57,180,20,17.1658,146.251,0.0118999,31.1609,35.7693,31.1609,1.19654,14.3698,0.420013
"Jan 1, 10:00 am",0,0.1,116,0,116,180,20,22.1918,159.901,0.0255388,31.5542,36.3314,31.5542,4.65739,14.5394,0.890568
"Jan 1, 11:00 am",0,0.1,193,106,238,180,20,24.6372,174.704,0.0641614,31.4925,36.6666,31.4925,11.6482,14.6224,2.24519
"Jan 1, 12:00 pm",1,0.1,174,75,204,180,20,24.1986,189.856,0.0537798,31.4532,36.5308,31.4532,10.7858,14.5858,1.8838
"Jan 1, 01:00 pm",1,0.1,142,264,236,180,20,20.9332,204.38,0.075048,31.189,36.4791,31.189,14.689,14.5689,2.65373
